ENSPTIP00000011561	ENSPTIG00000011932	Panthera_tigris_altaica
ENSPPRP00000016486	ENSPPRG00000008747	Panthera_pardus
ENSFCAP00000044282	ENSFCAG00000042944	Felis_catus
ENSNVIP00000023887	ENSNVIG00000018529	Neovison_vison
ENSBIXP00005014386	ENSBIXG00005002972	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000040561	ENSBIXG00000024648	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000015588	ENSBMUG00000011856	Bos_mutus
ENSBBBP00000006057	ENSBBBG00000014661	Bison_bison_bison
ENSGGOP00000015902	ENSGGOG00000016303	Gorilla_gorilla
ENSPTRP00000076852	ENSPTRG00000048180	Pan_troglodytes
ENSP00000490626	ENSG00000216921	Homo_sapiens
ENSNLEP00000011327	ENSNLEG00000009305	Nomascus_leucogenys
ENSCATP00000045236	ENSCATG00000045039	Cercocebus_atys
ENSMLEP00000011396	ENSMLEG00000029883	Mandrillus_leucophaeus
ENSPANP00000044356	ENSPANG00000015971	Papio_anubis
ENSTGEP00000022393	ENSTGEG00000018128	Theropithecus_gelada
ENSMNEP00000044625	ENSMNEG00000044888	Macaca_nemestrina
ENSMFAP00000015061	ENSMFAG00000030747	Macaca_fascicularis
ENSMMUP00000066030	ENSMMUG00000062013	Macaca_mulatta
ENSCSAP00000002033	ENSCSAG00000005723	Chlorocebus_sabaeus
ENSRBIP00000035072	ENSRBIG00000041208	Rhinopithecus_bieti
ENSRROP00000044700	ENSRROG00000045304	Rhinopithecus_roxellana
ENSCANP00000014694	ENSCANG00000030797	Colobus_angolensis_palliatus
ENSCCAP00000021430	ENSCCAG00000028555	Cebus_capucinus_imitator
ENSANAP00000008390	ENSANAG00000022232	Aotus_nancymaae
