ENSCGOP00000014101	ENSCGOG00000006903	Cottoperca_gobio
ENSDARP00000048732	ENSDARG00000030508	Danio_rerio
ENSUPAP00010007171	ENSUPAG00010005788	Urocitellus_parryii
ENSORLP00015017451	ENSORLG00015018467	Oryzias_latipes_ASM223469v1
ENSABRP00000005242	ENSABRG00000004875	Anser_brachyrhynchus
ENSFALP00000012341	ENSFALG00000011819	Ficedula_albicollis
ENSRNOP00000052900	ENSRNOG00000007262	Rattus_norvegicus
ENSCSEP00000010956	ENSCSEG00000007025	Cynoglossus_semilaevis
ENSNBRP00000002689	ENSNBRG00000002157	Neolamprologus_brichardi
ENSNPEP00000013609	ENSNPEG00000010176	Nothoprocta_perdicaria
ENSSDUP00000023007	ENSSDUG00000016718	Seriola_dumerili
ENSPMEP00000015794	ENSPMEG00000018386	Poecilia_mexicana
ENSMLUP00000002314	ENSMLUG00000002544	Myotis_lucifugus
ENSLCRP00005004091	ENSLCRG00005002159	Larimichthys_crocea
ENSBIXP00005000607	ENSBIXG00005030005	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSXETP00000023784	ENSXETG00000004862	Xenopus_tropicalis
ENSOANP00000007371	ENSOANG00000004650	Ornithorhynchus_anatinus
ENSEEEP00000032801	ENSEEEG00000015625	Electrophorus_electricus
ENSECRP00000028770	ENSECRG00000019488	Erpetoichthys_calabaricus
ENSLAFP00000016623	ENSLAFG00000021498	Loxodonta_africana
ENSCAFP00020001637	ENSCAFG00020001443	Canis_lupus_dingo
ENSRROP00000012401	ENSRROG00000030513	Rhinopithecus_roxellana
ENSBSLP00000026917	ENSBSLG00000013513	Betta_splendens
ENSZALP00000007859	ENSZALG00000006917	Zonotrichia_albicollis
ENSMICP00000041144	ENSMICG00000000910	Microcebus_murinus
MGP_PahariEiJ_P0042533	MGP_PahariEiJ_G0020074	Mus_pahari_strain_PAHARI_EIJ
ENSNGAP00000015369	ENSNGAG00000016417	Nannospalax_galili
ENSSARP00000001448	ENSSARG00000001604	Sorex_araneus
ENSPNYP00000026763	ENSPNYG00000020112	Pundamilia_nyererei
ENSVVUP00000004175	ENSVVUG00000003274	Vulpes_vulpes
ENSSFOP00015019283	ENSSFOG00015012420	Scleropages_formosus
ENSLACP00000004222	ENSLACG00000003756	Latimeria_chalumnae
ENSUAMP00000007495	ENSUAMG00000006493	Ursus_americanus
ENSCINP00000021785	ENSCING00000011389	Ciona_intestinalis
ENSMLEP00000010100	ENSMLEG00000029232	Mandrillus_leucophaeus	ENSMLET00000033505
ENSSTOP00000011567	ENSSTOG00000012907	Ictidomys_tridecemlineatus
ENSXCOP00000021336	ENSXCOG00000015968	Xiphophorus_couchianus
ENSMUSP00000086578	ENSMUSG00000068114	Mus_musculus_strain_reference_(CL57BL6)
ENSJHYP00000001064	ENSJHYG00000000923	Junco_hyemalis
ENSDORP00000019405	ENSDORG00000000689	Dipodomys_ordii
ENSCSAP00000002051	ENSCSAG00000005737	Chlorocebus_sabaeus	ENSCSAT00000003777
ENSFDAP00000007149	ENSFDAG00000015723	Fukomys_damarensis
ENSACAP00000004283	ENSACAG00000004397	Anolis_carolinensis
ENSMZEP00005006977	ENSMZEG00005005376	Maylandia_zebra
ENSMMOP00000006480	ENSMMOG00000005066	Mola_mola
ENSMFAP00000017147	ENSMFAG00000031727	Macaca_fascicularis	ENSMFAT00000067687
ENSPPAP00000015987	ENSPPAG00000031113	Pan_paniscus	ENSPPAT00000038680
ENSATEP00000013551	ENSATEG00000009453	Anabas_testudineus
ENSMAUP00000016085	ENSMAUG00000015349	Mesocricetus_auratus
ENSPVAP00000001107	ENSPVAG00000001176	Pteropus_vampyrus
ENSPREP00000024626	ENSPREG00000016625	Poecilia_reticulata
ENSCAPP00000007614	ENSCAPG00000009495	Cavia_aperea
ENSCGRP00015007875	ENSCGRG00015006163	Cricetulus_griseus_CriGri-PICR
ENSSPAP00000009474	ENSSPAG00000007209	Stegastes_partitus
ENSAOCP00000020269	ENSAOCG00000004243	Amphiprion_ocellaris
ENSCCEP00000001309	ENSCCEG00000001565	Cyanistes_caeruleus
ENSSPUP00000007498	ENSSPUG00000005802	Sphenodon_punctatus
MGP_CAROLIEiJ_P0039184	MGP_CAROLIEiJ_G0020072	Mus_caroli_strain_CAROLI_EIJ
ENSOGAP00000010725	ENSOGAG00000011990	Otolemur_garnettii
ENSP00000255784	ENSG00000100147	Homo_sapiens	ENST00000255784
ENSCPOP00000000544	ENSCPOG00000000617	Cavia_porcellus
ENSETEP00000013770	ENSETEG00000016966	Echinops_telfairi
ENSPEMP00000031855	ENSPEMG00000030390	Peromyscus_maniculatus_bairdii
ENSPSMP00000000705	ENSPSMG00000000532	Prolemur_simus
ENSLBEP00000006994	ENSLBEG00000005391	Labrus_bergylta
ENSOARP00000020026	ENSOARG00000018655	Ovis_aries
ENSBBBP00000022967	ENSBBBG00000004265	Bison_bison_bison
ENSPPYP00000013257	ENSPPYG00000011879	Pongo_abelii	ENSPPYT00000013796
ENSHHUP00000058829	ENSHHUG00000034986	Hucho_hucho
ENSTGUP00000010117	ENSTGUG00000009807	Taeniopygia_guttata
ENSAMXP00000054086	ENSAMXG00000030919	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCJPP00005010443	ENSCJPG00005009096	Coturnix_japonica
ENSGGOP00000027033	ENSGGOG00000012055	Gorilla_gorilla	ENSGGOT00000025536
ENSSLDP00000032365	ENSSLDG00000024853	Seriola_lalandi_dorsalis
ENSPLAP00000031737	ENSPLAG00000023837	Poecilia_latipinna
ENSCHIP00000004792	ENSCHIG00000008926	Capra_hircus
ENSTSYP00000001365	ENSTSYG00000001466	Carlito_syrichta
ENSCPRP00005027539	ENSCPRG00005019078	Crocodylus_porosus
ENSMUGP00000021168	ENSMUGG00000017845	Meriones_unguiculatus
ENSELUP00000008009	ENSELUG00000008759	Esox_lucius
ENSUMAP00000028898	ENSUMAG00000020966	Ursus_maritimus
ENSNSUP00000004622	ENSNSUG00000003692	Notechis_scutatus
ENSPMJP00000003609	ENSPMJG00000003161	Parus_major
ENSPCOP00000026725	ENSPCOG00000025774	Propithecus_coquereli
ENSJJAP00000013832	ENSJJAG00000016451	Jaculus_jaculus
ENSCABP00000031308	ENSCABG00000022880	Chelonoidis_abingdonii
ENSOPRP00000007826	ENSOPRG00000008562	Ochotona_princeps
ENSCPUP00000000174	ENSCPUG00000000154	Calidris_pugnax
ENSMODP00000046809	ENSMODG00000038878	Monodelphis_domestica
ENSPPRP00000008454	ENSPPRG00000003261	Panthera_pardus
ENSODEP00000017873	ENSODEG00000013183	Octodon_degus
ENSBTAP00000071352	ENSBTAG00000021173	Bos_taurus
ENSMGAP00000012780	ENSMGAG00000012164	Meleagris_gallopavo
ENSACIP00000000701	ENSACIG00000000580	Amphilophus_citrinellus
ENSOMEP00000005792	ENSOMEG00000006828	Oryzias_melastigma
ENSCPGP00000007440	ENSCPGG00000005317	Calidris_pygmaea
ENSACLP00000024040	ENSACLG00000016354	Astatotilapia_calliptera
F56A8.9.1	WBGene00185001	Caenorhabditis_elegans_strain_N2
ENSANAP00000026294	ENSANAG00000030858	Aotus_nancymaae
ENSLCAP00010026388	ENSLCAG00010012334	Lates_calcarifer
ENSPMGP00000011597	ENSPMGG00000009607	Periophthalmus_magnuspinnatus
ENSDNVP00000005348	ENSDNVG00000003842	Dromaius_novaehollandiae
ENSCLAP00000024999	ENSCLAG00000017160	Chinchilla_lanigera
ENSAMEP00000016398	ENSAMEG00000015542	Ailuropoda_melanoleuca
ENSMAMP00000012053	ENSMAMG00000008151	Mastacembelus_armatus
ENSAOWP00000017952	ENSAOWG00000012248	Apteryx_owenii
ENSHCOP00000004545	ENSHCOG00000006010	Hippocampus_comes
ENSPTIP00000001154	ENSPTIG00000003009	Panthera_tigris_altaica
ENSFHEP00000024358	ENSFHEG00000005866	Fundulus_heteroclitus
ENSSMRP00000018959	ENSSMRG00000014772	Salvator_merianae
ENSCVAP00000003276	ENSCVAG00000004441	Cyprinodon_variegatus
ENSAPEP00000018806	ENSAPEG00000013430	Amphiprion_percula
ENSCCAP00000004281	ENSCCAG00000019608	Cebus_capucinus_imitator
ENSMEUP00000004248	ENSMEUG00000004665	Notamacropus_eugenii
ENSHGLP00000022263	ENSHGLG00000015870	Heterocephalus_glaber_HetGla_female_1.0
ENSXMAP00000036152	ENSXMAG00000024444	Xiphophorus_maculatus
ENSSBOP00000027481	ENSSBOG00000030156	Saimiri_boliviensis_boliviensis
ENSCPBP00000029103	ENSCPBG00000020531	Chrysemys_picta_bellii
ENSEEUP00000004004	ENSEEUG00000004423	Erinaceus_europaeus
ENSBMUP00000022354	ENSBMUG00000016817	Bos_mutus
ENSCJAP00000004392	ENSCJAG00000002415	Callithrix_jacchus
ENSCHAP00000020832	ENSCHAG00000010534	Clupea_harengus
ENSMSIP00000021520	ENSMSIG00000018262	Mus_spicilegus
MGP_SPRETEiJ_P0040990	MGP_SPRETEiJ_G0020972	Mus_spretus_strain_SPRET/EiJ
ENSORLP00020005528	ENSORLG00020000908	Oryzias_latipes_ASM223471v1
