ENSCAPP00000015353	ENSCAPG00000015494	Cavia_aperea
ENSDORP00000000217	ENSDORG00000000236	Dipodomys_ordii
ENSOANP00000012024	ENSOANG00000007546	Ornithorhynchus_anatinus
ENSMODP00000035614	ENSMODG00000024783	Monodelphis_domestica
ENSCCEP00000027005	ENSCCEG00000023621	Cyanistes_caeruleus
ENSPMJP00000010795	ENSPMJG00000008451	Parus_major
ENSMUNP00000016352	ENSMUNG00000012584	Melopsittacus_undulatus
ENSNPEP00000000209	ENSNPEG00000000198	Nothoprocta_perdicaria
ENSNBRP00000024756	ENSNBRG00000018920	Neolamprologus_brichardi
ENSEBUP00000008945	ENSEBUG00000005728	Eptatretus_burgeri
ENSSLDP00000002826	ENSSLDG00000002247	Seriola_lalandi_dorsalis
ENSPTEP00000001458	ENSPTEG00000001617	Piliocolobus_tephrosceles
FBpp0087187	FBgn0010516	Drosophila_melanogaster
F27D4.1.1	WBGene00009187	Caenorhabditis_elegans_strain_N2
