ENSCPUP00000017484	ENSCPUG00000012042	Calidris_pugnax
ENSCPGP00000009544	ENSCPGG00000006778	Calidris_pygmaea
ENSMUNP00000012930	ENSMUNG00000010119	Melopsittacus_undulatus
ENSTGUP00000010130	ENSTGUG00000009817	Taeniopygia_guttata
ENSLSDP00000022085	ENSLSDG00000015594	Lonchura_striata_domestica
ENSSCAP00000020192	ENSSCAG00000014554	Serinus_canaria
ENSJHYP00000015807	ENSJHYG00000012131	Junco_hyemalis
ENSZALP00000005564	ENSZALG00000005180	Zonotrichia_albicollis
ENSLSDP00000022106	ENSLSDG00000015602	Lonchura_striata_domestica
ENSCCEP00000007641	ENSCCEG00000008006	Cyanistes_caeruleus
ENSPMJP00000012750	ENSPMJG00000009769	Parus_major
ENSFALP00000010925	ENSFALG00000010472	Ficedula_albicollis
ENSLCOP00000019360	ENSLCOG00000013696	Lepidothrix_coronata
ENSMVIP00005010898	ENSMVIG00005008017	Manacus_vitellinus
ENSGALP00000045724	ENSGALG00000040729	Gallus_gallus	ENSGALT00000050736
ENSMGAP00000009368	ENSMGAG00000009084	Meleagris_gallopavo
ENSCJPP00005023260	ENSCJPG00005018481	Coturnix_japonica
ENSNMEP00000015032	ENSNMEG00000013369	Numida_meleagris
ENSABRP00000016099	ENSABRG00000014118	Anser_brachyrhynchus
ENSAPLP00000031136	ENSAPLG00000012991	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000018795	ENSAHAG00000013100	Apteryx_haastii
ENSAOWP00000010794	ENSAOWG00000007287	Apteryx_owenii
ENSARWP00000011828	ENSARWG00000008175	Apteryx_rowi
ENSDNVP00000017239	ENSDNVG00000012061	Dromaius_novaehollandiae
ENSNPEP00000002251	ENSNPEG00000000897	Nothoprocta_perdicaria
ENSCPRP00005021807	ENSCPRG00005015154	Crocodylus_porosus
ENSGAGP00000004925	ENSGAGG00000004032	Gopherus_agassizii
ENSCABP00000020944	ENSCABG00000015151	Chelonoidis_abingdonii
ENSCPBP00000034579	ENSCPBG00000024116	Chrysemys_picta_bellii
ENSPSIP00000009766	ENSPSIG00000008774	Pelodiscus_sinensis
ENSPVIP00000030174	ENSPVIG00000022231	Pogona_vitticeps
ENSACAP00000021446	ENSACAG00000015298	Anolis_carolinensis
ENSNSUP00000022842	ENSNSUG00000016481	Notechis_scutatus
ENSSMRP00000018167	ENSSMRG00000014133	Salvator_merianae
ENSSPUP00000003380	ENSSPUG00000002414	Sphenodon_punctatus
ENSXETP00000042829	ENSXETG00000010482	Xenopus_tropicalis
ENSCMIP00000017831	ENSCMIG00000008455	Callorhinchus_milii
ENSVURP00010006702	ENSVURG00010005199	Vombatus_ursinus
ENSPCIP00000010163	ENSPCIG00000008274	Phascolarctos_cinereus
ENSMEUP00000000786	ENSMEUG00000000843	Notamacropus_eugenii
ENSMODP00000018737	ENSMODG00000014983	Monodelphis_domestica
ENSPCOP00000028404	ENSPCOG00000026825	Propithecus_coquereli
ENSMICP00000042302	ENSMICG00000015084	Microcebus_murinus
ENSOGAP00000008875	ENSOGAG00000009918	Otolemur_garnettii
ENSCCAP00000029500	ENSCCAG00000032797	Cebus_capucinus_imitator
ENSCJAP00000021788	ENSCJAG00000011846	Callithrix_jacchus
ENSSBOP00000011110	ENSSBOG00000022368	Saimiri_boliviensis_boliviensis
ENSANAP00000020500	ENSANAG00000028026	Aotus_nancymaae
ENSPPAP00000002424	ENSPPAG00000010711	Pan_paniscus
ENSPTRP00000082395	ENSPTRG00000049480	Pan_troglodytes
ENSGGOP00000029519	ENSGGOG00000010775	Gorilla_gorilla
ENSP00000337797	ENSG00000177595	Homo_sapiens
ENSPPYP00000003356	ENSPPYG00000002884	Pongo_abelii
ENSNLEP00000042914	ENSNLEG00000008607	Nomascus_leucogenys
