ENSPPYP00000000840	ENSPPYG00000000725	Pongo_abelii	ENSPPYT00000000871
ENSTBEP00000002242	ENSTBEG00000002592	Tupaia_belangeri	ENSTBET00000002588
ENSTTRP00000001316	ENSTTRG00000001399	Tursiops_truncatus	ENSTTRT00000001399
ENSSARP00000010206	ENSSARG00000011293	Sorex_araneus	ENSSART00000011287
ENSPCAP00000007758	ENSPCAG00000008311	Procavia_capensis	ENSPCAT00000008294
ENSCHOP00000003728	ENSCHOG00000004215	Choloepus_hoffmanni	ENSCHOT00000004229
ENSPCOP00000021077	ENSPCOG00000022530	Propithecus_coquereli	ENSPCOT00000031736
ENSMICP00000002055	ENSMICG00000002248	Microcebus_murinus	ENSMICT00000002247
ENSRROP00000028630	ENSRROG00000038103	Rhinopithecus_roxellana	ENSRROT00000052995
ENSPTEP00000010162	ENSPTEG00000011553	Piliocolobus_tephrosceles	ENSPTET00000015455
ENSTGEP00000001157	ENSTGEG00000001109	Theropithecus_gelada	ENSTGET00000001488
ENSRBIP00000024214	ENSRBIG00000036011	Rhinopithecus_bieti	ENSRBIT00000048115
ENSMMMP00000015428	ENSMMMG00000013758	Marmota_marmota_marmota
ENSBIXP00000042369	ENSBIXG00000001438	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005008344	ENSBIXG00005013392	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000012411	ENSBTAG00000009432	Bos_taurus
ENSBMUP00000019084	ENSBMUG00000014459	Bos_mutus
ENSBBBP00000021985	ENSBBBG00000015627	Bison_bison_bison
ENSCHIP00000031307	ENSCHIG00000025721	Capra_hircus
ENSOARP00000006016	ENSOARG00000005608	Ovis_aries
ENSSSCP00000042058	ENSSSCG00000050915	Sus_scrofa_strain_reference
ENSCAFP00020007538	ENSCAFG00020006096	Canis_lupus_dingo
ENSVVUP00000007765	ENSVVUG00000005870	Vulpes_vulpes
ENSAMEP00000015190	ENSAMEG00000014403	Ailuropoda_melanoleuca
ENSUAMP00000017329	ENSUAMG00000013738	Ursus_americanus
ENSPPRP00000024955	ENSPPRG00000015181	Panthera_pardus
ENSFCAP00000010935	ENSFCAG00000011781	Felis_catus
ENSECAP00000004366	ENSECAG00000005938	Equus_caballus
ENSDNOP00000033056	ENSDNOG00000048458	Dasypus_novemcinctus
ENSPVAP00000015799	ENSPVAG00000016745	Pteropus_vampyrus
ENSOPRP00000006690	ENSOPRG00000007305	Ochotona_princeps
ENSMEUP00000011677	ENSMEUG00000012804	Notamacropus_eugenii
