ENSPMAP00000009920	ENSPMAG00000009018	Petromyzon_marinus	ENSPMAT00000009963
ENSEBUP00000018583	ENSEBUG00000011600	Eptatretus_burgeri	ENSEBUT00000019159
ENSELUP00000035678	ENSELUG00000000539	Esox_lucius
ENSHHUP00000051345	ENSHHUG00000030920	Hucho_hucho
ENSHHUP00000051351	ENSHHUG00000030923	Hucho_hucho
ENSACLP00000009040	ENSACLG00000006103	Astatotilapia_calliptera
ENSACLP00000009576	ENSACLG00000006536	Astatotilapia_calliptera
ENSPNYP00000014291	ENSPNYG00000010841	Pundamilia_nyererei
ENSHBUP00000029076	ENSHBUG00000013251	Haplochromis_burtoni
ENSMZEP00005016036	ENSMZEG00005012046	Maylandia_zebra
ENSNBRP00000027666	ENSNBRG00000021102	Neolamprologus_brichardi
ENSONIP00000019278	ENSONIG00000015321	Oreochromis_niloticus
ENSPRNP00000012638	ENSPRNG00000006987	Parambassis_ranga
ENSCSEP00000028466	ENSCSEG00000018206	Cynoglossus_semilaevis
ENSBSLP00000025113	ENSBSLG00000012661	Betta_splendens
ENSMAMP00000032953	ENSMAMG00000022178	Mastacembelus_armatus
ENSMALP00000016369	ENSMALG00000011454	Monopterus_albus
ENSATEP00000014693	ENSATEG00000010242	Anabas_testudineus
ENSSPAP00000013545	ENSSPAG00000010250	Stegastes_partitus
ENSACIP00000009244	ENSACIG00000007246	Amphilophus_citrinellus
ENSSMAP00000023851	ENSSMAG00000014552	Scophthalmus_maximus
ENSGACP00000023264	ENSGACG00000017603	Gasterosteus_aculeatus
ENSCGOP00000008237	ENSCGOG00000004242	Cottoperca_gobio
ENSAPEP00000004674	ENSAPEG00000003378	Amphiprion_percula
ENSAOCP00000012553	ENSAOCG00000017046	Amphiprion_ocellaris
ENSAPOP00000012678	ENSAPOG00000015373	Acanthochromis_polyacanthus
ENSORLP00015032435	ENSORLG00015000480	Oryzias_latipes_ASM223469v1
ENSORLP00000002124	ENSORLG00000001708	Oryzias_latipes_ASM223467v1
ENSORLP00020027229	ENSORLG00020010098	Oryzias_latipes_ASM223471v1
ENSOMEP00000007967	ENSOMEG00000009112	Oryzias_melastigma
ENSTNIP00000021324	ENSTNIG00000018158	Tetraodon_nigroviridis
ENSTRUP00000055404	ENSTRUG00000000217	Takifugu_rubripes
ENSMMOP00000023048	ENSMMOG00000017536	Mola_mola
ENSFHEP00000007193	ENSFHEG00000008269	Fundulus_heteroclitus
ENSCVAP00000009532	ENSCVAG00000011507	Cyprinodon_variegatus
ENSPFOP00000003226	ENSPFOG00000003283	Poecilia_formosa
ENSPLAP00000019857	ENSPLAG00000002295	Poecilia_latipinna
ENSPREP00000019174	ENSPREG00000012978	Poecilia_reticulata
ENSPMEP00000009087	ENSPMEG00000010901	Poecilia_mexicana
ENSGAFP00000022009	ENSGAFG00000014852	Gambusia_affinis
ENSXMAP00000026016	ENSXMAG00000021564	Xiphophorus_maculatus
ENSXCOP00000013997	ENSXCOG00000010593	Xiphophorus_couchianus
ENSKMAP00000002503	ENSKMAG00000001934	Kryptolebias_marmoratus
ENSLBEP00000015045	ENSLBEG00000011737	Labrus_bergylta
ENSLBEP00000031395	ENSLBEG00000023699	Labrus_bergylta
ENSLCRP00005022811	ENSLCRG00005009203	Larimichthys_crocea
ENSSDUP00000029160	ENSSDUG00000021026	Seriola_dumerili
ENSSLDP00000001657	ENSSLDG00000001330	Seriola_lalandi_dorsalis
ENSSMAP00000023822	ENSSMAG00000014530	Scophthalmus_maximus
ENSLCAP00010030133	ENSLCAG00010014161	Lates_calcarifer
ENSGWIP00000006826	ENSGWIG00000003991	Gouania_willdenowi
ENSPMGP00000029805	ENSPMGG00000023990	Periophthalmus_magnuspinnatus
ENSHCOP00000025087	ENSHCOG00000014959	Hippocampus_comes
ENSGMOP00000005654	ENSGMOG00000005329	Gadus_morhua
ENSCHAP00000040178	ENSCHAG00000018809	Clupea_harengus
ENSDCDP00000038962	ENSDCDG00000025904	Denticeps_clupeoides
ENSAMXP00005028253	ENSAMXG00005014112	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000052775	ENSAMXG00000040785	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000019219	ENSPNAG00000025746	Pygocentrus_nattereri
ENSEEEP00000000110	ENSEEEG00000000072	Electrophorus_electricus
ENSIPUP00000015397	ENSIPUG00000010491	Ictalurus_punctatus
ENSDARP00000083350	ENSDARG00000070553	Danio_rerio
ENSPKIP00000012219	ENSPKIG00000000087	Paramormyrops_kingsleyae
ENSSFOP00015030555	ENSSFOG00015019605	Scleropages_formosus
ENSLOCP00000011658	ENSLOCG00000009540	Lepisosteus_oculatus
ENSECRP00000031567	ENSECRG00000021384	Erpetoichthys_calabaricus
ENSPVIP00000027427	ENSPVIG00000020380	Pogona_vitticeps
ENSACAP00000022501	ENSACAG00000028611	Anolis_carolinensis
ENSNSUP00000012550	ENSNSUG00000009403	Notechis_scutatus
ENSSMRP00000004295	ENSSMRG00000003568	Salvator_merianae
ENSSPUP00000016432	ENSSPUG00000012731	Sphenodon_punctatus
ENSAHAP00000021185	ENSAHAG00000014870	Apteryx_haastii
ENSAOWP00000017525	ENSAOWG00000011945	Apteryx_owenii
ENSARWP00000024493	ENSARWG00000016691	Apteryx_rowi
ENSDNVP00000014319	ENSDNVG00000010067	Dromaius_novaehollandiae
ENSNPEP00000009227	ENSNPEG00000006927	Nothoprocta_perdicaria
