ENSECRP00000032085	ENSECRG00000021749	Erpetoichthys_calabaricus
ENSXETP00000018090	ENSXETG00000001910	Xenopus_tropicalis
ENSPTIP00000014030	ENSPTIG00000013589	Panthera_tigris_altaica
ENSPPRP00000008323	ENSPPRG00000003171	Panthera_pardus
ENSFCAP00000039913	ENSFCAG00000033143	Felis_catus
ENSUMAP00000012761	ENSUMAG00000009467	Ursus_maritimus
ENSUAMP00000017344	ENSUAMG00000013750	Ursus_americanus
ENSAMEP00000016940	ENSAMEG00000016054	Ailuropoda_melanoleuca
ENSCAFP00000039838	ENSCAFG00000030109	Canis_lupus_familiaris
ENSCAFP00020023719	ENSCAFG00020018691	Canis_lupus_dingo
ENSVVUP00000018141	ENSVVUG00000013362	Vulpes_vulpes
ENSNVIP00000017337	ENSNVIG00000013572	Neovison_vison
ENSBIXP00005040633	ENSBIXG00005003997	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000032364	ENSBIXG00000014913	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000058167	ENSBTAG00000048560	Bos_taurus
ENSBMUP00000028966	ENSBMUG00000021682	Bos_mutus
ENSBBBP00000007522	ENSBBBG00000003881	Bison_bison_bison
ENSCHIP00000002663	ENSCHIG00000006355	Capra_hircus
ENSOARP00000001679	ENSOARG00000001604	Ovis_aries
ENSEASP00005012532	ENSEASG00005008748	Equus_asinus_asinus
ENSMLUP00000019257	ENSMLUG00000028162	Myotis_lucifugus
ENSMSIP00000014073	ENSMSIG00000012120	Mus_spicilegus
MGP_SPRETEiJ_P0072912	MGP_SPRETEiJ_G0028634	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000107628	ENSMUSG00000079278	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0070225	MGP_CAROLIEiJ_G0027635	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0058445	MGP_PahariEiJ_G0024216	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000073438	ENSRNOG00000053974	Rattus_norvegicus
ENSMUGP00000029555	ENSMUGG00000024536	Meriones_unguiculatus
ENSCGRP00015003748	ENSCGRG00015002986	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000008158	ENSCGRG00000005949	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001006100	ENSCGRG00001008180	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000021811	ENSMAUG00000019424	Mesocricetus_auratus
ENSMOCP00000003129	ENSMOCG00000002502	Microtus_ochrogaster
ENSPEMP00000029103	ENSPEMG00000028294	Peromyscus_maniculatus_bairdii
ENSNGAP00000003675	ENSNGAG00000004379	Nannospalax_galili
ENSJJAP00000024520	ENSJJAG00000023958	Jaculus_jaculus
ENSHGLP00000011546	ENSHGLG00000008279	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100022663	ENSHGLG00100016662	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000008134	ENSFDAG00000006502	Fukomys_damarensis
ENSCLAP00000019112	ENSCLAG00000013093	Chinchilla_lanigera
ENSODEP00000008289	ENSODEG00000006179	Octodon_degus
ENSCPOP00000027969	ENSCPOG00000037552	Cavia_porcellus
ENSUPAP00010021939	ENSUPAG00010017457	Urocitellus_parryii
ENSSDAP00000024190	ENSSDAG00000022039	Spermophilus_dauricus
ENSMMMP00000024410	ENSMMMG00000021361	Marmota_marmota_marmota
ENSCCNP00000019534	ENSCCNG00000019622	Castor_canadensis
ENSOCUP00000021590	ENSOCUG00000027773	Oryctolagus_cuniculus
ENSPTRP00000060185	ENSPTRG00000040726	Pan_troglodytes
ENSP00000403130	ENSG00000224982	Homo_sapiens
ENSPPAP00000010540	ENSPPAG00000028483	Pan_paniscus
ENSGGOP00000021182	ENSGGOG00000028450	Gorilla_gorilla
ENSRBIP00000025258	ENSRBIG00000036518	Rhinopithecus_bieti
ENSRROP00000007083	ENSRROG00000026936	Rhinopithecus_roxellana
ENSPTEP00000002591	ENSPTEG00000003073	Piliocolobus_tephrosceles
ENSCANP00000019340	ENSCANG00000033108	Colobus_angolensis_palliatus
ENSMLEP00000002356	ENSMLEG00000009547	Mandrillus_leucophaeus
ENSCSAP00000015745	ENSCSAG00000002292	Chlorocebus_sabaeus
ENSTGEP00000027628	ENSTGEG00000022302	Theropithecus_gelada
ENSPANP00000026438	ENSPANG00000005323	Papio_anubis
ENSMNEP00000002076	ENSMNEG00000009511	Macaca_nemestrina
ENSMFAP00000038446	ENSMFAG00000038580	Macaca_fascicularis
ENSMMUP00000079055	ENSMMUG00000059150	Macaca_mulatta
ENSCATP00000024680	ENSCATG00000035855	Cercocebus_atys
ENSNLEP00000045782	ENSNLEG00000030356	Nomascus_leucogenys
ENSCCAP00000023690	ENSCCAG00000029640	Cebus_capucinus_imitator
ENSCJAP00000067223	ENSCJAG00000048259	Callithrix_jacchus
ENSSBOP00000012707	ENSSBOG00000023158	Saimiri_boliviensis_boliviensis
ENSANAP00000031352	ENSANAG00000033418	Aotus_nancymaae
ENSTSYP00000025108	ENSTSYG00000030650	Carlito_syrichta
