ENSPSMP00000035309	ENSPSMG00000024324	Prolemur_simus
ENSSMAP00000014934	ENSSMAG00000009147	Scophthalmus_maximus
ENSEASP00005004482	ENSEASG00005003399	Equus_asinus_asinus
ENSXMAP00000039349	ENSXMAG00000002712	Xiphophorus_maculatus
ENSNBRP00000006760	ENSNBRG00000005316	Neolamprologus_brichardi
ENSPRNP00000033840	ENSPRNG00000017022	Parambassis_ranga
ENSAPEP00000004537	ENSAPEG00000003271	Amphiprion_percula
ENSPCOP00000015934	ENSPCOG00000019717	Propithecus_coquereli
ENSEEUP00000007285	ENSEEUG00000008026	Erinaceus_europaeus
ENSPLAP00000025414	ENSPLAG00000012419	Poecilia_latipinna
ENSONIP00000013784	ENSONIG00000010956	Oreochromis_niloticus
ENSCAPP00000012972	ENSCAPG00000013701	Cavia_aperea
ENSMAMP00000019581	ENSMAMG00000013174	Mastacembelus_armatus
ENSMLUP00000004077	ENSMLUG00000004482	Myotis_lucifugus
ENSPPYP00000000455	ENSPPYG00000000400	Pongo_abelii
ENSMMOP00000022475	ENSMMOG00000017080	Mola_mola
ENSTRUP00000051564	ENSTRUG00000021618	Takifugu_rubripes
ENSHHUP00000025659	ENSHHUG00000016193	Hucho_hucho	ENSHHUT00000026670
ENSETEP00000012838	ENSETEG00000015830	Echinops_telfairi
ENSSDAP00000001688	ENSSDAG00000001651	Spermophilus_dauricus
ENSCHAP00000034219	ENSCHAG00000016276	Clupea_harengus
ENSEEEP00000037421	ENSEEEG00000017795	Electrophorus_electricus
ENSZALP00000019729	ENSZALG00000015590	Zonotrichia_albicollis
ENSPFOP00000003498	ENSPFOG00000003546	Poecilia_formosa
ENSCAFP00020005415	ENSCAFG00020004435	Canis_lupus_dingo
ENSMSIP00000007252	ENSMSIG00000006471	Mus_spicilegus
ENSORLP00000036417	ENSORLG00000023386	Oryzias_latipes_ASM223467v1
ENSVVUP00000018169	ENSVVUG00000013390	Vulpes_vulpes
ENSPSIP00000007695	ENSPSIG00000007064	Pelodiscus_sinensis
ENSHHUP00000025662	ENSHHUG00000016197	Hucho_hucho
ENSPNAP00000037452	ENSPNAG00000004529	Pygocentrus_nattereri
ENSAMXP00000028184	ENSAMXG00000039869	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNYP00000000633	ENSPNYG00000000498	Pundamilia_nyererei
ENSSPAP00000004121	ENSSPAG00000003199	Stegastes_partitus
ENSPANP00000001440	ENSPANG00000001372	Papio_anubis
ENSBSLP00000051841	ENSBSLG00000024538	Betta_splendens
ENSPREP00000015630	ENSPREG00000010553	Poecilia_reticulata
ENSPMEP00000010204	ENSPMEG00000012114	Poecilia_mexicana
ENSMNEP00000035263	ENSMNEG00000040797	Macaca_nemestrina
ENSCVAP00000006545	ENSCVAG00000008116	Cyprinodon_variegatus
ENSMAMP00000019591	ENSMAMG00000013180	Mastacembelus_armatus	ENSMAMT00000020095
ENSCJAP00000016003	ENSCJAG00000008699	Callithrix_jacchus
ENSDARP00000131644	ENSDARG00000102059	Danio_rerio
ENSCGRP00015027284	ENSCGRG00015020685	Cricetulus_griseus_CriGri-PICR
ENSGWIP00000013859	ENSGWIG00000007859	Gouania_willdenowi	ENSGWIT00000015353
ENSELUP00000027193	ENSELUG00000003324	Esox_lucius
ENSAOCP00000032449	ENSAOCG00000024773	Amphiprion_ocellaris
ENSTNIP00000015306	ENSTNIG00000012338	Tetraodon_nigroviridis
ENSECAP00000009425	ENSECAG00000011629	Equus_caballus
ENSFHEP00000030668	ENSFHEG00000016100	Fundulus_heteroclitus
ENSMVIP00005021727	ENSMVIG00005015278	Manacus_vitellinus
ENSCAFP00000040452	ENSCAFG00000030137	Canis_lupus_familiaris
ENSGACP00000021262	ENSGACG00000016116	Gasterosteus_aculeatus
ENSCPRP00005001247	ENSCPRG00005000957	Crocodylus_porosus
ENSPTIP00000007447	ENSPTIG00000009097	Panthera_tigris_altaica
ENSGAGP00000019945	ENSGAGG00000014690	Gopherus_agassizii
ENSRBIP00000005152	ENSRBIG00000023324	Rhinopithecus_bieti
ENSPVAP00000001108	ENSPVAG00000001178	Pteropus_vampyrus
