ENSMICP00000044809	ENSMICG00000033175	Microcebus_murinus
ENSEEUP00000005926	ENSEEUG00000006520	Erinaceus_europaeus
ENSHCOP00000016051	ENSHCOG00000019765	Hippocampus_comes
ENSCGRP00000019634	ENSCGRG00000014300	Cricetulus_griseus_CriGri_1.0
ENSMUSP00000033540	ENSMUSG00000031197	Mus_musculus_strain_reference_(CL57BL6)
ENSMGAP00000006979	ENSMGAG00000006902	Meleagris_gallopavo
ENSPSMP00000028783	ENSPSMG00000020000	Prolemur_simus
ENSCABP00000027253	ENSCABG00000020008	Chelonoidis_abingdonii
ENSDNVP00000009551	ENSDNVG00000006753	Dromaius_novaehollandiae
ENSABRP00000017279	ENSABRG00000015050	Anser_brachyrhynchus
ENSACIP00000030833	ENSACIG00000023834	Amphilophus_citrinellus
ENSCJAP00000007860	ENSCJAG00000004338	Callithrix_jacchus
ENSPKIP00000003210	ENSPKIG00000020808	Paramormyrops_kingsleyae	ENSPKIT00000027169
ENSSBOP00000033696	ENSSBOG00000032996	Saimiri_boliviensis_boliviensis
ENSJJAP00000014762	ENSJJAG00000017143	Jaculus_jaculus
ENSUAMP00000029954	ENSUAMG00000023019	Ursus_americanus
ENSCPUP00000002828	ENSCPUG00000002151	Calidris_pugnax
ENSEBUP00000014649	ENSEBUG00000009230	Eptatretus_burgeri
ENSMPUP00000017289	ENSMPUG00000017399	Mustela_putorius_furo
ENSP00000286428	ENSG00000155959	Homo_sapiens
ENSORLP00000010474	ENSORLG00000008340	Oryzias_latipes_ASM223467v1
ENSCGRP00001011900	ENSCGRG00001013440	Cricetulus_griseus_CHOK1GS_HDv1
ENSDCDP00000004983	ENSDCDG00000002467	Denticeps_clupeoides
ENSVURP00010030022	ENSVURG00010022950	Vombatus_ursinus
ENSPPYP00000023400	ENSPPYG00000020900	Pongo_abelii
ENSSARP00000003967	ENSSARG00000004386	Sorex_araneus
ENSPTIP00000004516	ENSPTIG00000006992	Panthera_tigris_altaica
ENSDORP00000004333	ENSDORG00000004628	Dipodomys_ordii
ENSBBBP00000028518	ENSBBBG00000025267	Bison_bison_bison
ENSCATP00000009526	ENSCATG00000028770	Cercocebus_atys
ENSLCAP00010009643	ENSLCAG00010004636	Lates_calcarifer
ENSFALP00000000204	ENSFALG00000000202	Ficedula_albicollis
ENSHGLP00100027937	ENSHGLG00100021124	Heterocephalus_glaber_HetGla_1.0
ENSCPOP00000012293	ENSCPOG00000013652	Cavia_porcellus
ENSELUP00000035085	ENSELUG00000013935	Esox_lucius
ENSMPUP00000016024	ENSMPUG00000016131	Mustela_putorius_furo
ENSUPAP00010010140	ENSUPAG00010008210	Urocitellus_parryii
ENSBMUP00000009233	ENSBMUG00000007185	Bos_mutus
ENSTNIP00000006277	ENSTNIG00000003680	Tetraodon_nigroviridis
ENSSSCP00000029596	ENSSSCG00000012811	Sus_scrofa_strain_reference
ENSHGLP00100000176	ENSHGLG00100000150	Heterocephalus_glaber_HetGla_1.0
ENSRNOP00000065979	ENSRNOG00000050401	Rattus_norvegicus
ENSTBEP00000006771	ENSTBEG00000007833	Tupaia_belangeri
