ENSARWP00000026462	ENSARWG00000017912	Apteryx_rowi
ENSAHAP00000006975	ENSAHAG00000005218	Apteryx_haastii
ENSDNVP00000016996	ENSDNVG00000011879	Dromaius_novaehollandiae
ENSABRP00000012629	ENSABRG00000011330	Anser_brachyrhynchus
ENSAPLP00000028078	ENSAPLG00000027957	Anas_platyrhynchos_platyrhynchos
ENSNMEP00000023323	ENSNMEG00000019893	Numida_meleagris
ENSCJPP00005014146	ENSCJPG00005011841	Coturnix_japonica
ENSLCOP00000010005	ENSLCOG00000007269	Lepidothrix_coronata
ENSCPRP00005000109	ENSCPRG00005000116	Crocodylus_porosus
ENSPVIP00000020715	ENSPVIG00000015790	Pogona_vitticeps
ENSNSUP00000028538	ENSNSUG00000020302	Notechis_scutatus
ENSSMRP00000015428	ENSSMRG00000011985	Salvator_merianae
ENSSPUP00000001050	ENSSPUG00000000840	Sphenodon_punctatus
ENSLCOP00000010007	ENSLCOG00000007270	Lepidothrix_coronata
ENSNPEP00000015447	ENSNPEG00000011538	Nothoprocta_perdicaria
ENSPVIP00000020723	ENSPVIG00000015798	Pogona_vitticeps
ENSGAGP00000031997	ENSGAGG00000022945	Gopherus_agassizii
ENSCPBP00000033198	ENSCPBG00000023247	Chrysemys_picta_bellii
ENSCABP00000016450	ENSCABG00000012224	Chelonoidis_abingdonii
ENSPSIP00000013491	ENSPSIG00000012125	Pelodiscus_sinensis
ENSPCAP00000005053	ENSPCAG00000005318	Procavia_capensis
ENSETEP00000005498	ENSETEG00000006766	Echinops_telfairi
ENSLAFP00000012727	ENSLAFG00000015193	Loxodonta_africana
ENSUAMP00000025377	ENSUAMG00000019767	Ursus_americanus
ENSUMAP00000011290	ENSUMAG00000008469	Ursus_maritimus
ENSAMEP00000011239	ENSAMEG00000010689	Ailuropoda_melanoleuca
ENSNVIP00000022463	ENSNVIG00000017497	Neovison_vison
ENSMPUP00000009449	ENSMPUG00000009525	Mustela_putorius_furo
ENSCAFP00020021458	ENSCAFG00020016966	Canis_lupus_dingo
ENSCAFP00000061769	ENSCAFG00000007292	Canis_lupus_familiaris
ENSVVUP00000040185	ENSVVUG00000028697	Vulpes_vulpes
ENSPPRP00000012374	ENSPPRG00000005962	Panthera_pardus
ENSPTIP00000007903	ENSPTIG00000009382	Panthera_tigris_altaica
ENSFCAP00000008884	ENSFCAG00000009579	Felis_catus
ENSCHIP00000030142	ENSCHIG00000025022	Capra_hircus
ENSOARP00000022377	ENSOARG00000020818	Ovis_aries
ENSBTAP00000061490	ENSBTAG00000019072	Bos_taurus
ENSBMUP00000010792	ENSBMUG00000008316	Bos_mutus
ENSTTRP00000011325	ENSTTRG00000011937	Tursiops_truncatus
ENSPVAP00000005354	ENSPVAG00000005662	Pteropus_vampyrus
ENSMLUP00000010863	ENSMLUG00000011914	Myotis_lucifugus
ENSECAP00000020233	ENSECAG00000022660	Equus_caballus
ENSEASP00005009138	ENSEASG00005006540	Equus_asinus_asinus
ENSEEUP00000001921	ENSEEUG00000002105	Erinaceus_europaeus
ENSCLAP00000006895	ENSCLAG00000004856	Chinchilla_lanigera
ENSODEP00000007484	ENSODEG00000005583	Octodon_degus
ENSCPOP00000010797	ENSCPOG00000011999	Cavia_porcellus
ENSCAPP00000005181	ENSCAPG00000007543	Cavia_aperea
ENSHGLP00100005010	ENSHGLG00100003799	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000023503	ENSHGLG00000016761	Heterocephalus_glaber_HetGla_female_1.0
ENSMMMP00000003106	ENSMMMG00000002787	Marmota_marmota_marmota
ENSSDAP00000017796	ENSSDAG00000016199	Spermophilus_dauricus
ENSCCNP00000022056	ENSCCNG00000021316	Castor_canadensis
ENSDORP00000003172	ENSDORG00000003392	Dipodomys_ordii
ENSMSIP00000030517	ENSMSIG00000025484	Mus_spicilegus
MGP_SPRETEiJ_P0051946	MGP_SPRETEiJ_G0024154	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000100006	ENSMUSG00000026979	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0049933	MGP_CAROLIEiJ_G0023237	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0060958	MGP_PahariEiJ_G0024695	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000008161	ENSRNOG00000006079	Rattus_norvegicus
ENSMUGP00000014327	ENSMUGG00000012341	Meriones_unguiculatus
ENSCGRP00001008460	ENSCGRG00001010714	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000005157	ENSCGRG00000003774	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015005245	ENSCGRG00015004043	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000011194	ENSMAUG00000011834	Mesocricetus_auratus
ENSPEMP00000018482	ENSPEMG00000017053	Peromyscus_maniculatus_bairdii
ENSMOCP00000007543	ENSMOCG00000007380	Microtus_ochrogaster
ENSNGAP00000009513	ENSNGAG00000012158	Nannospalax_galili
ENSJJAP00000003375	ENSJJAG00000006466	Jaculus_jaculus
ENSOCUP00000003614	ENSOCUG00000004174	Oryctolagus_cuniculus
ENSOPRP00000011761	ENSOPRG00000012871	Ochotona_princeps
ENSTBEP00000006100	ENSTBEG00000007010	Tupaia_belangeri
ENSPTRP00000021205	ENSPTRG00000012379	Pan_troglodytes
ENSPPAP00000020316	ENSPPAG00000033376	Pan_paniscus
ENSP00000245796	ENSG00000125637	Homo_sapiens
ENSGGOP00000004490	ENSGGOG00000004574	Gorilla_gorilla
ENSPPYP00000013581	ENSPPYG00000012182	Pongo_abelii
ENSNLEP00000002586	ENSNLEG00000002038	Nomascus_leucogenys
ENSPANP00000011390	ENSPANG00000025950	Papio_anubis
ENSCATP00000042434	ENSCATG00000043819	Cercocebus_atys
ENSTGEP00000035823	ENSTGEG00000028511	Theropithecus_gelada
ENSMLEP00000037467	ENSMLEG00000042825	Mandrillus_leucophaeus
ENSMFAP00000022316	ENSMFAG00000040672	Macaca_fascicularis
ENSMNEP00000031134	ENSMNEG00000038985	Macaca_nemestrina
ENSMMUP00000080369	ENSMMUG00000011572	Macaca_mulatta
ENSCSAP00000012745	ENSCSAG00000016690	Chlorocebus_sabaeus
ENSPTEP00000015399	ENSPTEG00000017077	Piliocolobus_tephrosceles
ENSCANP00000030427	ENSCANG00000038876	Colobus_angolensis_palliatus
ENSRBIP00000005377	ENSRBIG00000023939	Rhinopithecus_bieti
ENSRROP00000014158	ENSRROG00000031288	Rhinopithecus_roxellana
ENSCCAP00000002874	ENSCCAG00000016527	Cebus_capucinus_imitator
ENSSBOP00000036157	ENSSBOG00000034213	Saimiri_boliviensis_boliviensis
ENSCJAP00000075767	ENSCJAG00000013912	Callithrix_jacchus
ENSANAP00000007772	ENSANAG00000021945	Aotus_nancymaae
ENSTSYP00000010609	ENSTSYG00000011562	Carlito_syrichta
ENSPCOP00000025341	ENSPCOG00000024889	Propithecus_coquereli
ENSMICP00000002959	ENSMICG00000003255	Microcebus_murinus
ENSOGAP00000008430	ENSOGAG00000009413	Otolemur_garnettii
ENSSARP00000004399	ENSSARG00000004826	Sorex_araneus
ENSBBBP00000022731	ENSBBBG00000016789	Bison_bison_bison
ENSPSMP00000023008	ENSPSMG00000016293	Prolemur_simus
ENSDNOP00000023807	ENSDNOG00000047057	Dasypus_novemcinctus
ENSPCIP00000005005	ENSPCIG00000004140	Phascolarctos_cinereus
ENSVURP00010027245	ENSVURG00010020854	Vombatus_ursinus
ENSMEUP00000011102	ENSMEUG00000012151	Notamacropus_eugenii
ENSMODP00000017230	ENSMODG00000013780	Monodelphis_domestica
