ENSPMAP00000002302	ENSPMAG00000002105	Petromyzon_marinus	ENSPMAT00000002313
ENSEBUP00000021133	ENSEBUG00000013062	Eptatretus_burgeri	ENSEBUT00000021709
ENSSLDP00000033306	ENSSLDG00000025491	Seriola_lalandi_dorsalis
ENSSDUP00000015172	ENSSDUG00000011063	Seriola_dumerili	ENSSDUT00000015456
ENSLCAP00010038659	ENSLCAG00010018102	Lates_calcarifer
ENSLCRP00005038754	ENSLCRG00005015015	Larimichthys_crocea
ENSLBEP00000010013	ENSLBEG00000007739	Labrus_bergylta
ENSCGOP00000031391	ENSCGOG00000014679	Cottoperca_gobio
ENSGACP00000017527	ENSGACG00000013262	Gasterosteus_aculeatus
ENSTRUP00000037467	ENSTRUG00000014664	Takifugu_rubripes
ENSTNIP00000013871	ENSTNIG00000010941	Tetraodon_nigroviridis
ENSMMOP00000020020	ENSMMOG00000015201	Mola_mola
ENSSMAP00000014525	ENSSMAG00000008900	Scophthalmus_maximus
ENSPRNP00000005021	ENSPRNG00000002886	Parambassis_ranga
ENSBSLP00000023836	ENSBSLG00000012160	Betta_splendens
ENSATEP00000003593	ENSATEG00000002506	Anabas_testudineus
ENSMAMP00000022370	ENSMAMG00000015052	Mastacembelus_armatus
ENSPFOP00000010351	ENSPFOG00000010348	Poecilia_formosa
ENSPMEP00000005301	ENSPMEG00000006677	Poecilia_mexicana
ENSPLAP00000022544	ENSPLAG00000007169	Poecilia_latipinna
ENSPREP00000018549	ENSPREG00000012565	Poecilia_reticulata
ENSXMAP00000033615	ENSXMAG00000029374	Xiphophorus_maculatus
ENSGAFP00000008122	ENSGAFG00000005525	Gambusia_affinis
ENSFHEP00000008773	ENSFHEG00000009998	Fundulus_heteroclitus
ENSCVAP00000002917	ENSCVAG00000004069	Cyprinodon_variegatus
ENSKMAP00000024661	ENSKMAG00000018278	Kryptolebias_marmoratus
ENSORLP00000021320	ENSORLG00000017039	Oryzias_latipes_ASM223467v1
ENSORLP00020001630	ENSORLG00020000919	Oryzias_latipes_ASM223471v1
ENSORLP00015019777	ENSORLG00015020855	Oryzias_latipes_ASM223469v1
ENSOMEP00000017150	ENSOMEG00000000492	Oryzias_melastigma
ENSACLP00000011412	ENSACLG00000007803	Astatotilapia_calliptera
ENSMZEP00005017724	ENSMZEG00005013329	Maylandia_zebra
ENSHBUP00000013340	ENSHBUG00000015103	Haplochromis_burtoni
ENSPNYP00000005383	ENSPNYG00000004172	Pundamilia_nyererei
ENSNBRP00000029953	ENSNBRG00000022788	Neolamprologus_brichardi
ENSONIP00000000849	ENSONIG00000000671	Oreochromis_niloticus
ENSACIP00000020197	ENSACIG00000015692	Amphilophus_citrinellus
ENSGWIP00000049995	ENSGWIG00000024358	Gouania_willdenowi
ENSMALP00000031171	ENSMALG00000021523	Monopterus_albus
ENSAOCP00000025090	ENSAOCG00000012440	Amphiprion_ocellaris
ENSAOCP00000016826	ENSAOCG00000021851	Amphiprion_ocellaris
ENSAPEP00000008496	ENSAPEG00000006124	Amphiprion_percula
ENSAPOP00000022414	ENSAPOG00000003583	Acanthochromis_polyacanthus
ENSSPAP00000030411	ENSSPAG00000022835	Stegastes_partitus
ENSPMGP00000012723	ENSPMGG00000010486	Periophthalmus_magnuspinnatus
ENSHCOP00000001960	ENSHCOG00000003018	Hippocampus_comes
ENSCSEP00000030381	ENSCSEG00000019454	Cynoglossus_semilaevis
ENSGMOP00000007740	ENSGMOG00000007253	Gadus_morhua
ENSHHUP00000011032	ENSHHUG00000006770	Hucho_hucho
ENSHHUP00000084068	ENSHHUG00000048737	Hucho_hucho
ENSELUP00000040092	ENSELUG00000020455	Esox_lucius
ENSCHAP00000000949	ENSCHAG00000000712	Clupea_harengus
ENSDCDP00000056730	ENSDCDG00000033288	Denticeps_clupeoides
ENSAMXP00005042205	ENSAMXG00005019728	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000018553	ENSAMXG00000018001	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000003684	ENSPNAG00000010096	Pygocentrus_nattereri
ENSIPUP00000008024	ENSIPUG00000005486	Ictalurus_punctatus
ENSEEEP00000036905	ENSEEEG00000017527	Electrophorus_electricus
ENSDARP00000050728	ENSDARG00000034957	Danio_rerio
ENSPKIP00000033065	ENSPKIG00000012901	Paramormyrops_kingsleyae
ENSSFOP00015027546	ENSSFOG00015017689	Scleropages_formosus
ENSLOCP00000021359	ENSLOCG00000017267	Lepisosteus_oculatus
ENSECRP00000008324	ENSECRG00000005571	Erpetoichthys_calabaricus
ENSPVIP00000017970	ENSPVIG00000013773	Pogona_vitticeps
ENSACAP00000001697	ENSACAG00000001787	Anolis_carolinensis
ENSNSUP00000005611	ENSNSUG00000004527	Notechis_scutatus
ENSSMRP00000015208	ENSSMRG00000011836	Salvator_merianae
ENSSPUP00000012593	ENSSPUG00000009680	Sphenodon_punctatus
ENSDNVP00000026270	ENSDNVG00000018287	Dromaius_novaehollandiae
ENSNPEP00000018451	ENSNPEG00000013734	Nothoprocta_perdicaria
ENSAOWP00000003689	ENSAOWG00000002611	Apteryx_owenii
ENSARWP00000016149	ENSARWG00000011144	Apteryx_rowi
