ENSHHUP00000029605	ENSHHUG00000018871	Hucho_hucho	ENSHHUT00000030834
ENSHHUP00000022408	ENSHHUG00000014045	Hucho_hucho	ENSHHUT00000023257
ENSGWIP00000034093	ENSGWIG00000017608	Gouania_willdenowi	ENSGWIT00000037159
ENSFALP00000014598	ENSFALG00000013987	Ficedula_albicollis
ENSCJPP00005012523	ENSCJPG00005010656	Coturnix_japonica
ENSCPUP00000009011	ENSCPUG00000006416	Calidris_pugnax
ENSAOWP00000020635	ENSAOWG00000013955	Apteryx_owenii
ENSCPRP00005022145	ENSCPRG00005015441	Crocodylus_porosus
ENSCABP00000004996	ENSCABG00000003767	Chelonoidis_abingdonii
ENSCPBP00000012900	ENSCPBG00000009698	Chrysemys_picta_bellii
ENSPSIP00000002960	ENSPSIG00000002868	Pelodiscus_sinensis
ENSSPUP00000007961	ENSSPUG00000006134	Sphenodon_punctatus
ENSPVIP00000031380	ENSPVIG00000023075	Pogona_vitticeps
ENSORLP00000019206	ENSORLG00000015339	Oryzias_latipes_ASM223467v1
ENSOMEP00000001720	ENSOMEG00000002677	Oryzias_melastigma
ENSPFOP00000005665	ENSPFOG00000005793	Poecilia_formosa
ENSPNYP00000026218	ENSPNYG00000019769	Pundamilia_nyererei
ENSNBRP00000029886	ENSNBRG00000022705	Neolamprologus_brichardi
ENSONIP00000003164	ENSONIG00000002527	Oreochromis_niloticus
ENSMAMP00000027755	ENSMAMG00000018612	Mastacembelus_armatus
ENSLBEP00000032882	ENSLBEG00000024773	Labrus_bergylta
ENSTNIP00000016169	ENSTNIG00000013186	Tetraodon_nigroviridis
ENSGACP00000017534	ENSGACG00000013266	Gasterosteus_aculeatus
ENSGACP00000017537	ENSGACG00000013270	Gasterosteus_aculeatus
ENSGACP00000017545	ENSGACG00000013272	Gasterosteus_aculeatus
ENSLCRP00005027191	ENSLCRG00005010836	Larimichthys_crocea
ENSSMAP00000020916	ENSSMAG00000012809	Scophthalmus_maximus
ENSBSLP00000004038	ENSBSLG00000002082	Betta_splendens
ENSAPEP00000012708	ENSAPEG00000009041	Amphiprion_percula
ENSPMGP00000017533	ENSPMGG00000014352	Periophthalmus_magnuspinnatus
ENSPFOP00000011060	ENSPFOG00000011074	Poecilia_formosa
ENSFHEP00000033864	ENSFHEG00000021310	Fundulus_heteroclitus
ENSCHAP00000021694	ENSCHAG00000010805	Clupea_harengus
ENSDCDP00000052104	ENSDCDG00000031504	Denticeps_clupeoides
ENSPNAP00000032436	ENSPNAG00000020372	Pygocentrus_nattereri
ENSAMXP00005032615	ENSAMXG00005015878	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
FBpp0085780	FBgn0034415	Drosophila_melanogaster
YKL026C_mRNA	YKL026C	Saccharomyces_cerevisiae_strain_S288C
YBR244W_mRNA	YBR244W	Saccharomyces_cerevisiae_strain_S288C
ENSMMMP00000011565	ENSMMMG00000010350	Marmota_marmota_marmota
YIR037W_mRNA	YIR037W	Saccharomyces_cerevisiae_strain_S288C
ENSMMMP00000010779	ENSMMMG00000009606	Marmota_marmota_marmota
