ENSACAP00000004635	ENSACAG00000004676	Anolis_carolinensis	ENSACAT00000004741
ENSPVIP00000027355	ENSPVIG00000020333	Pogona_vitticeps	ENSPVIT00000033638
ENSNSUP00000008907	ENSNSUG00000006848	Notechis_scutatus	ENSNSUT00000009533
ENSSMRP00000028311	ENSSMRG00000021770	Salvator_merianae
ENSSPUP00000005555	ENSSPUG00000004278	Sphenodon_punctatus
ENSGAGP00000006053	ENSGAGG00000004917	Gopherus_agassizii
ENSCABP00000030983	ENSCABG00000022655	Chelonoidis_abingdonii
ENSCPBP00000040175	ENSCPBG00000027623	Chrysemys_picta_bellii
ENSPSIP00000006906	ENSPSIG00000006274	Pelodiscus_sinensis
ENSAPLP00000002165	ENSAPLG00000007360	Anas_platyrhynchos_platyrhynchos
ENSABRP00000015039	ENSABRG00000013251	Anser_brachyrhynchus
ENSGALP00000057812	ENSGALG00000042521	Gallus_gallus
ENSMGAP00000001823	ENSMGAG00000002179	Meleagris_gallopavo
ENSCJPP00005024548	ENSCJPG00005019337	Coturnix_japonica
ENSNMEP00000004988	ENSNMEG00000005284	Numida_meleagris
ENSCPGP00000019859	ENSCPGG00000013915	Calidris_pygmaea
ENSCPUP00000021080	ENSCPUG00000014402	Calidris_pugnax
ENSMUNP00000002618	ENSMUNG00000001374	Melopsittacus_undulatus
ENSTGUP00000003055	ENSTGUG00000002948	Taeniopygia_guttata
ENSLSDP00000008125	ENSLSDG00000005795	Lonchura_striata_domestica
ENSZALP00000005223	ENSZALG00000004817	Zonotrichia_albicollis
ENSSCAP00000008206	ENSSCAG00000006273	Serinus_canaria
ENSJHYP00000010213	ENSJHYG00000008011	Junco_hyemalis
ENSFALP00000000861	ENSFALG00000000834	Ficedula_albicollis
ENSPMJP00000003002	ENSPMJG00000002676	Parus_major
ENSCCEP00000001138	ENSCCEG00000001410	Cyanistes_caeruleus
ENSMVIP00005020370	ENSMVIG00005014394	Manacus_vitellinus
ENSLCOP00000017529	ENSLCOG00000012406	Lepidothrix_coronata
ENSDNVP00000027083	ENSDNVG00000018814	Dromaius_novaehollandiae
ENSAHAP00000012210	ENSAHAG00000008822	Apteryx_haastii
ENSAOWP00000009977	ENSAOWG00000006849	Apteryx_owenii
ENSARWP00000020761	ENSARWG00000014193	Apteryx_rowi
ENSNPEP00000016293	ENSNPEG00000012138	Nothoprocta_perdicaria
ENSCPRP00005000196	ENSCPRG00005000193	Crocodylus_porosus
ENSVURP00010028038	ENSVURG00010021466	Vombatus_ursinus
ENSPCIP00000041356	ENSPCIG00000030237	Phascolarctos_cinereus
ENSMEUP00000000689	ENSMEUG00000000742	Notamacropus_eugenii
ENSMODP00000045452	ENSMODG00000015212	Monodelphis_domestica
ENSSHAP00000006545	ENSSHAG00000005695	Sarcophilus_harrisii
ENSOARP00000006449	ENSOARG00000006016	Ovis_aries
ENSCHIP00000031812	ENSCHIG00000025989	Capra_hircus
ENSBIXP00005024422	ENSBIXG00005006938	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000024984	ENSBMUG00000018771	Bos_mutus
ENSBIXP00000033412	ENSBIXG00000016205	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000023316	ENSBTAG00000017536	Bos_taurus
ENSBBBP00000009661	ENSBBBG00000018021	Bison_bison_bison
ENSTTRP00000004880	ENSTTRG00000005167	Tursiops_truncatus
ENSSSCP00000018407	ENSSSCG00000017372	Sus_scrofa_strain_reference
ENSVPAP00000008472	ENSVPAG00000009102	Vicugna_pacos
ENSUMAP00000017591	ENSUMAG00000012838	Ursus_maritimus
ENSUAMP00000008619	ENSUAMG00000007181	Ursus_americanus
ENSAMEP00000019350	ENSAMEG00000018308	Ailuropoda_melanoleuca
ENSMPUP00000009559	ENSMPUG00000009635	Mustela_putorius_furo
ENSNVIP00000027867	ENSNVIG00000021515	Neovison_vison
ENSCAFP00000021285	ENSCAFG00000023403	Canis_lupus_familiaris
ENSCAFP00020016018	ENSCAFG00020012239	Canis_lupus_dingo
ENSVVUP00000023874	ENSVVUG00000017506	Vulpes_vulpes
ENSPPRP00000013133	ENSPPRG00000006465	Panthera_pardus
ENSPTIP00000009166	ENSPTIG00000010301	Panthera_tigris_altaica
ENSFCAP00000041726	ENSFCAG00000009913	Felis_catus
ENSECAP00000017141	ENSECAG00000019329	Equus_caballus
ENSEASP00005014542	ENSEASG00005010126	Equus_asinus_asinus
ENSPVAP00000002821	ENSPVAG00000002987	Pteropus_vampyrus
ENSMLUP00000002942	ENSMLUG00000003234	Myotis_lucifugus
ENSEEUP00000009844	ENSEEUG00000010775	Erinaceus_europaeus
ENSSARP00000001565	ENSSARG00000001716	Sorex_araneus
ENSPTRP00000039090	ENSPTRG00000009252	Pan_troglodytes
ENSPPAP00000017027	ENSPPAG00000031569	Pan_paniscus
ENSGGOP00000006833	ENSGGOG00000006981	Gorilla_gorilla
ENSP00000381430	ENSG00000161647	Homo_sapiens
ENSPPYP00000009389	ENSPPYG00000008352	Pongo_abelii
ENSNLEP00000031211	ENSNLEG00000005653	Nomascus_leucogenys
ENSMNEP00000007674	ENSMNEG00000028356	Macaca_nemestrina
ENSMMUP00000072892	ENSMMUG00000013260	Macaca_mulatta
ENSMFAP00000035425	ENSMFAG00000038172	Macaca_fascicularis
ENSPANP00000045124	ENSPANG00000021359	Papio_anubis
ENSTGEP00000016591	ENSTGEG00000013418	Theropithecus_gelada
ENSMLEP00000000354	ENSMLEG00000000632	Mandrillus_leucophaeus
ENSCATP00000040932	ENSCATG00000043053	Cercocebus_atys
ENSCSAP00000014588	ENSCSAG00000003463	Chlorocebus_sabaeus
ENSRBIP00000017930	ENSRBIG00000032939	Rhinopithecus_bieti
ENSRROP00000029263	ENSRROG00000038421	Rhinopithecus_roxellana
ENSCANP00000019000	ENSCANG00000032915	Colobus_angolensis_palliatus
ENSCCAP00000027767	ENSCCAG00000031697	Cebus_capucinus_imitator
ENSSBOP00000026415	ENSSBOG00000029629	Saimiri_boliviensis_boliviensis
ENSCJAP00000075444	ENSCJAG00000010482	Callithrix_jacchus
ENSANAP00000007730	ENSANAG00000021858	Aotus_nancymaae
ENSTSYP00000001782	ENSTSYG00000001919	Carlito_syrichta
ENSMICP00000032735	ENSMICG00000005609	Microcebus_murinus
ENSPSMP00000012898	ENSPSMG00000009274	Prolemur_simus
ENSPCOP00000016842	ENSPCOG00000020205	Propithecus_coquereli
ENSOGAP00000007480	ENSOGAG00000008346	Otolemur_garnettii
ENSSTOP00000006516	ENSSTOG00000007277	Ictidomys_tridecemlineatus
ENSUPAP00010003537	ENSUPAG00010002862	Urocitellus_parryii
ENSSDAP00000025448	ENSSDAG00000023121	Spermophilus_dauricus
ENSMMMP00000004843	ENSMMMG00000004345	Marmota_marmota_marmota
ENSPTEP00000014915	ENSPTEG00000016614	Piliocolobus_tephrosceles
ENSPTEP00000014699	ENSPTEG00000016389	Piliocolobus_tephrosceles
ENSCJAP00000049373	ENSCJAG00000035278	Callithrix_jacchus
ENSNGAP00000021913	ENSNGAG00000020953	Nannospalax_galili
ENSCLAP00000022838	ENSCLAG00000015665	Chinchilla_lanigera
ENSODEP00000024779	ENSODEG00000018129	Octodon_degus
ENSCAPP00000010872	ENSCAPG00000011987	Cavia_aperea
ENSCPOP00000019232	ENSCPOG00000025647	Cavia_porcellus
ENSHGLP00000015464	ENSHGLG00000011058	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100001033	ENSHGLG00100000831	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000000264	ENSFDAG00000010570	Fukomys_damarensis
ENSCCNP00000010512	ENSCCNG00000010944	Castor_canadensis
ENSPEMP00000017611	ENSPEMG00000016469	Peromyscus_maniculatus_bairdii
ENSMOCP00000024987	ENSMOCG00000021231	Microtus_ochrogaster
ENSCGRP00001021711	ENSCGRG00001020467	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000017381	ENSCGRG00000012642	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015033909	ENSCGRG00015025536	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000025515	ENSMAUG00000022029	Mesocricetus_auratus
MGP_SPRETEiJ_P0031576	MGP_SPRETEiJ_G0018077	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000102786	ENSMUSG00000052373	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0030142	MGP_CAROLIEiJ_G0017234	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000033919	ENSMSIG00000028303	Mus_spicilegus
MGP_PahariEiJ_P0036869	MGP_PahariEiJ_G0018364	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000071372	ENSRNOG00000033653	Rattus_norvegicus
ENSMUGP00000019268	ENSMUGG00000016206	Meriones_unguiculatus
ENSJJAP00000015271	ENSJJAG00000017494	Jaculus_jaculus
ENSOCUP00000016121	ENSOCUG00000003314	Oryctolagus_cuniculus
ENSOPRP00000003044	ENSOPRG00000003297	Ochotona_princeps
ENSTBEP00000012281	ENSTBEG00000014164	Tupaia_belangeri
ENSDORP00000014214	ENSDORG00000015099	Dipodomys_ordii
ENSETEP00000001892	ENSETEG00000002332	Echinops_telfairi
ENSCHOP00000011437	ENSCHOG00000012903	Choloepus_hoffmanni
ENSDNOP00000002007	ENSDNOG00000002582	Dasypus_novemcinctus
ENSPTEP00000001726	ENSPTEG00000001932	Piliocolobus_tephrosceles
ENSLAFP00000013739	ENSLAFG00000016361	Loxodonta_africana
ENSPCAP00000002784	ENSPCAG00000002929	Procavia_capensis
ENSLACP00000013428	ENSLACG00000011821	Latimeria_chalumnae
ENSSFOP00015020251	ENSSFOG00015012959	Scleropages_formosus
