ENSMAUP00000013779	ENSMAUG00000013728	Mesocricetus_auratus	ENSMAUT00000017694
ENSCGRP00001027935	ENSCGRG00001024798	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000004867	ENSCGRG00000003576	Cricetulus_griseus_CriGri_1.0
ENSMOCP00000010815	ENSMOCG00000011065	Microtus_ochrogaster
ENSPEMP00000018215	ENSPEMG00000016890	Peromyscus_maniculatus_bairdii
ENSMUSP00000137761	ENSMUSG00000097187	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000002814	ENSMSIG00000002632	Mus_spicilegus
MGP_SPRETEiJ_P0054729	MGP_SPRETEiJ_G0024648	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0052639	MGP_CAROLIEiJ_G0023728	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0063634	MGP_PahariEiJ_G0025179	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000022648	ENSMUGG00000018974	Meriones_unguiculatus
ENSNGAP00000023882	ENSNGAG00000022307	Nannospalax_galili
ENSSTOP00000031656	ENSSTOG00000033598	Ictidomys_tridecemlineatus
