ENSCPRP00005003506	ENSCPRG00005002566	Crocodylus_porosus
ENSSPUP00000021087	ENSSPUG00000016227	Sphenodon_punctatus
ENSOANP00000020659	ENSOANG00000013068	Ornithorhynchus_anatinus
ENSCABP00000026364	ENSCABG00000019370	Chelonoidis_abingdonii
ENSGAGP00000003666	ENSGAGG00000002976	Gopherus_agassizii
ENSCPBP00000007979	ENSCPBG00000006278	Chrysemys_picta_bellii
ENSPSIP00000005961	ENSPSIG00000005539	Pelodiscus_sinensis
ENSAOWP00000000392	ENSAOWG00000000326	Apteryx_owenii
ENSAHAP00000019543	ENSAHAG00000013819	Apteryx_haastii
ENSARWP00000007002	ENSARWG00000004904	Apteryx_rowi
ENSDNVP00000009089	ENSDNVG00000006450	Dromaius_novaehollandiae
ENSNPEP00000019039	ENSNPEG00000014190	Nothoprocta_perdicaria
ENSCPGP00000019687	ENSCPGG00000013790	Calidris_pygmaea
ENSCPUP00000003088	ENSCPUG00000002368	Calidris_pugnax
ENSABRP00000019909	ENSABRG00000017051	Anser_brachyrhynchus
ENSAPLP00000011367	ENSAPLG00000011620	Anas_platyrhynchos_platyrhynchos
ENSMUNP00000008430	ENSMUNG00000006699	Melopsittacus_undulatus
ENSPMJP00000008486	ENSPMJG00000006884	Parus_major
ENSCCEP00000008418	ENSCCEG00000008705	Cyanistes_caeruleus
ENSTGUP00000012314	ENSTGUG00000011953	Taeniopygia_guttata
ENSLSDP00000002963	ENSLSDG00000002294	Lonchura_striata_domestica
ENSJHYP00000005516	ENSJHYG00000004496	Junco_hyemalis
ENSZALP00000016060	ENSZALG00000013074	Zonotrichia_albicollis
ENSSCAP00000004642	ENSSCAG00000003764	Serinus_canaria
ENSFALP00000015522	ENSFALG00000014907	Ficedula_albicollis
ENSLCOP00000019823	ENSLCOG00000014041	Lepidothrix_coronata
ENSMVIP00005021867	ENSMVIG00005015355	Manacus_vitellinus
ENSGALP00000048710	ENSGALG00000040248	Gallus_gallus
ENSCJPP00005000541	ENSCJPG00005000636	Coturnix_japonica
ENSNMEP00000003977	ENSNMEG00000004449	Numida_meleagris
ENSPVIP00000018796	ENSPVIG00000014387	Pogona_vitticeps
ENSACAP00000003983	ENSACAG00000004114	Anolis_carolinensis
ENSNSUP00000017350	ENSNSUG00000012736	Notechis_scutatus
ENSPCOP00000004310	ENSPCOG00000012595	Propithecus_coquereli
ENSMICP00000049023	ENSMICG00000045232	Microcebus_murinus
ENSPSMP00000027058	ENSPSMG00000018959	Prolemur_simus
ENSOGAP00000021806	ENSOGAG00000015131	Otolemur_garnettii
ENSPTRP00000077916	ENSPTRG00000044161	Pan_troglodytes
ENSPPAP00000005406	ENSPPAG00000022371	Pan_paniscus
ENSP00000322373	ENSG00000175895	Homo_sapiens
ENSGGOP00000020529	ENSGGOG00000022351	Gorilla_gorilla
ENSPPYP00000021043	ENSPPYG00000018760	Pongo_abelii
ENSNLEP00000033312	ENSNLEG00000035497	Nomascus_leucogenys
ENSCANP00000001660	ENSCANG00000006230	Colobus_angolensis_palliatus
ENSPTEP00000039949	ENSPTEG00000036876	Piliocolobus_tephrosceles
ENSRROP00000005050	ENSRROG00000020905	Rhinopithecus_roxellana
ENSRBIP00000002046	ENSRBIG00000010351	Rhinopithecus_bieti
ENSTGEP00000000649	ENSTGEG00000000653	Theropithecus_gelada
ENSPANP00000000450	ENSPANG00000016807	Papio_anubis
ENSCSAP00000018126	ENSCSAG00000018593	Chlorocebus_sabaeus
ENSMNEP00000005038	ENSMNEG00000022956	Macaca_nemestrina
ENSMFAP00000013688	ENSMFAG00000029559	Macaca_fascicularis
ENSMMUP00000018628	ENSMMUG00000014183	Macaca_mulatta
ENSCATP00000000633	ENSCATG00000003149	Cercocebus_atys
ENSMLEP00000000285	ENSMLEG00000000658	Mandrillus_leucophaeus
ENSCCAP00000004066	ENSCCAG00000019372	Cebus_capucinus_imitator
ENSCJAP00000060585	ENSCJAG00000047758	Callithrix_jacchus
ENSSBOP00000003233	ENSSBOG00000016012	Saimiri_boliviensis_boliviensis
ENSANAP00000004174	ENSANAG00000020188	Aotus_nancymaae
ENSANAP00000002747	ENSANAG00000019092	Aotus_nancymaae
ENSTSYP00000010659	ENSTSYG00000011627	Carlito_syrichta
