ENSCLAP00000000934	ENSCLAG00000000727	Chinchilla_lanigera	ENSCLAT00000000971
ENSODEP00000000252	ENSODEG00000000225	Octodon_degus	ENSODET00000000267
ENSCAPP00000008898	ENSCAPG00000010496	Cavia_aperea	ENSCAPT00000012607
ENSCPOP00000012888	ENSCPOG00000014306	Cavia_porcellus	ENSCPOT00000014448
ENSHGLP00000026889	ENSHGLG00000019120	Heterocephalus_glaber_HetGla_female_1.0
ENSNGAP00000000127	ENSNGAG00000000109	Nannospalax_galili
ENSOCUP00000010945	ENSOCUG00000012720	Oryctolagus_cuniculus
ENSOPRP00000012901	ENSOPRG00000014143	Ochotona_princeps
ENSMMMP00000025570	ENSMMMG00000022408	Marmota_marmota_marmota
ENSMMMP00000010998	ENSMMMG00000009785	Marmota_marmota_marmota
ENSSDAP00000027065	ENSSDAG00000024527	Spermophilus_dauricus
ENSPTRP00000003738	ENSPTRG00000002209	Pan_troglodytes
ENSPPAP00000032894	ENSPPAG00000039310	Pan_paniscus
ENSGGOP00000048860	ENSGGOG00000041022	Gorilla_gorilla
ENSP00000355437	ENSG00000162722	Homo_sapiens
ENSPPYP00000000023	ENSPPYG00000000025	Pongo_abelii
ENSNLEP00000005197	ENSNLEG00000004292	Nomascus_leucogenys
ENSRROP00000025218	ENSRROG00000036359	Rhinopithecus_roxellana
ENSRBIP00000003577	ENSRBIG00000017129	Rhinopithecus_bieti
ENSCANP00000020577	ENSCANG00000033730	Colobus_angolensis_palliatus
ENSPTEP00000003955	ENSPTEG00000004689	Piliocolobus_tephrosceles
ENSMFAP00000019328	ENSMFAG00000032683	Macaca_fascicularis
ENSMNEP00000003030	ENSMNEG00000014084	Macaca_nemestrina
ENSMMUP00000007358	ENSMMUG00000005570	Macaca_mulatta
ENSCATP00000031270	ENSCATG00000038759	Cercocebus_atys
ENSMLEP00000012034	ENSMLEG00000030196	Mandrillus_leucophaeus
ENSPANP00000003121	ENSPANG00000005481	Papio_anubis
ENSTGEP00000024086	ENSTGEG00000019488	Theropithecus_gelada
ENSCSAP00000005212	ENSCSAG00000008954	Chlorocebus_sabaeus
ENSCCAP00000031718	ENSCCAG00000033902	Cebus_capucinus_imitator
ENSSBOP00000015084	ENSSBOG00000024282	Saimiri_boliviensis_boliviensis
ENSCJAP00000016285	ENSCJAG00000008884	Callithrix_jacchus
ENSANAP00000020965	ENSANAG00000028275	Aotus_nancymaae
ENSTSYP00000004199	ENSTSYG00000004577	Carlito_syrichta
ENSPCOP00000008526	ENSPCOG00000015552	Propithecus_coquereli
ENSPSMP00000021117	ENSPSMG00000014936	Prolemur_simus
ENSOGAP00000012508	ENSOGAG00000013970	Otolemur_garnettii
ENSCCNP00000010647	ENSCCNG00000011094	Castor_canadensis
ENSDORP00000005726	ENSDORG00000006117	Dipodomys_ordii
ENSMUSP00000074594	ENSMUSG00000037124	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000026054	ENSMSIG00000021970	Mus_spicilegus
MGP_CAROLIEiJ_P0026855	MGP_CAROLIEiJ_G0016406	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0033627	MGP_PahariEiJ_G0017542	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000049077	ENSRNOG00000026430	Rattus_norvegicus
ENSMUGP00000011222	ENSMUGG00000009828	Meriones_unguiculatus
ENSCGRP00001019049	ENSCGRG00001018602	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000007945	ENSCGRG00000005790	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015024939	ENSCGRG00015018915	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000023891	ENSMAUG00000020919	Mesocricetus_auratus
ENSPEMP00000024219	ENSPEMG00000021029	Peromyscus_maniculatus_bairdii
ENSMOCP00000021874	ENSMOCG00000019086	Microtus_ochrogaster
ENSJJAP00000014338	ENSJJAG00000016816	Jaculus_jaculus
ENSCHIP00000004111	ENSCHIG00000008346	Capra_hircus
ENSOARP00000008422	ENSOARG00000007845	Ovis_aries
ENSBIXP00000040609	ENSBIXG00000024710	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005043324	ENSBIXG00005026978	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000009824	ENSBTAG00000007470	Bos_taurus
ENSBMUP00000024425	ENSBMUG00000018354	Bos_mutus
ENSBBBP00000018531	ENSBBBG00000011484	Bison_bison_bison
ENSTTRP00000014633	ENSTTRG00000015439	Tursiops_truncatus
ENSSSCP00000067620	ENSSSCG00000040066	Sus_scrofa_strain_reference
ENSVPAP00000004715	ENSVPAG00000005085	Vicugna_pacos
ENSUMAP00000034396	ENSUMAG00000024743	Ursus_maritimus
ENSUAMP00000002684	ENSUAMG00000002448	Ursus_americanus
ENSAMEP00000009459	ENSAMEG00000008988	Ailuropoda_melanoleuca
ENSNVIP00000006978	ENSNVIG00000005542	Neovison_vison
ENSMPUP00000008015	ENSMPUG00000008074	Mustela_putorius_furo
ENSCAFP00000001759	ENSCAFG00000001226	Canis_lupus_familiaris
