ENSPFOP00000001819	ENSPFOG00000001751	Poecilia_formosa
ENSHCOP00000007174	ENSHCOG00000009135	Hippocampus_comes
ENSHGLP00100010334	ENSHGLG00100007682	Heterocephalus_glaber_HetGla_1.0
ENSFCAP00000025061	ENSFCAG00000026468	Felis_catus
ENSPVIP00000003585	ENSPVIG00000002992	Pogona_vitticeps
ENSPRNP00000056539	ENSPRNG00000026406	Parambassis_ranga
ENSECAP00000036186	ENSECAG00000021085	Equus_caballus
ENSNVIP00000013140	ENSNVIG00000010380	Neovison_vison
ENSLCOP00000013803	ENSLCOG00000009894	Lepidothrix_coronata
ENSOGAP00000006858	ENSOGAG00000007657	Otolemur_garnettii
ENSACLP00000009237	ENSACLG00000006282	Astatotilapia_calliptera
ENSCCEP00000026155	ENSCCEG00000023049	Cyanistes_caeruleus	ENSCCET00000038980
ENSEASP00005025277	ENSEASG00005017206	Equus_asinus_asinus
ENSMFAP00000019385	ENSMFAG00000032655	Macaca_fascicularis
ENSLACP00000009742	ENSLACG00000008589	Latimeria_chalumnae
ENSHGLP00100002878	ENSHGLG00100002220	Heterocephalus_glaber_HetGla_1.0
ENSGGOP00000028365	ENSGGOG00000024342	Gorilla_gorilla
ENSPVAP00000013005	ENSPVAG00000013791	Pteropus_vampyrus
ENSUAMP00000015708	ENSUAMG00000012558	Ursus_americanus
ENSCCAP00000036778	ENSCCAG00000036285	Cebus_capucinus_imitator
ENSPNYP00000005236	ENSPNYG00000004050	Pundamilia_nyererei
ENSVURP00010015599	ENSVURG00010011941	Vombatus_ursinus
ENSGAFP00000031123	ENSGAFG00000020981	Gambusia_affinis
ENSEEUP00000009678	ENSEEUG00000010598	Erinaceus_europaeus
ENSCSAP00000016628	ENSCSAG00000001390	Chlorocebus_sabaeus
ENSDORP00000016212	ENSDORG00000023231	Dipodomys_ordii
ENSNPEP00000003641	ENSNPEG00000002736	Nothoprocta_perdicaria
ENSHHUP00000028911	ENSHHUG00000018446	Hucho_hucho
ENSUPAP00010018797	ENSUPAG00010014892	Urocitellus_parryii
ENSMZEP00005032583	ENSMZEG00005024275	Maylandia_zebra
ENSBTAP00000033383	ENSBTAG00000024240	Bos_taurus
ENSLCOP00000005059	ENSLCOG00000003799	Lepidothrix_coronata
ENSPSMP00000023058	ENSPSMG00000016274	Prolemur_simus
ENSCABP00000001570	ENSCABG00000000562	Chelonoidis_abingdonii
ENSEEEP00000015631	ENSEEEG00000007745	Electrophorus_electricus
ENSGACP00000021809	ENSGACG00000016497	Gasterosteus_aculeatus
ENSMMOP00000025713	ENSMMOG00000019486	Mola_mola
ENSPCIP00000050498	ENSPCIG00000033713	Phascolarctos_cinereus
ENSORLP00000026665	ENSORLG00000030241	Oryzias_latipes_ASM223467v1
ENSAPLP00000030012	ENSAPLG00000010729	Anas_platyrhynchos_platyrhynchos
ENSTSYP00000006555	ENSTSYG00000007164	Carlito_syrichta
ENSCHIP00000010386	ENSCHIG00000012888	Capra_hircus
ENSHGLP00000010805	ENSHGLG00000007755	Heterocephalus_glaber_HetGla_female_1.0
ENSVPAP00000001305	ENSVPAG00000001412	Vicugna_pacos
ENSANAP00000035818	ENSANAG00000035420	Aotus_nancymaae
MGP_SPRETEiJ_P0063589	MGP_SPRETEiJ_G0026705	Mus_spretus_strain_SPRET/EiJ
ENSFHEP00000025341	ENSFHEG00000007477	Fundulus_heteroclitus
ENSSMRP00000026124	ENSSMRG00000020171	Salvator_merianae
ENSMOCP00000018556	ENSMOCG00000016809	Microtus_ochrogaster
ENSSHAP00000008899	ENSSHAG00000007705	Sarcophilus_harrisii
ENSPMEP00000014914	ENSPMEG00000017502	Poecilia_mexicana
ENSFALP00000001527	ENSFALG00000001458	Ficedula_albicollis
ENSCHIP00000011875	ENSCHIG00000013780	Capra_hircus
ENSPNAP00000026407	ENSPNAG00000001895	Pygocentrus_nattereri
ENSAOCP00000027502	ENSAOCG00000016464	Amphiprion_ocellaris
ENSMLUP00000002740	ENSMLUG00000003015	Myotis_lucifugus
ENSCCNP00000033484	ENSCCNG00000031679	Castor_canadensis
ENSVVUP00000042088	ENSVVUG00000029897	Vulpes_vulpes
ENSOCUP00000026297	ENSOCUG00000013662	Oryctolagus_cuniculus
ENSPANP00000003304	ENSPANG00000005881	Papio_anubis
ENSSFOP00015034477	ENSSFOG00015021946	Scleropages_formosus
ENSCPGP00000016866	ENSCPGG00000011811	Calidris_pygmaea
ENSCPOP00000010012	ENSCPOG00000011134	Cavia_porcellus
ENSOMEP00000020569	ENSOMEG00000022464	Oryzias_melastigma
ENSMLEP00000034026	ENSMLEG00000041193	Mandrillus_leucophaeus
ENSCAPP00000006738	ENSCAPG00000008834	Cavia_aperea
ENSXMAP00000015011	ENSXMAG00000014941	Xiphophorus_maculatus
ENSMMUP00000009469	ENSMMUG00000007220	Macaca_mulatta
ENSBIXP00005023074	ENSBIXG00005025973	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSGAGP00000020741	ENSGAGG00000015272	Gopherus_agassizii
ENSTGEP00000020864	ENSTGEG00000016791	Theropithecus_gelada
ENSCVAP00000029853	ENSCVAG00000017924	Cyprinodon_variegatus
ENSHBUP00000008719	ENSHBUG00000010315	Haplochromis_burtoni
ENSCHAP00000047523	ENSCHAG00000021727	Clupea_harengus
ENSSARP00000013178	ENSSARG00000014561	Sorex_araneus
ENSRBIP00000012352	ENSRBIG00000030055	Rhinopithecus_bieti
MGP_CAROLIEiJ_P0061141	MGP_CAROLIEiJ_G0025752	Mus_caroli_strain_CAROLI_EIJ
ENSHGLP00100004914	ENSHGLG00100003724	Heterocephalus_glaber_HetGla_1.0
ENSDARP00000117024	ENSDARG00000038900	Danio_rerio
ENSMVIP00005007507	ENSMVIG00005005617	Manacus_vitellinus
ENSPTRP00000052172	ENSPTRG00000000871	Pan_troglodytes
ENSFALP00000009570	ENSFALG00000009177	Ficedula_albicollis
ENSFDAP00000016836	ENSFDAG00000005509	Fukomys_damarensis
ENSTGUP00000016999	ENSTGUG00000016675	Taeniopygia_guttata
ENSPCOP00000022156	ENSPCOG00000023154	Propithecus_coquereli
ENSLSDP00000023544	ENSLSDG00000016565	Lonchura_striata_domestica
ENSPPRP00000019687	ENSPPRG00000011005	Panthera_pardus
ENSMNEP00000035932	ENSMNEG00000041060	Macaca_nemestrina
ENSONIP00000023113	ENSONIG00000018357	Oreochromis_niloticus
ENSCHOP00000001174	ENSCHOG00000001322	Choloepus_hoffmanni
ENSPPYP00000001431	ENSPPYG00000001231	Pongo_abelii
ENSZALP00000013829	ENSZALG00000011502	Zonotrichia_albicollis
ENSCPRP00005012417	ENSCPRG00005008808	Crocodylus_porosus
ENSECRP00000010722	ENSECRG00000007019	Erpetoichthys_calabaricus
ENSTNIP00000009149	ENSTNIG00000006383	Tetraodon_nigroviridis
ENSMPUP00000010810	ENSMPUG00000010897	Mustela_putorius_furo
ENSETEP00000008818	ENSETEG00000010861	Echinops_telfairi
ENSCSEP00000033354	ENSCSEG00000021403	Cynoglossus_semilaevis
ENSMALP00000021252	ENSMALG00000014856	Monopterus_albus
ENSELUP00000011026	ENSELUG00000011458	Esox_lucius
ENSCJPP00005007235	ENSCJPG00005006671	Coturnix_japonica	ENSCJPT00005011223
ENSMUGP00000023553	ENSMUGG00000019726	Meriones_unguiculatus
ENSIPUP00000010600	ENSIPUG00000007227	Ictalurus_punctatus
ENSSBOP00000032397	ENSSBOG00000032362	Saimiri_boliviensis_boliviensis
ENSLSDP00000015663	ENSLSDG00000011282	Lonchura_striata_domestica
ENSXCOP00000025959	ENSXCOG00000019394	Xiphophorus_couchianus
ENSSPUP00000010262	ENSSPUG00000007941	Sphenodon_punctatus
ENSCGOP00000003779	ENSCGOG00000001759	Cottoperca_gobio
ENSGALP00000068191	ENSGALG00000051260	Gallus_gallus
ENSMAUP00000001248	ENSMAUG00000000918	Mesocricetus_auratus
ENSDNVP00000017978	ENSDNVG00000012573	Dromaius_novaehollandiae
ENSXETP00000012438	ENSXETG00000014120	Xenopus_tropicalis
ENSMGAP00000017160	ENSMGAG00000016219	Meleagris_gallopavo
ENSSCAP00000011356	ENSSCAG00000008532	Serinus_canaria
ENSNGAP00000023455	ENSNGAG00000022016	Nannospalax_galili
ENSMICP00000016219	ENSMICG00000017809	Microcebus_murinus
ENSMUSP00000072483	ENSMUSG00000062908	Mus_musculus_strain_reference_(CL57BL6)
ENSTTRP00000013393	ENSTTRG00000014122	Tursiops_truncatus
MGP_PahariEiJ_P0072071	MGP_PahariEiJ_G0027203	Mus_pahari_strain_PAHARI_EIJ
ENSPMAP00000007476	ENSPMAG00000006771	Petromyzon_marinus
ENSMEUP00000012516	ENSMEUG00000013725	Notamacropus_eugenii
ENSLAFP00000002587	ENSLAFG00000003112	Loxodonta_africana
ENSP00000359871	ENSG00000117054	Homo_sapiens
ENSSMAP00000018708	ENSSMAG00000011446	Scophthalmus_maximus
ENSPTIP00000011441	ENSPTIG00000011849	Panthera_tigris_altaica
ENSPTEP00000037652	ENSPTEG00000035170	Piliocolobus_tephrosceles
ENSOANP00000028694	ENSOANG00000008205	Ornithorhynchus_anatinus
ENSCCEP00000004862	ENSCCEG00000005344	Cyanistes_caeruleus
ENSCJAP00000012452	ENSCJAG00000006692	Callithrix_jacchus
ENSTRUP00000055383	ENSTRUG00000007137	Takifugu_rubripes
ENSORLP00020005459	ENSORLG00020006284	Oryzias_latipes_ASM223471v1
ENSPMGP00000006552	ENSPMGG00000005366	Periophthalmus_magnuspinnatus
ENSAOWP00000020583	ENSAOWG00000013925	Apteryx_owenii
ENSBIXP00000025782	ENSBIXG00000005850	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCATP00000030867	ENSCATG00000038563	Cercocebus_atys
ENSMAMP00000011532	ENSMAMG00000007789	Mastacembelus_armatus
ENSEBUP00000024441	ENSEBUG00000015066	Eptatretus_burgeri
ENSNLEP00000011684	ENSNLEG00000009583	Nomascus_leucogenys
ENSPEMP00000007742	ENSPEMG00000009616	Peromyscus_maniculatus_bairdii
ENSCAFP00020021603	ENSCAFG00020017070	Canis_lupus_dingo
ENSCAFP00000030246	ENSCAFG00000020393	Canis_lupus_familiaris
ENSPLAP00000020681	ENSPLAG00000003792	Poecilia_latipinna
ENSMMMP00000000699	ENSMMMG00000000664	Marmota_marmota_marmota
ENSPNAP00000009677	ENSPNAG00000006950	Pygocentrus_nattereri
ENSCPBP00000023887	ENSCPBG00000017035	Chrysemys_picta_bellii
ENSLCAP00010000496	ENSLCAG00010000247	Lates_calcarifer
ENSNMEP00000002182	ENSNMEG00000002797	Numida_meleagris	ENSNMET00000004495
ENSPPAP00000025767	ENSPPAG00000036005	Pan_paniscus
ENSLCRP00005062027	ENSLCRG00005022785	Larimichthys_crocea
ENSHGLP00000004840	ENSHGLG00000003555	Heterocephalus_glaber_HetGla_female_1.0
ENSCANP00000017934	ENSCANG00000032371	Colobus_angolensis_palliatus
ENSMUNP00000015977	ENSMUNG00000012306	Melopsittacus_undulatus
ENSPMJP00000017849	ENSPMJG00000013382	Parus_major
ENSJHYP00000016730	ENSJHYG00000012760	Junco_hyemalis
ENSAHAP00000026842	ENSAHAG00000018706	Apteryx_haastii
ENSABRP00000002050	ENSABRG00000002051	Anser_brachyrhynchus
ENSLOCP00000004158	ENSLOCG00000003500	Lepisosteus_oculatus
ENSMODP00000038188	ENSMODG00000019089	Monodelphis_domestica
ENSKMAP00000024967	ENSKMAG00000018507	Kryptolebias_marmoratus
ENSCMIP00000021165	ENSCMIG00000009665	Callorhinchus_milii
ENSCGRP00015027167	ENSCGRG00015020610	Cricetulus_griseus_CriGri-PICR
ENSGWIP00000052835	ENSGWIG00000025367	Gouania_willdenowi
ENSPCIP00000013633	ENSPCIG00000010712	Phascolarctos_cinereus
ENSAMEP00000003764	ENSAMEG00000003560	Ailuropoda_melanoleuca
ENSCLAP00000015431	ENSCLAG00000010619	Chinchilla_lanigera
ENSTGUP00000010787	ENSTGUG00000010443	Taeniopygia_guttata
ENSMSIP00000008349	ENSMSIG00000007361	Mus_spicilegus
ENSPSIP00000010493	ENSPSIG00000009459	Pelodiscus_sinensis
ENSDNOP00000005904	ENSDNOG00000007623	Dasypus_novemcinctus
ENSRROP00000017061	ENSRROG00000032647	Rhinopithecus_roxellana
ENSAPOP00000034093	ENSAPOG00000023112	Acanthochromis_polyacanthus
ENSCVAP00000029821	ENSCVAG00000017906	Cyprinodon_variegatus
