ENSOARP00000003593	ENSOARG00000003361	Ovis_aries	ENSOART00000003657
ENSCHIP00000020735	ENSCHIG00000019289	Capra_hircus	ENSCHIT00000028571
ENSBTAP00000011388	ENSBTAG00000008635	Bos_taurus	ENSBTAT00000011388
ENSBIXP00000002179	ENSBIXG00000008658	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005040585	ENSBIXG00005023273	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000035431	ENSBMUG00000026329	Bos_mutus
ENSTTRP00000005233	ENSTTRG00000005546	Tursiops_truncatus
ENSSSCP00000025098	ENSSSCG00000021557	Sus_scrofa_strain_reference
ENSMLUP00000003140	ENSMLUG00000003453	Myotis_lucifugus
ENSPVAP00000016659	ENSPVAG00000017660	Pteropus_vampyrus
ENSNVIP00000001636	ENSNVIG00000001333	Neovison_vison
ENSMPUP00000012572	ENSMPUG00000012666	Mustela_putorius_furo
ENSUMAP00000014928	ENSUMAG00000010973	Ursus_maritimus
ENSUAMP00000012575	ENSUAMG00000010178	Ursus_americanus
ENSAMEP00000016217	ENSAMEG00000015358	Ailuropoda_melanoleuca
ENSCAFP00020022263	ENSCAFG00020017598	Canis_lupus_dingo
ENSCAFP00000036703	ENSCAFG00000017122	Canis_lupus_familiaris
ENSVVUP00000036188	ENSVVUG00000025992	Vulpes_vulpes
ENSPTIP00000011933	ENSPTIG00000012172	Panthera_tigris_altaica
ENSPPRP00000013670	ENSPPRG00000006806	Panthera_pardus
ENSFCAP00000036492	ENSFCAG00000027639	Felis_catus
ENSEASP00005021554	ENSEASG00005014748	Equus_asinus_asinus
ENSSARP00000003140	ENSSARG00000003472	Sorex_araneus
ENSSARP00000005762	ENSSARG00000006365	Sorex_araneus
ENSEEUP00000007786	ENSEEUG00000008558	Erinaceus_europaeus
ENSMICP00000009101	ENSMICG00000009999	Microcebus_murinus
ENSPSMP00000030267	ENSPSMG00000020986	Prolemur_simus
ENSOGAP00000014147	ENSOGAG00000015796	Otolemur_garnettii
ENSTSYP00000009087	ENSTSYG00000009908	Carlito_syrichta
