ENSGWIP00000030815	ENSGWIG00000015999	Gouania_willdenowi
ENSORLP00015026420	ENSORLG00015008011	Oryzias_latipes_ASM223469v1
ENSTBEP00000014307	ENSTBEG00000016470	Tupaia_belangeri
ENSSPUP00000019151	ENSSPUG00000014755	Sphenodon_punctatus	ENSSPUT00000020398
ENSPTRP00000020776	ENSPTRG00000012108	Pan_troglodytes
ENSDARP00000008022	ENSDARG00000011885	Danio_rerio
ENSVVUP00000005015	ENSVVUG00000003947	Vulpes_vulpes
ENSJJAP00000006903	ENSJJAG00000011449	Jaculus_jaculus
ENSAOWP00000021800	ENSAOWG00000014741	Apteryx_owenii
ENSCSAP00000019243	ENSCSAG00000019748	Chlorocebus_sabaeus
ENSCHOP00000011736	ENSCHOG00000013248	Choloepus_hoffmanni
ENSOANP00000015627	ENSOANG00000009855	Ornithorhynchus_anatinus
ENSEEUP00000002063	ENSEEUG00000002266	Erinaceus_europaeus
ENSPCIP00000019674	ENSPCIG00000015008	Phascolarctos_cinereus
ENSONIP00000018546	ENSONIG00000014731	Oreochromis_niloticus
ENSCJAP00000063307	ENSCJAG00000017116	Callithrix_jacchus
ENSARWP00000019967	ENSARWG00000013681	Apteryx_rowi
ENSCANP00000033961	ENSCANG00000040654	Colobus_angolensis_palliatus
ENSMLUP00000011623	ENSMLUG00000012774	Myotis_lucifugus
ENSMVIP00005002032	ENSMVIG00005001597	Manacus_vitellinus
ENSLCRP00005017140	ENSLCRG00005007103	Larimichthys_crocea
ENSAMXP00005004798	ENSAMXG00005003015	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCPGP00000027517	ENSCPGG00000018973	Calidris_pygmaea
ENSKMAP00000021499	ENSKMAG00000015967	Kryptolebias_marmoratus
ENSDNOP00000005762	ENSDNOG00000007439	Dasypus_novemcinctus
ENSAOCP00000011780	ENSAOCG00000016156	Amphiprion_ocellaris
ENSLAFP00000000117	ENSLAFG00000000146	Loxodonta_africana
ENSDCDP00000020569	ENSDCDG00000016333	Denticeps_clupeoides
ENSHBUP00000012342	ENSHBUG00000014044	Haplochromis_burtoni
ENSCAFP00020017772	ENSCAFG00020014234	Canis_lupus_dingo
ENSTTRP00000013351	ENSTTRG00000014082	Tursiops_truncatus
ENSMGAP00000015124	ENSMGAG00000014298	Meleagris_gallopavo	ENSMGAT00000016073
ENSBMUP00000005971	ENSBMUG00000004686	Bos_mutus
ENSAMXP00000001994	ENSAMXG00000001955	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSSPAP00000028187	ENSSPAG00000021225	Stegastes_partitus
ENSMZEP00005024276	ENSMZEG00005018154	Maylandia_zebra
ENSSDUP00000000492	ENSSDUG00000000420	Seriola_dumerili
ENSPPRP00000014900	ENSPPRG00000007656	Panthera_pardus
ENSPTEP00000038082	ENSPTEG00000035479	Piliocolobus_tephrosceles
ENSNPEP00000011714	ENSNPEG00000008792	Nothoprocta_perdicaria
ENSORLP00020012400	ENSORLG00020013320	Oryzias_latipes_ASM223471v1
ENSSBOP00000023287	ENSSBOG00000028150	Saimiri_boliviensis_boliviensis
ENSOARP00000001049	ENSOARG00000001011	Ovis_aries
ENSCHIP00000019797	ENSCHIG00000018687	Capra_hircus
ENSNGAP00000021920	ENSNGAG00000020959	Nannospalax_galili
ENSCGRP00015019470	ENSCGRG00015014950	Cricetulus_griseus_CriGri-PICR
ENSMPUP00000008347	ENSMPUG00000008410	Mustela_putorius_furo
ENSPMGP00000014139	ENSPMGG00000011611	Periophthalmus_magnuspinnatus
ENSLACP00000011731	ENSLACG00000010329	Latimeria_chalumnae
ENSCLAP00000024162	ENSCLAG00000016582	Chinchilla_lanigera
ENSXETP00000019439	ENSXETG00000001309	Xenopus_tropicalis
ENSMMOP00000019733	ENSMMOG00000014971	Mola_mola
ENSNMEP00000008942	ENSNMEG00000008707	Numida_meleagris	ENSNMET00000014347
ENSPFOP00000019511	ENSPFOG00000019392	Poecilia_formosa
ENSPVIP00000026364	ENSPVIG00000019687	Pogona_vitticeps	ENSPVIT00000032484
ENSBSLP00000017048	ENSBSLG00000008908	Betta_splendens
ENSPANP00000004013	ENSPANG00000024067	Papio_anubis
ENSBIXP00000011429	ENSBIXG00000016665	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMOCP00000021141	ENSMOCG00000018596	Microtus_ochrogaster
ENSHHUP00000090929	ENSHHUG00000052478	Hucho_hucho
ENSETEP00000004135	ENSETEG00000005087	Echinops_telfairi
ENSIPUP00000019740	ENSIPUG00000013395	Ictalurus_punctatus
ENSSARP00000012019	ENSSARG00000013309	Sorex_araneus
ENSSLDP00000002757	ENSSLDG00000002195	Seriola_lalandi_dorsalis
ENSMUGP00000031143	ENSMUGG00000025890	Meriones_unguiculatus
ENSJHYP00000023830	ENSJHYG00000017917	Junco_hyemalis
ENSGACP00000012213	ENSGACG00000009248	Gasterosteus_aculeatus
FBpp0081384	FBgn0037608	Drosophila_melanogaster
ENSANAP00000013897	ENSANAG00000024869	Aotus_nancymaae
ENSSPUP00000002511	ENSSPUG00000001941	Sphenodon_punctatus	ENSSPUT00000002659
MGP_SPRETEiJ_P0077332	MGP_SPRETEiJ_G0029533	Mus_spretus_strain_SPRET/EiJ
ENSNSUP00000002244	ENSNSUG00000001883	Notechis_scutatus	ENSNSUT00000002413
ENSPEMP00000032574	ENSPEMG00000024632	Peromyscus_maniculatus_bairdii
ENSMUNP00000013598	ENSMUNG00000010611	Melopsittacus_undulatus
ENSMICP00000029118	ENSMICG00000011277	Microcebus_murinus
ENSSFOP00015000465	ENSSFOG00015000393	Scleropages_formosus
ENSP00000377486	ENSG00000115364	Homo_sapiens
ENSCCNP00000004308	ENSCCNG00000004566	Castor_canadensis
ENSLSDP00000003192	ENSLSDG00000002462	Lonchura_striata_domestica
ENSRROP00000041348	ENSRROG00000043882	Rhinopithecus_roxellana
ENSCGRP00000007179	ENSCGRG00000005220	Cricetulus_griseus_CriGri_1.0
ENSRBIP00000020176	ENSRBIG00000034079	Rhinopithecus_bieti
ENSCVAP00000000868	ENSCVAG00000001815	Cyprinodon_variegatus
ENSODEP00000015493	ENSODEG00000011430	Octodon_degus
ENSSMAP00000028439	ENSSMAG00000017409	Scophthalmus_maximus
ENSTNIP00000015263	ENSTNIG00000012295	Tetraodon_nigroviridis
ENSPSIP00000015349	ENSPSIG00000013706	Pelodiscus_sinensis
ENSAPLP00000014265	ENSAPLG00000014401	Anas_platyrhynchos_platyrhynchos
ENSPKIP00000019585	ENSPKIG00000004696	Paramormyrops_kingsleyae
ENSLCOP00000014277	ENSLCOG00000010250	Lepidothrix_coronata
ENSNBRP00000026086	ENSNBRG00000019970	Neolamprologus_brichardi
ENSPLAP00000007738	ENSPLAG00000010169	Poecilia_latipinna
ENSPNAP00000007651	ENSPNAG00000002735	Pygocentrus_nattereri
ENSOGAP00000001036	ENSOGAG00000001159	Otolemur_garnettii
ENSACAP00000013296	ENSACAG00000013523	Anolis_carolinensis	ENSACAT00000013565
ENSPPYP00000013666	ENSPPYG00000012255	Pongo_abelii
ENSCAFP00000012030	ENSCAFG00000008175	Canis_lupus_familiaris
ENSCABP00000003540	ENSCABG00000002693	Chelonoidis_abingdonii
ENSVURP00010002722	ENSVURG00010002234	Vombatus_ursinus
ENSCPRP00005006259	ENSCPRG00005004483	Crocodylus_porosus
ENSCJPP00005002560	ENSCJPG00005002842	Coturnix_japonica	ENSCJPT00005004740
ENSSCAP00000019357	ENSSCAG00000013983	Serinus_canaria
ENSFHEP00000020904	ENSFHEG00000022887	Fundulus_heteroclitus
ENSBTAP00000003312	ENSBTAG00000002557	Bos_taurus
ENSMAUP00000010434	ENSMAUG00000011327	Mesocricetus_auratus
ENSFCAP00000019359	ENSFCAG00000026955	Felis_catus
ENSZALP00000000493	ENSZALG00000000585	Zonotrichia_albicollis
ENSPCOP00000003607	ENSPCOG00000010787	Propithecus_coquereli
ENSMODP00000009923	ENSMODG00000007969	Monodelphis_domestica
ENSFDAP00000010507	ENSFDAG00000018250	Fukomys_damarensis
ENSECRP00000013062	ENSECRG00000008733	Erpetoichthys_calabaricus
ENSPMJP00000017204	ENSPMJG00000012963	Parus_major
ENSAHAP00000010048	ENSAHAG00000007216	Apteryx_haastii
ENSLBEP00000024807	ENSLBEG00000018949	Labrus_bergylta
ENSTGUP00000013597	ENSTGUG00000013204	Taeniopygia_guttata
ENSEEEP00000000779	ENSEEEG00000000532	Electrophorus_electricus
ENSHGLP00100001907	ENSHGLG00100001487	Heterocephalus_glaber_HetGla_1.0
Y119C1B.4.1	WBGene00022470	Caenorhabditis_elegans_strain_N2
ENSMICP00000003313	ENSMICG00000003637	Microcebus_murinus
ENSCATP00000014508	ENSCATG00000031286	Cercocebus_atys
ENSPNYP00000029856	ENSPNYG00000022512	Pundamilia_nyererei
ENSOMEP00000025440	ENSOMEG00000006661	Oryzias_melastigma
ENSMSIP00000025801	ENSMSIG00000021780	Mus_spicilegus
ENSPSMP00000027055	ENSPSMG00000018952	Prolemur_simus
ENSOCUP00000001468	ENSOCUG00000001712	Oryctolagus_cuniculus
ENSLOCP00000001104	ENSLOCG00000000969	Lepisosteus_oculatus
ENSNLEP00000001359	ENSNLEG00000001142	Nomascus_leucogenys
ENSMUSP00000032124	ENSMUSG00000030045	Mus_musculus_strain_reference_(CL57BL6)
