ENSCABP00000017337	ENSCABG00000012877	Chelonoidis_abingdonii	ENSCABT00000019003
ENSGAGP00000022503	ENSGAGG00000016503	Gopherus_agassizii	ENSGAGT00000025634
ENSACAP00000001220	ENSACAG00000001331	Anolis_carolinensis
ENSNSUP00000000185	ENSNSUG00000000202	Notechis_scutatus
ENSSMRP00000030736	ENSSMRG00000023560	Salvator_merianae
ENSSPUP00000017873	ENSSPUG00000013807	Sphenodon_punctatus
ENSPMJP00000001828	ENSPMJG00000001508	Parus_major
ENSLCOP00000022205	ENSLCOG00000015670	Lepidothrix_coronata
ENSLSDP00000000341	ENSLSDG00000000296	Lonchura_striata_domestica
ENSCJPP00005016758	ENSCJPG00005013750	Coturnix_japonica
ENSGALP00000062212	ENSGALG00000045574	Gallus_gallus
ENSNMEP00000022749	ENSNMEG00000019450	Numida_meleagris
ENSCPRP00005009487	ENSCPRG00005006737	Crocodylus_porosus
ENSECAP00000033513	ENSECAG00000029306	Equus_caballus
ENSEASP00005020559	ENSEASG00005014148	Equus_asinus_asinus
ENSMPUP00000002675	ENSMPUG00000002703	Mustela_putorius_furo
ENSNVIP00000019522	ENSNVIG00000015307	Neovison_vison
ENSAMEP00000018156	ENSAMEG00000017195	Ailuropoda_melanoleuca
ENSUAMP00000001623	ENSUAMG00000001537	Ursus_americanus
ENSCAFP00020002939	ENSCAFG00020002465	Canis_lupus_dingo
ENSVVUP00000009956	ENSVVUG00000007368	Vulpes_vulpes
ENSPPRP00000026883	ENSPPRG00000017944	Panthera_pardus
ENSBIXP00000039864	ENSBIXG00000023869	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005017712	ENSBIXG00005021179	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000007431	ENSBTAG00000005657	Bos_taurus
ENSBMUP00000026465	ENSBMUG00000019881	Bos_mutus
ENSBBBP00000021503	ENSBBBG00000015130	Bison_bison_bison
ENSCHIP00000018992	ENSCHIG00000018201	Capra_hircus
ENSVPAP00000008372	ENSVPAG00000009003	Vicugna_pacos
ENSPVAP00000004586	ENSPVAG00000004844	Pteropus_vampyrus
ENSMNEP00000028005	ENSMNEG00000037400	Macaca_nemestrina
ENSMMUP00000024942	ENSMMUG00000018956	Macaca_mulatta
ENSCSAP00000009834	ENSCSAG00000013676	Chlorocebus_sabaeus
ENSRBIP00000029419	ENSRBIG00000038590	Rhinopithecus_bieti
ENSGGOP00000001906	ENSGGOG00000001936	Gorilla_gorilla
ENSPTRP00000026990	ENSPTRG00000015688	Pan_troglodytes
ENSRROP00000036802	ENSRROG00000041861	Rhinopithecus_roxellana
ENSPTEP00000026784	ENSPTEG00000026753	Piliocolobus_tephrosceles
ENSPANP00000027927	ENSPANG00000035922	Papio_anubis
ENSMFAP00000031436	ENSMFAG00000036792	Macaca_fascicularis
ENSTGEP00000029216	ENSTGEG00000023513	Theropithecus_gelada
ENSCATP00000044803	ENSCATG00000044862	Cercocebus_atys
ENSP00000296238	ENSG00000163888	Homo_sapiens
ENSCCAP00000035465	ENSCCAG00000035659	Cebus_capucinus_imitator
ENSCJAP00000040885	ENSCJAG00000022233	Callithrix_jacchus
ENSANAP00000017604	ENSANAG00000026673	Aotus_nancymaae
ENSPPAP00000004285	ENSPPAG00000018121	Pan_paniscus
ENSPPYP00000016050	ENSPPYG00000014352	Pongo_abelii
ENSSBOP00000017399	ENSSBOG00000025366	Saimiri_boliviensis_boliviensis
ENSTSYP00000000066	ENSTSYG00000000071	Carlito_syrichta
ENSPSMP00000030607	ENSPSMG00000021256	Prolemur_simus
ENSMICP00000051702	ENSMICG00000049125	Microcebus_murinus
ENSPCOP00000028219	ENSPCOG00000026701	Propithecus_coquereli
ENSOGAP00000019342	ENSOGAG00000025540	Otolemur_garnettii
ENSODEP00000017494	ENSODEG00000012896	Octodon_degus
ENSCLAP00000021448	ENSCLAG00000014688	Chinchilla_lanigera
ENSHGLP00000021147	ENSHGLG00000015107	Heterocephalus_glaber_HetGla_female_1.0
MGP_SPRETEiJ_P0042811	MGP_SPRETEiJ_G0021480	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000057368	ENSMUSG00000051146	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0040954	MGP_CAROLIEiJ_G0020583	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000015037	ENSMSIG00000012925	Mus_spicilegus
MGP_PahariEiJ_P0028337	MGP_PahariEiJ_G0016287	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000054937	ENSRNOG00000038184	Rattus_norvegicus
ENSMUGP00000003982	ENSMUGG00000003692	Meriones_unguiculatus
ENSCGRP00001009353	ENSCGRG00001011488	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015002559	ENSCGRG00015002071	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000021122	ENSCGRG00000015347	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000007405	ENSMAUG00000009092	Mesocricetus_auratus
ENSPEMP00000008473	ENSPEMG00000010089	Peromyscus_maniculatus_bairdii
ENSMOCP00000012258	ENSMOCG00000012422	Microtus_ochrogaster
ENSNGAP00000026849	ENSNGAG00000024362	Nannospalax_galili
ENSJJAP00000023501	ENSJJAG00000023253	Jaculus_jaculus
ENSUPAP00010004066	ENSUPAG00010003323	Urocitellus_parryii
ENSSTOP00000015313	ENSSTOG00000023761	Ictidomys_tridecemlineatus
ENSDORP00000007445	ENSDORG00000007938	Dipodomys_ordii
ENSCCNP00000013979	ENSCCNG00000014492	Castor_canadensis
ENSOCUP00000015770	ENSOCUG00000025446	Oryctolagus_cuniculus
ENSLAFP00000012927	ENSLAFG00000015432	Loxodonta_africana
ENSDNOP00000021953	ENSDNOG00000045842	Dasypus_novemcinctus
ENSVURP00010030256	ENSVURG00010023136	Vombatus_ursinus
