ENSCINP00000001600	ENSCING00000000878	Ciona_intestinalis
ENSCSAVP00000004105	ENSCSAVG00000002419	Ciona_savignyi
ENSCHAP00000020766	ENSCHAG00000010506	Clupea_harengus
ENSDCDP00000060535	ENSDCDG00000034750	Denticeps_clupeoides
ENSPKIP00000017523	ENSPKIG00000003397	Paramormyrops_kingsleyae
ENSSFOP00015017683	ENSSFOG00015011372	Scleropages_formosus
ENSPFOP00000005121	ENSPFOG00000005251	Poecilia_formosa
ENSPLAP00000029936	ENSPLAG00000020559	Poecilia_latipinna
ENSXCOP00000018462	ENSXCOG00000013898	Xiphophorus_couchianus
ENSPREP00000012757	ENSPREG00000008662	Poecilia_reticulata
ENSPMEP00000028400	ENSPMEG00000013452	Poecilia_mexicana
ENSGAFP00000020667	ENSGAFG00000013954	Gambusia_affinis
ENSXMAP00000006134	ENSXMAG00000006119	Xiphophorus_maculatus
ENSCVAP00000024686	ENSCVAG00000008921	Cyprinodon_variegatus
ENSFHEP00000030744	ENSFHEG00000016227	Fundulus_heteroclitus
ENSORLP00020015797	ENSORLG00020016816	Oryzias_latipes_ASM223471v1
ENSORLP00015011707	ENSORLG00015012529	Oryzias_latipes_ASM223469v1
ENSORLP00000040059	ENSORLG00000026881	Oryzias_latipes_ASM223467v1
ENSOMEP00000016343	ENSOMEG00000017983	Oryzias_melastigma
ENSPNYP00000017590	ENSPNYG00000013310	Pundamilia_nyererei
ENSACLP00000028527	ENSACLG00000019366	Astatotilapia_calliptera
ENSHBUP00000007622	ENSHBUG00000009104	Haplochromis_burtoni
ENSMZEP00005008253	ENSMZEG00005006292	Maylandia_zebra
ENSONIP00000006369	ENSONIG00000005064	Oreochromis_niloticus
ENSNBRP00000005930	ENSNBRG00000004682	Neolamprologus_brichardi
ENSCSEP00000029054	ENSCSEG00000018613	Cynoglossus_semilaevis
ENSTNIP00000009852	ENSTNIG00000007052	Tetraodon_nigroviridis
ENSGACP00000008463	ENSGACG00000006399	Gasterosteus_aculeatus
ENSLBEP00000016693	ENSLBEG00000012887	Labrus_bergylta
ENSAOCP00000021286	ENSAOCG00000005917	Amphiprion_ocellaris
ENSAPEP00000012908	ENSAPEG00000009193	Amphiprion_percula
ENSAPOP00000017345	ENSAPOG00000020522	Acanthochromis_polyacanthus
ENSSDUP00000026948	ENSSDUG00000019531	Seriola_dumerili
ENSSLDP00000006277	ENSSLDG00000005015	Seriola_lalandi_dorsalis
ENSLCAP00010035130	ENSLCAG00010016467	Lates_calcarifer
ENSMMOP00000009595	ENSMMOG00000007428	Mola_mola
ENSTRUP00000054235	ENSTRUG00000024560	Takifugu_rubripes
ENSLCRP00005056881	ENSLCRG00005021143	Larimichthys_crocea
ENSMALP00000014780	ENSMALG00000010371	Monopterus_albus
ENSMAMP00000014205	ENSMAMG00000009640	Mastacembelus_armatus
ENSSMAP00000019528	ENSSMAG00000011983	Scophthalmus_maximus
ENSCGOP00000027819	ENSCGOG00000013094	Cottoperca_gobio
ENSACIP00000020640	ENSACIG00000016035	Amphilophus_citrinellus
ENSSPAP00000028670	ENSSPAG00000021580	Stegastes_partitus
ENSPRNP00000001128	ENSPRNG00000000773	Parambassis_ranga
ENSKMAP00000017254	ENSKMAG00000012861	Kryptolebias_marmoratus
ENSATEP00000036428	ENSATEG00000025029	Anabas_testudineus
ENSBSLP00000054793	ENSBSLG00000025702	Betta_splendens
ENSPMGP00000008558	ENSPMGG00000007080	Periophthalmus_magnuspinnatus
ENSHCOP00000017409	ENSHCOG00000001172	Hippocampus_comes
ENSGMOP00000008489	ENSGMOG00000007942	Gadus_morhua
ENSHHUP00000003906	ENSHHUG00000002456	Hucho_hucho
ENSHHUP00000044293	ENSHHUG00000027125	Hucho_hucho
ENSELUP00000019990	ENSELUG00000019248	Esox_lucius
ENSDARP00000069022	ENSDARG00000052638	Danio_rerio
ENSLOCP00000007752	ENSLOCG00000006416	Lepisosteus_oculatus
ENSAMXP00000013485	ENSAMXG00000013111	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005004706	ENSAMXG00005002935	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000026250	ENSPNAG00000011520	Pygocentrus_nattereri
ENSEEEP00000036301	ENSEEEG00000017264	Electrophorus_electricus
ENSIPUP00000015725	ENSIPUG00000010690	Ictalurus_punctatus
ENSECRP00000011914	ENSECRG00000007962	Erpetoichthys_calabaricus	ENSECRT00000012109
ENSACAP00000015681	ENSACAG00000015965	Anolis_carolinensis
ENSPVIP00000029772	ENSPVIG00000021938	Pogona_vitticeps
ENSNSUP00000019576	ENSNSUG00000014301	Notechis_scutatus
ENSSMRP00000006999	ENSSMRG00000005663	Salvator_merianae
ENSSPUP00000002478	ENSSPUG00000001915	Sphenodon_punctatus
ENSABRP00000026363	ENSABRG00000022026	Anser_brachyrhynchus
ENSABRP00000008825	ENSABRG00000007942	Anser_brachyrhynchus
ENSMUNP00000014533	ENSMUNG00000011297	Melopsittacus_undulatus
ENSCPGP00000008754	ENSCPGG00000006220	Calidris_pygmaea
ENSCPUP00000007529	ENSCPUG00000005439	Calidris_pugnax
ENSGALP00000038150	ENSGALG00000007771	Gallus_gallus
ENSCJPP00005008023	ENSCJPG00005007259	Coturnix_japonica
ENSMGAP00000009505	ENSMGAG00000009221	Meleagris_gallopavo
ENSNMEP00000000464	ENSNMEG00000000685	Numida_meleagris
ENSTGUP00000008717	ENSTGUG00000008469	Taeniopygia_guttata
ENSSCAP00000021457	ENSSCAG00000015428	Serinus_canaria
ENSPMJP00000011751	ENSPMJG00000009071	Parus_major
ENSLCOP00000010259	ENSLCOG00000007454	Lepidothrix_coronata
ENSABRP00000005150	ENSABRG00000004782	Anser_brachyrhynchus
ENSABRP00000020379	ENSABRG00000017374	Anser_brachyrhynchus
ENSABRP00000009143	ENSABRG00000008172	Anser_brachyrhynchus
ENSABRP00000024409	ENSABRG00000020484	Anser_brachyrhynchus
ENSAPLP00000028620	ENSAPLG00000021271	Anas_platyrhynchos_platyrhynchos
ENSLSDP00000003569	ENSLSDG00000002731	Lonchura_striata_domestica
ENSFALP00000011414	ENSFALG00000010938	Ficedula_albicollis
ENSJHYP00000011450	ENSJHYG00000008944	Junco_hyemalis
ENSCCEP00000002974	ENSCCEG00000003335	Cyanistes_caeruleus
ENSMVIP00005004971	ENSMVIG00005003823	Manacus_vitellinus
ENSAHAP00000017412	ENSAHAG00000012392	Apteryx_haastii
ENSARWP00000013661	ENSARWG00000009437	Apteryx_rowi
ENSAOWP00000001521	ENSAOWG00000001093	Apteryx_owenii
ENSDNVP00000014004	ENSDNVG00000009842	Dromaius_novaehollandiae
ENSNPEP00000014608	ENSNPEG00000010921	Nothoprocta_perdicaria
ENSCPRP00005006814	ENSCPRG00005004856	Crocodylus_porosus
ENSGAGP00000022644	ENSGAGG00000016607	Gopherus_agassizii
ENSCABP00000016519	ENSCABG00000012271	Chelonoidis_abingdonii
ENSCPBP00000020927	ENSCPBG00000015039	Chrysemys_picta_bellii
ENSPSIP00000017937	ENSPSIG00000015956	Pelodiscus_sinensis
ENSAMEP00000007573	ENSAMEG00000007204	Ailuropoda_melanoleuca
ENSUMAP00000003169	ENSUMAG00000002731	Ursus_maritimus
ENSMPUP00000006172	ENSMPUG00000006225	Mustela_putorius_furo
ENSNVIP00000029233	ENSNVIG00000022528	Neovison_vison
ENSCAFP00020027925	ENSCAFG00020021921	Canis_lupus_dingo
ENSCAFP00000043396	ENSCAFG00000030763	Canis_lupus_familiaris
ENSVVUP00000023736	ENSVVUG00000017391	Vulpes_vulpes
ENSPPRP00000001919	ENSPPRG00000023782	Panthera_pardus
ENSPTIP00000016372	ENSPTIG00000015174	Panthera_tigris_altaica
ENSFCAP00000045526	ENSFCAG00000044679	Felis_catus
ENSEEUP00000002548	ENSEEUG00000002797	Erinaceus_europaeus
ENSECAP00000021344	ENSECAG00000023915	Equus_caballus
ENSEASP00005034041	ENSEASG00005023274	Equus_asinus_asinus
ENSCHIP00000022002	ENSCHIG00000020130	Capra_hircus
ENSOARP00000019797	ENSOARG00000018441	Ovis_aries
ENSBIXP00000037218	ENSBIXG00000003853	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005020843	ENSBIXG00005023861	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000017292	ENSBTAG00000013007	Bos_taurus
ENSBMUP00000021797	ENSBMUG00000016427	Bos_mutus
ENSBBBP00000028576	ENSBBBG00000008091	Bison_bison_bison
ENSCHIP00000031736	ENSCHIG00000025974	Capra_hircus
ENSTTRP00000014093	ENSTTRG00000014867	Tursiops_truncatus
ENSSSCP00000007983	ENSSSCG00000007492	Sus_scrofa_strain_reference
ENSMLUP00000021221	ENSMLUG00000030626	Myotis_lucifugus
ENSPVAP00000003069	ENSPVAG00000003250	Pteropus_vampyrus
ENSNLEP00000008567	ENSNLEG00000007028	Nomascus_leucogenys
ENSNLEP00000038866	ENSNLEG00000034559	Nomascus_leucogenys
ENSGGOP00000050975	ENSGGOG00000043075	Gorilla_gorilla
ENSP00000360437	ENSG00000124098	Homo_sapiens
ENSPTRP00000023473	ENSPTRG00000013645	Pan_troglodytes
ENSPPYP00000012455	ENSPPYG00000011147	Pongo_abelii
ENSPANP00000014566	ENSPANG00000021797	Papio_anubis
ENSCSAP00000011435	ENSCSAG00000015346	Chlorocebus_sabaeus
ENSTGEP00000017137	ENSTGEG00000013848	Theropithecus_gelada
ENSCATP00000032422	ENSCATG00000039274	Cercocebus_atys
ENSMMUP00000073296	ENSMMUG00000061353	Macaca_mulatta
ENSMFAP00000004431	ENSMFAG00000001924	Macaca_fascicularis
ENSMNEP00000015737	ENSMNEG00000031940	Macaca_nemestrina
ENSRROP00000025656	ENSRROG00000036571	Rhinopithecus_roxellana
ENSRBIP00000010089	ENSRBIG00000028911	Rhinopithecus_bieti
ENSPTEP00000009064	ENSPTEG00000010289	Piliocolobus_tephrosceles
ENSMLEP00000023785	ENSMLEG00000036070	Mandrillus_leucophaeus
ENSCANP00000033900	ENSCANG00000040623	Colobus_angolensis_palliatus
ENSPPAP00000014784	ENSPPAG00000030559	Pan_paniscus
ENSPANP00000046779	ENSPANG00000023004	Papio_anubis
ENSMFAP00000008830	ENSMFAG00000001096	Macaca_fascicularis
ENSCATP00000033367	ENSCATG00000039692	Cercocebus_atys
ENSMNEP00000031409	ENSMNEG00000039132	Macaca_nemestrina
ENSMLEP00000017875	ENSMLEG00000033126	Mandrillus_leucophaeus
ENSCSAP00000007962	ENSCSAG00000011771	Chlorocebus_sabaeus
ENSPPAP00000039636	ENSPPAG00000042510	Pan_paniscus
ENSPTRP00000088102	ENSPTRG00000050986	Pan_troglodytes
ENSGGOP00000035083	ENSGGOG00000024380	Gorilla_gorilla
ENSCCAP00000023539	ENSCCAG00000029562	Cebus_capucinus_imitator
ENSSBOP00000016301	ENSSBOG00000024853	Saimiri_boliviensis_boliviensis
ENSANAP00000035618	ENSANAG00000035348	Aotus_nancymaae
ENSTSYP00000030451	ENSTSYG00000035510	Carlito_syrichta
ENSTSYP00000019872	ENSTSYG00000025465	Carlito_syrichta
ENSPCOP00000021150	ENSPCOG00000022573	Propithecus_coquereli
ENSMICP00000044074	ENSMICG00000047974	Microcebus_murinus
ENSPSMP00000000096	ENSPSMG00000000105	Prolemur_simus
ENSOGAP00000003965	ENSOGAG00000004440	Otolemur_garnettii
ENSTBEP00000011443	ENSTBEG00000013227	Tupaia_belangeri
ENSCPOP00000005972	ENSCPOG00000006630	Cavia_porcellus
ENSCAPP00000010804	ENSCAPG00000011999	Cavia_aperea
ENSCLAP00000008376	ENSCLAG00000005865	Chinchilla_lanigera
ENSODEP00000008002	ENSODEG00000005961	Octodon_degus
ENSHGLP00000026250	ENSHGLG00000018679	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000014092	ENSFDAG00000001122	Fukomys_damarensis
ENSSTOP00000010722	ENSSTOG00000011956	Ictidomys_tridecemlineatus
ENSMMMP00000009555	ENSMMMG00000008521	Marmota_marmota_marmota
ENSUPAP00010006427	ENSUPAG00010005166	Urocitellus_parryii
ENSSDAP00000020602	ENSSDAG00000018774	Spermophilus_dauricus
MGP_SPRETEiJ_P0058610	MGP_SPRETEiJ_G0025654	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000031540	ENSMSIG00000026403	Mus_spicilegus
ENSMUSP00000028995	ENSMUSG00000027495	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0056435	MGP_CAROLIEiJ_G0024734	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0067417	MGP_PahariEiJ_G0026175	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000005901	ENSRNOG00000004466	Rattus_norvegicus
ENSMUGP00000029390	ENSMUGG00000024390	Meriones_unguiculatus
ENSPEMP00000036112	ENSPEMG00000025841	Peromyscus_maniculatus_bairdii
ENSMOCP00000012301	ENSMOCG00000012454	Microtus_ochrogaster
ENSCGRP00015022569	ENSCGRG00015017177	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001011727	ENSCGRG00001013313	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000002885	ENSCGRG00000002111	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000023578	ENSMAUG00000020693	Mesocricetus_auratus
ENSNGAP00000025131	ENSNGAG00000023184	Nannospalax_galili
ENSCCNP00000025415	ENSCCNG00000024782	Castor_canadensis
ENSDORP00000008021	ENSDORG00000008544	Dipodomys_ordii
ENSOCUP00000015375	ENSOCUG00000017897	Oryctolagus_cuniculus
ENSOCUP00000029775	ENSOCUG00000035935	Oryctolagus_cuniculus
ENSLAFP00000007036	ENSLAFG00000008388	Loxodonta_africana
ENSPCAP00000004450	ENSPCAG00000004784	Procavia_capensis
ENSETEP00000011665	ENSETEG00000014373	Echinops_telfairi
ENSCHOP00000005271	ENSCHOG00000005970	Choloepus_hoffmanni
ENSDNOP00000010688	ENSDNOG00000013803	Dasypus_novemcinctus
ENSVURP00010024331	ENSVURG00010018643	Vombatus_ursinus
ENSPCIP00000011520	ENSPCIG00000009225	Phascolarctos_cinereus
ENSMEUP00000005894	ENSMEUG00000006475	Notamacropus_eugenii
