ENSMAMP00000002158	ENSMAMG00000001522	Mastacembelus_armatus
ENSMALP00000031343	ENSMALG00000021629	Monopterus_albus
ENSATEP00000013994	ENSATEG00000009766	Anabas_testudineus
ENSBSLP00000002691	ENSBSLG00000001527	Betta_splendens
ENSLCRP00005060150	ENSLCRG00005022242	Larimichthys_crocea
ENSTRUP00000002208	ENSTRUG00000000928	Takifugu_rubripes
ENSCSEP00000026800	ENSCSEG00000017113	Cynoglossus_semilaevis
ENSAOCP00000005202	ENSAOCG00000008670	Amphiprion_ocellaris
ENSAPEP00000027305	ENSAPEG00000019409	Amphiprion_percula
ENSAPOP00000000676	ENSAPOG00000001865	Acanthochromis_polyacanthus
ENSSPAP00000020366	ENSSPAG00000015390	Stegastes_partitus
ENSCGOP00000032281	ENSCGOG00000015032	Cottoperca_gobio
ENSSDUP00000021014	ENSSDUG00000015290	Seriola_dumerili
ENSSLDP00000004590	ENSSLDG00000003657	Seriola_lalandi_dorsalis
ENSSMAP00000023120	ENSSMAG00000014110	Scophthalmus_maximus
ENSLCAP00010025755	ENSLCAG00010012044	Lates_calcarifer
ENSPRNP00000054528	ENSPRNG00000025628	Parambassis_ranga
ENSLBEP00000024252	ENSLBEG00000018585	Labrus_bergylta
ENSGACP00000004251	ENSGACG00000003247	Gasterosteus_aculeatus
ENSFHEP00000031484	ENSFHEG00000017396	Fundulus_heteroclitus
ENSCVAP00000022692	ENSCVAG00000005523	Cyprinodon_variegatus
ENSPFOP00000009795	ENSPFOG00000009784	Poecilia_formosa
ENSPLAP00000019983	ENSPLAG00000002542	Poecilia_latipinna
ENSPMEP00000030338	ENSPMEG00000016661	Poecilia_mexicana
ENSPREP00000027927	ENSPREG00000018899	Poecilia_reticulata
ENSXMAP00000010103	ENSXMAG00000010068	Xiphophorus_maculatus
ENSXCOP00000012594	ENSXCOG00000009516	Xiphophorus_couchianus
ENSGAFP00000011059	ENSGAFG00000007493	Gambusia_affinis
ENSKMAP00000012985	ENSKMAG00000009752	Kryptolebias_marmoratus
ENSORLP00015012547	ENSORLG00015013438	Oryzias_latipes_ASM223469v1
ENSORLP00000030515	ENSORLG00000009136	Oryzias_latipes_ASM223467v1
ENSORLP00020029616	ENSORLG00020013629	Oryzias_latipes_ASM223471v1
ENSOMEP00000005804	ENSOMEG00000006824	Oryzias_melastigma
ENSGWIP00000010337	ENSGWIG00000006061	Gouania_willdenowi
ENSMZEP00005029420	ENSMZEG00005021950	Maylandia_zebra
ENSPNYP00000005348	ENSPNYG00000004165	Pundamilia_nyererei
ENSACLP00000039748	ENSACLG00000026795	Astatotilapia_calliptera
ENSHBUP00000031438	ENSHBUG00000017114	Haplochromis_burtoni
ENSNBRP00000030106	ENSNBRG00000022909	Neolamprologus_brichardi
ENSONIP00000017698	ENSONIG00000014079	Oreochromis_niloticus
ENSACIP00000027858	ENSACIG00000021565	Amphilophus_citrinellus
ENSPMGP00000029480	ENSPMGG00000023714	Periophthalmus_magnuspinnatus
ENSMMOP00000003552	ENSMMOG00000002835	Mola_mola
ENSTNIP00000015698	ENSTNIG00000012723	Tetraodon_nigroviridis
ENSHCOP00000014835	ENSHCOG00000018304	Hippocampus_comes
ENSPRNP00000054529	ENSPRNG00000025629	Parambassis_ranga
ENSORLP00000025359	ENSORLG00000020467	Oryzias_latipes_ASM223467v1
ENSPNYP00000005333	ENSPNYG00000004142	Pundamilia_nyererei
ENSNBRP00000030137	ENSNBRG00000022925	Neolamprologus_brichardi
ENSLCAP00010025767	ENSLCAG00010012049	Lates_calcarifer
ENSCSEP00000026861	ENSCSEG00000017149	Cynoglossus_semilaevis
ENSGMOP00000016809	ENSGMOG00000015652	Gadus_morhua
ENSHHUP00000052008	ENSHHUG00000031293	Hucho_hucho
ENSHHUP00000052774	ENSHHUG00000031702	Hucho_hucho
ENSELUP00000034868	ENSELUG00000013577	Esox_lucius
ENSCHAP00000005437	ENSCHAG00000003493	Clupea_harengus
ENSCHAP00000005569	ENSCHAG00000003525	Clupea_harengus
ENSDCDP00000000384	ENSDCDG00000000240	Denticeps_clupeoides
ENSAMXP00005003200	ENSAMXG00005001991	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000015207	ENSAMXG00000014778	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000014644	ENSPNAG00000020585	Pygocentrus_nattereri
ENSIPUP00000015970	ENSIPUG00000010842	Ictalurus_punctatus
ENSEEEP00000044418	ENSEEEG00000020972	Electrophorus_electricus
ENSDARP00000146528	ENSDARG00000076238	Danio_rerio
ENSPKIP00000033159	ENSPKIG00000012972	Paramormyrops_kingsleyae
ENSSFOP00015025723	ENSSFOG00015016504	Scleropages_formosus
ENSLOCP00000003646	ENSLOCG00000003088	Lepisosteus_oculatus
ENSECRP00000006895	ENSECRG00000004599	Erpetoichthys_calabaricus
ENSNPEP00000002315	ENSNPEG00000001781	Nothoprocta_perdicaria
ENSNPEP00000002309	ENSNPEG00000001776	Nothoprocta_perdicaria
ENSAOWP00000001858	ENSAOWG00000001339	Apteryx_owenii
ENSAHAP00000012898	ENSAHAG00000009306	Apteryx_haastii
ENSARWP00000023019	ENSARWG00000015688	Apteryx_rowi
ENSDNVP00000001254	ENSDNVG00000000916	Dromaius_novaehollandiae
ENSGALP00000053877	ENSGALG00000035629	Gallus_gallus
ENSCJPP00005021833	ENSCJPG00005017435	Coturnix_japonica
ENSMGAP00000015154	ENSMGAG00000014324	Meleagris_gallopavo
ENSNMEP00000019837	ENSNMEG00000017060	Numida_meleagris
ENSABRP00000010779	ENSABRG00000009696	Anser_brachyrhynchus
ENSAPLP00000029024	ENSAPLG00000015479	Anas_platyrhynchos_platyrhynchos
ENSCPUP00000010068	ENSCPUG00000007132	Calidris_pugnax
ENSCPGP00000012896	ENSCPGG00000009148	Calidris_pygmaea
ENSMUNP00000006633	ENSMUNG00000005320	Melopsittacus_undulatus
ENSLSDP00000008197	ENSLSDG00000006136	Lonchura_striata_domestica
ENSTGUP00000013806	ENSTGUG00000013409	Taeniopygia_guttata
ENSSCAP00000012535	ENSSCAG00000009327	Serinus_canaria
ENSJHYP00000024182	ENSJHYG00000018172	Junco_hyemalis
ENSZALP00000023403	ENSZALG00000018114	Zonotrichia_albicollis
ENSFALP00000006235	ENSFALG00000005976	Ficedula_albicollis
ENSCCEP00000016280	ENSCCEG00000015261	Cyanistes_caeruleus
ENSPMJP00000014439	ENSPMJG00000010954	Parus_major
ENSLCOP00000015040	ENSLCOG00000010763	Lepidothrix_coronata
ENSMVIP00005016093	ENSMVIG00005011566	Manacus_vitellinus
ENSCPRP00005005524	ENSCPRG00005003955	Crocodylus_porosus
ENSCPBP00000019157	ENSCPBG00000013873	Chrysemys_picta_bellii
ENSGAGP00000014113	ENSGAGG00000010741	Gopherus_agassizii
ENSPSIP00000002424	ENSPSIG00000002384	Pelodiscus_sinensis
ENSACAP00000009797	ENSACAG00000009972	Anolis_carolinensis	ENSACAT00000009997
ENSPVIP00000018672	ENSPVIG00000014294	Pogona_vitticeps	ENSPVIT00000023215
ENSNSUP00000013698	ENSNSUG00000010180	Notechis_scutatus
ENSSMRP00000006826	ENSSMRG00000005534	Salvator_merianae
ENSSPUP00000002881	ENSSPUG00000002223	Sphenodon_punctatus
ENSSMRP00000006807	ENSSMRG00000005521	Salvator_merianae
ENSVURP00010018931	ENSVURG00010014401	Vombatus_ursinus
ENSPCIP00000026462	ENSPCIG00000019836	Phascolarctos_cinereus
ENSMEUP00000005558	ENSMEUG00000006074	Notamacropus_eugenii
ENSSHAP00000002617	ENSSHAG00000002315	Sarcophilus_harrisii
ENSMODP00000049904	ENSMODG00000018166	Monodelphis_domestica
ENSPPAP00000041262	ENSPPAG00000043239	Pan_paniscus
ENSPTRP00000041731	ENSPTRG00000015236	Pan_troglodytes
ENSGGOP00000009270	ENSGGOG00000009490	Gorilla_gorilla
ENSP00000350881	ENSG00000178075	Homo_sapiens
ENSPPYP00000015133	ENSPPYG00000013534	Pongo_abelii
ENSNLEP00000005704	ENSNLEG00000004679	Nomascus_leucogenys
ENSCANP00000029533	ENSCANG00000038383	Colobus_angolensis_palliatus
