ENSOANP00000026603	ENSOANG00000020909	Ornithorhynchus_anatinus	ENSOANT00000030405
ENSOANP00000015164	ENSOANG00000009551	Ornithorhynchus_anatinus	ENSOANT00000015167
ENSCHOP00000008163	ENSCHOG00000009229	Choloepus_hoffmanni	ENSCHOT00000009251
ENSDNOP00000009984	ENSDNOG00000012879	Dasypus_novemcinctus	ENSDNOT00000012872
ENSGGOP00000005579	ENSGGOG00000005700	Gorilla_gorilla	ENSGGOT00000005724
ENSP00000298527	ENSG00000165682	Homo_sapiens	ENST00000298527
ENSPPAP00000019385	ENSPPAG00000032879	Pan_paniscus	ENSPPAT00000042146
ENSPTRP00000007972	ENSPTRG00000004664	Pan_troglodytes	ENSPTRT00000008628
ENSPPYP00000004862	ENSPPYG00000004263	Pongo_abelii	ENSPPYT00000005053
ENSNLEP00000003756	ENSNLEG00000003077	Nomascus_leucogenys	ENSNLET00000003942
ENSRBIP00000020501	ENSRBIG00000034234	Rhinopithecus_bieti	ENSRBIT00000044383
ENSRROP00000037865	ENSRROG00000042348	Rhinopithecus_roxellana	ENSRROT00000062337
ENSPTEP00000007073	ENSPTEG00000008074	Piliocolobus_tephrosceles	ENSPTET00000010831
ENSCANP00000013460	ENSCANG00000030148	Colobus_angolensis_palliatus
ENSMMUP00000003949	ENSMMUG00000002955	Macaca_mulatta
ENSMFAP00000035640	ENSMFAG00000034215	Macaca_fascicularis
ENSMNEP00000041791	ENSMNEG00000043702	Macaca_nemestrina
ENSTGEP00000004720	ENSTGEG00000003947	Theropithecus_gelada
ENSPANP00000008128	ENSPANG00000013787	Papio_anubis
ENSMLEP00000040053	ENSMLEG00000044050	Mandrillus_leucophaeus
ENSCATP00000032188	ENSCATG00000039180	Cercocebus_atys
ENSCSAP00000005452	ENSCSAG00000009231	Chlorocebus_sabaeus
ENSCCAP00000023354	ENSCCAG00000029466	Cebus_capucinus_imitator
ENSSBOP00000006477	ENSSBOG00000020193	Saimiri_boliviensis_boliviensis
ENSCJAP00000040378	ENSCJAG00000021680	Callithrix_jacchus
ENSANAP00000022159	ENSANAG00000028846	Aotus_nancymaae
ENSTSYP00000016741	ENSTSYG00000031303	Carlito_syrichta
ENSPCOP00000004905	ENSPCOG00000013256	Propithecus_coquereli
ENSMICP00000048443	ENSMICG00000045353	Microcebus_murinus
ENSPSMP00000005396	ENSPSMG00000004146	Prolemur_simus
ENSOGAP00000003822	ENSOGAG00000004281	Otolemur_garnettii
ENSUPAP00010005040	ENSUPAG00010004082	Urocitellus_parryii
ENSSDAP00000022781	ENSSDAG00000020702	Spermophilus_dauricus
ENSSTOP00000014911	ENSSTOG00000024376	Ictidomys_tridecemlineatus
ENSMMMP00000024689	ENSMMMG00000021623	Marmota_marmota_marmota
ENSCCNP00000027356	ENSCCNG00000026471	Castor_canadensis
ENSMSIP00000036210	ENSMSIG00000030118	Mus_spicilegus
MGP_CAROLIEiJ_P0076325	MGP_CAROLIEiJ_G0028929	Mus_caroli_strain_CAROLI_EIJ
MGP_SPRETEiJ_P0079571	MGP_SPRETEiJ_G0029973	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000032262	ENSMUSG00000030159	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0052691	MGP_PahariEiJ_G0022692	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000071442	ENSRNOG00000057335	Rattus_norvegicus
ENSMUGP00000016743	ENSMUGG00000014307	Meriones_unguiculatus
ENSPEMP00000017425	ENSPEMG00000016346	Peromyscus_maniculatus_bairdii
ENSMOCP00000007077	ENSMOCG00000006834	Microtus_ochrogaster
ENSCGRP00001009149	ENSCGRG00001011298	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000010163	ENSCGRG00000007421	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015033736	ENSCGRG00015025428	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000018894	ENSMAUG00000017334	Mesocricetus_auratus
ENSNGAP00000001186	ENSNGAG00000000877	Nannospalax_galili
ENSJJAP00000020828	ENSJJAG00000021385	Jaculus_jaculus
ENSCLAP00000022231	ENSCLAG00000015246	Chinchilla_lanigera
ENSCPOP00000017455	ENSCPOG00000020929	Cavia_porcellus
ENSODEP00000013368	ENSODEG00000009886	Octodon_degus
ENSHGLP00000010205	ENSHGLG00000007324	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100014245	ENSHGLG00100010527	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000009539	ENSFDAG00000017521	Fukomys_damarensis
ENSOPRP00000008610	ENSOPRG00000009423	Ochotona_princeps
ENSOARP00000022589	ENSOARG00000021020	Ovis_aries
ENSCHIP00000007662	ENSCHIG00000011092	Capra_hircus
ENSBIXP00000032688	ENSBIXG00000015334	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005006835	ENSBIXG00005012222	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000050331	ENSBTAG00000030423	Bos_taurus
ENSBMUP00000028102	ENSBMUG00000021055	Bos_mutus
ENSBBBP00000015670	ENSBBBG00000023382	Bison_bison_bison
ENSSSCP00000025784	ENSSSCG00000000650	Sus_scrofa_strain_reference
ENSTTRP00000003709	ENSTTRG00000003938	Tursiops_truncatus
ENSEASP00005021667	ENSEASG00005014812	Equus_asinus_asinus
ENSECAP00000002429	ENSECAG00000003385	Equus_caballus
ENSNVIP00000013183	ENSNVIG00000010422	Neovison_vison
ENSMPUP00000006189	ENSMPUG00000006242	Mustela_putorius_furo
ENSUAMP00000030491	ENSUAMG00000023414	Ursus_americanus
ENSUMAP00000022260	ENSUMAG00000016297	Ursus_maritimus
ENSAMEP00000004137	ENSAMEG00000003928	Ailuropoda_melanoleuca
ENSCAFP00020007666	ENSCAFG00020006181	Canis_lupus_dingo
ENSPTIP00000009905	ENSPTIG00000010835	Panthera_tigris_altaica
ENSPPRP00000023112	ENSPPRG00000013419	Panthera_pardus
