ENSVURP00010006859	ENSVURG00010005315	Vombatus_ursinus	ENSVURT00010007738
ENSPCIP00000006822	ENSPCIG00000005815	Phascolarctos_cinereus	ENSPCIT00000008632
ENSMEUP00000002929	ENSMEUG00000003205	Notamacropus_eugenii	ENSMEUT00000003219
ENSSHAP00000020775	ENSSHAG00000017621	Sarcophilus_harrisii	ENSSHAT00000020942
ENSMODP00000009234	ENSMODG00000007442	Monodelphis_domestica	ENSMODT00000009415
ENSPTRP00000073753	ENSPTRG00000050097	Pan_troglodytes	ENSPTRT00000101005
ENSPPAP00000028950	ENSPPAG00000037497	Pan_paniscus	ENSPPAT00000051798
ENSP00000495413	ENSG00000166436	Homo_sapiens	ENST00000646038
ENSGGOP00000016201	ENSGGOG00000016600	Gorilla_gorilla
ENSPPYP00000004023	ENSPPYG00000003506	Pongo_abelii
ENSNLEP00000021276	ENSNLEG00000017531	Nomascus_leucogenys
ENSPTEP00000001870	ENSPTEG00000002096	Piliocolobus_tephrosceles
ENSCANP00000024690	ENSCANG00000035752	Colobus_angolensis_palliatus
ENSRBIP00000011345	ENSRBIG00000029540	Rhinopithecus_bieti
ENSRROP00000017244	ENSRROG00000032737	Rhinopithecus_roxellana
ENSCATP00000037370	ENSCATG00000041404	Cercocebus_atys
ENSMLEP00000006502	ENSMLEG00000026797	Mandrillus_leucophaeus
ENSTGEP00000022771	ENSTGEG00000018427	Theropithecus_gelada
ENSPANP00000004914	ENSPANG00000020014	Papio_anubis
ENSMNEP00000034237	ENSMNEG00000040307	Macaca_nemestrina
ENSMMUP00000054768	ENSMMUG00000021827	Macaca_mulatta
ENSMFAP00000004906	ENSMFAG00000002122	Macaca_fascicularis
ENSCSAP00000000785	ENSCSAG00000004447	Chlorocebus_sabaeus
ENSCCAP00000015831	ENSCCAG00000025696	Cebus_capucinus_imitator
ENSSBOP00000033150	ENSSBOG00000032740	Saimiri_boliviensis_boliviensis
ENSCJAP00000021639	ENSCJAG00000011782	Callithrix_jacchus
ENSANAP00000039056	ENSANAG00000036957	Aotus_nancymaae
ENSTSYP00000020774	ENSTSYG00000035684	Carlito_syrichta
ENSPCOP00000009076	ENSPCOG00000015879	Propithecus_coquereli
ENSPSMP00000031729	ENSPSMG00000022023	Prolemur_simus
ENSMICP00000002091	ENSMICG00000002287	Microcebus_murinus
ENSOGAP00000010242	ENSOGAG00000011436	Otolemur_garnettii
ENSCLAP00000024200	ENSCLAG00000016612	Chinchilla_lanigera
ENSODEP00000001875	ENSODEG00000001469	Octodon_degus
ENSCPOP00000006851	ENSCPOG00000007602	Cavia_porcellus
ENSCAPP00000007002	ENSCAPG00000009033	Cavia_aperea
ENSHGLP00000015281	ENSHGLG00000010917	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100006995	ENSHGLG00100005248	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000012435	ENSFDAG00000019801	Fukomys_damarensis
ENSSTOP00000001081	ENSSTOG00000001206	Ictidomys_tridecemlineatus
