ENSMOCP00000014702	ENSMOCG00000014122	Microtus_ochrogaster
ENSPMJP00000007991	ENSPMJG00000006543	Parus_major
ENSMEUP00000007383	ENSMEUG00000008078	Notamacropus_eugenii
ENSMUGP00000011517	ENSMUGG00000010081	Meriones_unguiculatus
ENSLCRP00005037205	ENSLCRG00005014488	Larimichthys_crocea
ENSLOCP00000001415	ENSLOCG00000001230	Lepisosteus_oculatus
ENSPSIP00000018549	ENSPSIG00000016495	Pelodiscus_sinensis
ENSPNYP00000030064	ENSPNYG00000022667	Pundamilia_nyererei
ENSMZEP00005009857	ENSMZEG00005007463	Maylandia_zebra
ENSTGUP00000017358	ENSTGUG00000017073	Taeniopygia_guttata
ENSMNEP00000032225	ENSMNEG00000039453	Macaca_nemestrina
ENSORLP00015019361	ENSORLG00015020447	Oryzias_latipes_ASM223469v1
ENSMGAP00000005056	ENSMGAG00000005162	Meleagris_gallopavo
ENSLOCP00000014182	ENSLOCG00000011544	Lepisosteus_oculatus
ENSSPUP00000019649	ENSSPUG00000015144	Sphenodon_punctatus
ENSMALP00000007824	ENSMALG00000005566	Monopterus_albus
ENSPFOP00000018510	ENSPFOG00000018409	Poecilia_formosa
ENSCGOP00000001843	ENSCGOG00000001027	Cottoperca_gobio
ENSTTRP00000008078	ENSTTRG00000008530	Tursiops_truncatus
ENSBBBP00000026738	ENSBBBG00000022749	Bison_bison_bison
ENSCVAP00000001132	ENSCVAG00000002082	Cyprinodon_variegatus
ENSORLP00000017373	ENSORLG00000013860	Oryzias_latipes_ASM223467v1
ENSPCIP00000049915	ENSPCIG00000033694	Phascolarctos_cinereus
ENSPRNP00000055197	ENSPRNG00000025891	Parambassis_ranga
ENSSTOP00000020495	ENSSTOG00000025327	Ictidomys_tridecemlineatus
ENSOMEP00000006045	ENSOMEG00000007088	Oryzias_melastigma
ENSMUNP00000000857	ENSMUNG00000000771	Melopsittacus_undulatus
ENSSHAP00000009234	ENSSHAG00000007992	Sarcophilus_harrisii
ENSVVUP00000013525	ENSVVUG00000009927	Vulpes_vulpes
ENSAPLP00000003888	ENSAPLG00000014054	Anas_platyrhynchos_platyrhynchos
ENSACAP00000001216	ENSACAG00000001250	Anolis_carolinensis
ENSBSLP00000002148	ENSBSLG00000001207	Betta_splendens
ENSNMEP00000024211	ENSNMEG00000020576	Numida_meleagris
ENSOGAP00000001713	ENSOGAG00000001921	Otolemur_garnettii
ENSPTIP00000003927	ENSPTIG00000006558	Panthera_tigris_altaica
ENSPREP00000016056	ENSPREG00000010843	Poecilia_reticulata
ENSSPAP00000013505	ENSSPAG00000010234	Stegastes_partitus
ENSDCDP00000016386	ENSDCDG00000013317	Denticeps_clupeoides
