ENSCANP00000000376	ENSCANG00000000820	Colobus_angolensis_palliatus
ENSPTEP00000003102	ENSPTEG00000003646	Piliocolobus_tephrosceles
ENSRROP00000003700	ENSRROG00000014707	Rhinopithecus_roxellana
ENSRBIP00000008086	ENSRBIG00000027935	Rhinopithecus_bieti
ENSMLEP00000014051	ENSMLEG00000031170	Mandrillus_leucophaeus
ENSCATP00000027890	ENSCATG00000037276	Cercocebus_atys
ENSPANP00000016556	ENSPANG00000020467	Papio_anubis
ENSTGEP00000033053	ENSTGEG00000026399	Theropithecus_gelada
ENSMMUP00000024472	ENSMMUG00000018592	Macaca_mulatta
ENSMFAP00000034471	ENSMFAG00000003737	Macaca_fascicularis
ENSMNEP00000000510	ENSMNEG00000002396	Macaca_nemestrina
ENSCSAP00000000698	ENSCSAG00000004356	Chlorocebus_sabaeus
ENSPTRP00000016277	ENSPTRG00000009584	Pan_troglodytes
ENSPPAP00000017466	ENSPPAG00000031827	Pan_paniscus
ENSP00000284425	ENSG00000154262	Homo_sapiens
ENSGGOP00000015014	ENSGGOG00000015372	Gorilla_gorilla
ENSCCAP00000013469	ENSCCAG00000024538	Cebus_capucinus_imitator
ENSSBOP00000031388	ENSSBOG00000031910	Saimiri_boliviensis_boliviensis
ENSCJAP00000000306	ENSCJAG00000000174	Callithrix_jacchus
ENSANAP00000014657	ENSANAG00000025219	Aotus_nancymaae
ENSTSYP00000000828	ENSTSYG00000000896	Carlito_syrichta
ENSMICP00000015725	ENSMICG00000044268	Microcebus_murinus
ENSPCOP00000009200	ENSPCOG00000015952	Propithecus_coquereli
ENSPSMP00000001458	ENSPSMG00000001083	Prolemur_simus
ENSOGAP00000001100	ENSOGAG00000001225	Otolemur_garnettii
ENSTBEP00000006006	ENSTBEG00000006888	Tupaia_belangeri
ENSMUGP00000029599	ENSMUGG00000024575	Meriones_unguiculatus
ENSMUGP00000029614	ENSMUGG00000024585	Meriones_unguiculatus
ENSMUGP00000028643	ENSMUGG00000023746	Meriones_unguiculatus
ENSMUGP00000028654	ENSMUGG00000023751	Meriones_unguiculatus
MGP_SPRETEiJ_P0032182	MGP_SPRETEiJ_G0018204	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000021003	ENSMSIG00000017723	Mus_spicilegus
ENSMUSP00000035458	ENSMUSG00000044749	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0030733	MGP_CAROLIEiJ_G0017358	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0037459	MGP_PahariEiJ_G0018488	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000065682	ENSRNOG00000046890	Rattus_norvegicus
ENSCGRP00015015168	ENSCGRG00015011546	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000018732	ENSCGRG00000013644	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001009886	ENSCGRG00001011902	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000010113	ENSMAUG00000011072	Mesocricetus_auratus
ENSMOCP00000014374	ENSMOCG00000013898	Microtus_ochrogaster
ENSPEMP00000000137	ENSPEMG00000000094	Peromyscus_maniculatus_bairdii
ENSNGAP00000008691	ENSNGAG00000011584	Nannospalax_galili
ENSJJAP00000009414	ENSJJAG00000013278	Jaculus_jaculus
ENSCCNP00000004978	ENSCCNG00000000362	Castor_canadensis
ENSDORP00000006654	ENSDORG00000007098	Dipodomys_ordii
ENSMMMP00000014789	ENSMMMG00000013169	Marmota_marmota_marmota
ENSMMMP00000014547	ENSMMMG00000012633	Marmota_marmota_marmota
ENSUPAP00010025429	ENSUPAG00010020001	Urocitellus_parryii
ENSMMMP00000011194	ENSMMMG00000009984	Marmota_marmota_marmota
ENSSTOP00000011919	ENSSTOG00000013286	Ictidomys_tridecemlineatus
ENSSDAP00000018969	ENSSDAG00000017263	Spermophilus_dauricus
ENSCLAP00000007143	ENSCLAG00000005025	Chinchilla_lanigera
ENSODEP00000012627	ENSODEG00000009355	Octodon_degus
ENSCPOP00000029711	ENSCPOG00000036808	Cavia_porcellus
ENSCAPP00000017609	ENSCAPG00000017221	Cavia_aperea
ENSHGLP00100021572	ENSHGLG00100015878	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000002330	ENSHGLG00000001770	Heterocephalus_glaber_HetGla_female_1.0
