ENSEEEP00000045763	ENSEEEG00000021576	Electrophorus_electricus
ENSLCOP00000013415	ENSLCOG00000009682	Lepidothrix_coronata
ENSORLP00015014143	ENSORLG00015015074	Oryzias_latipes_ASM223469v1
ENSGAGP00000002298	ENSGAGG00000001880	Gopherus_agassizii
ENSMUNP00000002485	ENSMUNG00000002198	Melopsittacus_undulatus
ENSSMRP00000015536	ENSSMRG00000012080	Salvator_merianae
ENSPRNP00000028463	ENSPRNG00000014183	Parambassis_ranga
ENSLSDP00000000902	ENSLSDG00000000728	Lonchura_striata_domestica
ENSNMEP00000012374	ENSNMEG00000011468	Numida_meleagris
ENSGWIP00000025428	ENSGWIG00000013418	Gouania_willdenowi
ENSSDUP00000017334	ENSSDUG00000012662	Seriola_dumerili
ENSORLP00000040342	ENSORLG00000026657	Oryzias_latipes_ASM223467v1
ENSAHAP00000012017	ENSAHAG00000008693	Apteryx_haastii
ENSDNVP00000012486	ENSDNVG00000008822	Dromaius_novaehollandiae
ENSCJPP00005005193	ENSCJPG00005005019	Coturnix_japonica
ENSLCAP00010027511	ENSLCAG00010012935	Lates_calcarifer	ENSLCAT00010028110
ENSOMEP00000013020	ENSOMEG00000014468	Oryzias_melastigma
ENSXCOP00000017512	ENSXCOG00000013200	Xiphophorus_couchianus
ENSNPEP00000012783	ENSNPEG00000009549	Nothoprocta_perdicaria
ENSABRP00000014821	ENSABRG00000013064	Anser_brachyrhynchus
ENSXMAP00000028596	ENSXMAG00000025562	Xiphophorus_maculatus
ENSACIP00000005643	ENSACIG00000004459	Amphilophus_citrinellus
ENSPMGP00000010943	ENSPMGG00000009074	Periophthalmus_magnuspinnatus
