ENSVVUP00000029069	ENSVVUG00000020620	Vulpes_vulpes
ENSDCDP00000015698	ENSDCDG00000004626	Denticeps_clupeoides	ENSDCDT00000022038
ENSTNIP00000021733	ENSTNIG00000018559	Tetraodon_nigroviridis
ENSHGLP00100012991	ENSHGLG00100009621	Heterocephalus_glaber_HetGla_1.0
ENSHHUP00000075218	ENSHHUG00000043864	Hucho_hucho
ENSXETP00000053473	ENSXETG00000017836	Xenopus_tropicalis
ENSODEP00000015919	ENSODEG00000011730	Octodon_degus
ENSAMXP00005024287	ENSAMXG00005004505	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCPBP00000032388	ENSCPBG00000022710	Chrysemys_picta_bellii
ENSCAFP00020011226	ENSCAFG00020008048	Canis_lupus_dingo
ENSGACP00000013123	ENSGACG00000009926	Gasterosteus_aculeatus
ENSPCAP00000013459	ENSPCAG00000014289	Procavia_capensis
ENSSFOP00015037380	ENSSFOG00015023784	Scleropages_formosus
ENSMUSP00000085016	ENSMUSG00000038146	Mus_musculus_strain_reference_(CL57BL6)
ENSBSLP00000021763	ENSBSLG00000009150	Betta_splendens
ENSFCAP00000000849	ENSFCAG00000000914	Felis_catus
ENSEBUP00000022196	ENSEBUG00000013679	Eptatretus_burgeri
ENSCCAP00000039123	ENSCCAG00000037400	Cebus_capucinus_imitator
ENSCSEP00000011544	ENSCSEG00000007432	Cynoglossus_semilaevis
ENSSDAP00000010823	ENSSDAG00000009744	Spermophilus_dauricus
ENSCVAP00000010640	ENSCVAG00000012928	Cyprinodon_variegatus
ENSSBOP00000015946	ENSSBOG00000024679	Saimiri_boliviensis_boliviensis
ENSRROP00000042185	ENSRROG00000044242	Rhinopithecus_roxellana
ENSARWP00000017745	ENSARWG00000012133	Apteryx_rowi
ENSFHEP00000000732	ENSFHEG00000001455	Fundulus_heteroclitus
ENSRBIP00000040499	ENSRBIG00000043663	Rhinopithecus_bieti
ENSORLP00020022853	ENSORLG00020003456	Oryzias_latipes_ASM223471v1
ENSHBUP00000034611	ENSHBUG00000022285	Haplochromis_burtoni
ENSPLAP00000017368	ENSPLAG00000000464	Poecilia_latipinna
ENSNPEP00000014413	ENSNPEG00000010794	Nothoprocta_perdicaria
ENSPVIP00000019900	ENSPVIG00000014874	Pogona_vitticeps
ENSPTIP00000005755	ENSPTIG00000007860	Panthera_tigris_altaica
ENSLBEP00000028516	ENSLBEG00000021505	Labrus_bergylta
ENSACIP00000009066	ENSACIG00000007092	Amphilophus_citrinellus
ENSMLUP00000004411	ENSMLUG00000004827	Myotis_lucifugus
ENSIPUP00000008357	ENSIPUG00000005680	Ictalurus_punctatus
ENSMICP00000012977	ENSMICG00000014208	Microcebus_murinus
ENSCPOP00000016148	ENSCPOG00000022014	Cavia_porcellus
ENSPNYP00000019023	ENSPNYG00000014320	Pundamilia_nyererei
ENSHHUP00000017614	ENSHHUG00000010970	Hucho_hucho
ENSACAP00000016977	ENSACAG00000017220	Anolis_carolinensis
ENSCJAP00000003877	ENSCJAG00000002121	Callithrix_jacchus
ENSAMEP00000002563	ENSAMEG00000002344	Ailuropoda_melanoleuca
ENSOGAP00000005979	ENSOGAG00000006680	Otolemur_garnettii
ENSAOWP00000004933	ENSAOWG00000003422	Apteryx_owenii
ENSPTEP00000038326	ENSPTEG00000035648	Piliocolobus_tephrosceles
ENSPKIP00000036755	ENSPKIG00000015156	Paramormyrops_kingsleyae
ENSOANP00000029464	ENSOANG00000029637	Ornithorhynchus_anatinus
ENSNVIP00000014791	ENSNVIG00000011559	Neovison_vison
ENSECAP00000019330	ENSECAG00000021331	Equus_caballus
MGP_SPRETEiJ_P0045794	MGP_SPRETEiJ_G0022291	Mus_spretus_strain_SPRET/EiJ
ENSPREP00000008958	ENSPREG00000006129	Poecilia_reticulata
ENSPTRP00000018116	ENSPTRG00000010617	Pan_troglodytes
ENSBIXP00005036322	ENSBIXG00005018312	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMOCP00000001786	ENSMOCG00000001344	Microtus_ochrogaster
ENSGAFP00000023119	ENSGAFG00000015603	Gambusia_affinis
ENSSMRP00000006408	ENSSMRG00000005174	Salvator_merianae
ENSCHIP00000017102	ENSCHIG00000016952	Capra_hircus
ENSSPUP00000001375	ENSSPUG00000000802	Sphenodon_punctatus
ENSANAP00000006119	ENSANAG00000021084	Aotus_nancymaae
ENSACLP00000029643	ENSACLG00000019952	Astatotilapia_calliptera
ENSMPUP00000015983	ENSMPUG00000016090	Mustela_putorius_furo
ENSPFOP00000002712	ENSPFOG00000002047	Poecilia_formosa
ENSCAFP00000023739	ENSCAFG00000016107	Canis_lupus_familiaris
ENSMLEP00000012677	ENSMLEG00000030516	Mandrillus_leucophaeus
ENSCAPP00000000027	ENSCAPG00000000021	Cavia_aperea
ENSMAUP00000025405	ENSMAUG00000021946	Mesocricetus_auratus
ENSCSEP00000031901	ENSCSEG00000020458	Cynoglossus_semilaevis
ENSPMGP00000001223	ENSPMGG00000001080	Periophthalmus_magnuspinnatus
ENSBTAP00000053357	ENSBTAG00000043971	Bos_taurus
ENSETEP00000014066	ENSETEG00000017322	Echinops_telfairi
MGP_PahariEiJ_P0043446	MGP_PahariEiJ_G0020384	Mus_pahari_strain_PAHARI_EIJ
ENSPPAP00000003870	ENSPPAG00000016297	Pan_paniscus
ENSHHUP00000052578	ENSHHUG00000031464	Hucho_hucho
ENSEEEP00000045739	ENSEEEG00000021564	Electrophorus_electricus
ENSOPRP00000013658	ENSOPRG00000014896	Ochotona_princeps
ENSOMEP00000000075	ENSOMEG00000023936	Oryzias_melastigma
ENSSSCP00000021312	ENSSSCG00000025176	Sus_scrofa_strain_reference
ENSEEEP00000045732	ENSEEEG00000021559	Electrophorus_electricus	ENSEEET00000046239
ENSNBRP00000010371	ENSNBRG00000007991	Neolamprologus_brichardi
ENSEEEP00000045734	ENSEEEG00000021562	Electrophorus_electricus
ENSPSMP00000013127	ENSPSMG00000009419	Prolemur_simus
ENSEEEP00000045737	ENSEEEG00000021563	Electrophorus_electricus	ENSEEET00000046244
ENSHCOP00000013772	ENSHCOG00000017134	Hippocampus_comes
ENSSLDP00000017893	ENSSLDG00000014049	Seriola_lalandi_dorsalis
ENSECRP00000032965	ENSECRG00000022132	Erpetoichthys_calabaricus
ENSTGEP00000010191	ENSTGEG00000008360	Theropithecus_gelada
ENSLCRP00005031629	ENSLCRG00005006347	Larimichthys_crocea
ENSSMAP00000005857	ENSSMAG00000003624	Scophthalmus_maximus
ENSORLP00000044639	ENSORLG00000005980	Oryzias_latipes_ASM223467v1
ENSMUGP00000023961	ENSMUGG00000019973	Meriones_unguiculatus
ENSJJAP00000008627	ENSJJAG00000012676	Jaculus_jaculus
ENSKMAP00000021576	ENSKMAG00000015986	Kryptolebias_marmoratus
ENSOCUP00000024440	ENSOCUG00000022014	Oryctolagus_cuniculus
ENSPRNP00000041587	ENSPRNG00000013395	Parambassis_ranga
ENSGWIP00000042909	ENSGWIG00000021017	Gouania_willdenowi
ENSMNEP00000020785	ENSMNEG00000034126	Macaca_nemestrina
ENSEEEP00000045742	ENSEEEG00000021565	Electrophorus_electricus
ENSVURP00010032604	ENSVURG00010024859	Vombatus_ursinus
ENSPMEP00000010133	ENSPMEG00000012044	Poecilia_mexicana
ENSBBBP00000024059	ENSBBBG00000018967	Bison_bison_bison
ENSMAMP00000019106	ENSMAMG00000012868	Mastacembelus_armatus
ENSONIP00000002063	ENSONIG00000001645	Oreochromis_niloticus
ENSNLEP00000048817	ENSNLEG00000031319	Nomascus_leucogenys
ENSXMAP00000002399	ENSXMAG00000002362	Xiphophorus_maculatus
ENSPTEP00000000239	ENSPTEG00000000295	Piliocolobus_tephrosceles
ENSMFAP00000040874	ENSMFAG00000041096	Macaca_fascicularis
ENSMMUP00000017928	ENSMMUG00000013637	Macaca_mulatta
ENSCGRP00015010817	ENSCGRG00015008290	Cricetulus_griseus_CriGri-PICR
ENSEBUP00000027722	ENSEBUG00000016963	Eptatretus_burgeri
ENSNSUP00000025056	ENSNSUG00000018062	Notechis_scutatus
ENSCHAP00000047167	ENSCHAG00000018234	Clupea_harengus
ENSUMAP00000004362	ENSUMAG00000002388	Ursus_maritimus
ENSATEP00000031188	ENSATEG00000021480	Anabas_testudineus
ENSFDAP00000005542	ENSFDAG00000006368	Fukomys_damarensis
