ENSCHAP00000046350	ENSCHAG00000021461	Clupea_harengus	ENSCHAT00000050099
ENSDCDP00000001510	ENSDCDG00000000810	Denticeps_clupeoides	ENSDCDT00000001639
ENSIPUP00000009697	ENSIPUG00000006635	Ictalurus_punctatus
ENSEEEP00000011857	ENSEEEG00000005973	Electrophorus_electricus
ENSAMXP00005024973	ENSAMXG00005012665	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000047091	ENSAMXG00000042711	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000015835	ENSPNAG00000021910	Pygocentrus_nattereri
ENSDARP00000071206	ENSDARG00000054539	Danio_rerio
ENSHHUP00000082468	ENSHHUG00000047920	Hucho_hucho
ENSHHUP00000002888	ENSHHUG00000001838	Hucho_hucho
ENSELUP00000001955	ENSELUG00000003357	Esox_lucius
ENSLCRP00005031478	ENSLCRG00005012482	Larimichthys_crocea
ENSLBEP00000002183	ENSLBEG00000001726	Labrus_bergylta
ENSCGOP00000024148	ENSCGOG00000011499	Cottoperca_gobio
ENSLCAP00010023897	ENSLCAG00010011220	Lates_calcarifer
ENSLCAP00010058552	ENSLCAG00010027309	Lates_calcarifer
ENSLCAP00010013732	ENSLCAG00010006532	Lates_calcarifer
ENSSMAP00000009692	ENSSMAG00000005966	Scophthalmus_maximus
ENSSDUP00000008647	ENSSDUG00000006345	Seriola_dumerili
ENSSLDP00000004892	ENSSLDG00000003863	Seriola_lalandi_dorsalis
ENSMAMP00000023383	ENSMAMG00000015739	Mastacembelus_armatus
ENSMALP00000021433	ENSMALG00000014994	Monopterus_albus
ENSATEP00000002247	ENSATEG00000001606	Anabas_testudineus
ENSBSLP00000020401	ENSBSLG00000010441	Betta_splendens
ENSAOCP00000016595	ENSAOCG00000021544	Amphiprion_ocellaris
ENSAPEP00000007836	ENSAPEG00000005652	Amphiprion_percula
ENSSPAP00000010972	ENSSPAG00000008348	Stegastes_partitus
ENSAPOP00000015987	ENSAPOG00000019080	Acanthochromis_polyacanthus
ENSPRNP00000007310	ENSPRNG00000004340	Parambassis_ranga
ENSXCOP00000000837	ENSXCOG00000000703	Xiphophorus_couchianus
ENSXMAP00000001535	ENSXMAG00000001533	Xiphophorus_maculatus
ENSPFOP00000009630	ENSPFOG00000009619	Poecilia_formosa
ENSPLAP00000016989	ENSPLAG00000021317	Poecilia_latipinna
ENSPMEP00000012183	ENSPMEG00000014341	Poecilia_mexicana
ENSPREP00000007204	ENSPREG00000004946	Poecilia_reticulata
ENSGAFP00000005234	ENSGAFG00000003551	Gambusia_affinis
ENSFHEP00000017705	ENSFHEG00000019478	Fundulus_heteroclitus
ENSCVAP00000005766	ENSCVAG00000007207	Cyprinodon_variegatus
ENSKMAP00000015861	ENSKMAG00000011841	Kryptolebias_marmoratus
ENSGWIP00000026910	ENSGWIG00000014110	Gouania_willdenowi
ENSACLP00000016097	ENSACLG00000010986	Astatotilapia_calliptera
ENSHBUP00000033301	ENSHBUG00000020124	Haplochromis_burtoni
ENSMZEP00005028070	ENSMZEG00005020945	Maylandia_zebra
ENSPNYP00000007090	ENSPNYG00000005437	Pundamilia_nyererei
ENSNBRP00000030783	ENSNBRG00000023412	Neolamprologus_brichardi
ENSONIP00000022615	ENSONIG00000017944	Oreochromis_niloticus
ENSACIP00000007823	ENSACIG00000006133	Amphilophus_citrinellus
ENSMMOP00000016764	ENSMMOG00000012769	Mola_mola
ENSCSEP00000006784	ENSCSEG00000004387	Cynoglossus_semilaevis
ENSTNIP00000016841	ENSTNIG00000013837	Tetraodon_nigroviridis
ENSTRUP00000053051	ENSTRUG00000024306	Takifugu_rubripes
ENSGACP00000025384	ENSGACG00000019201	Gasterosteus_aculeatus
ENSORLP00020006842	ENSORLG00020000164	Oryzias_latipes_ASM223471v1
ENSORLP00000033624	ENSORLG00000007300	Oryzias_latipes_ASM223467v1
ENSOMEP00000013325	ENSOMEG00000014804	Oryzias_melastigma
ENSHCOP00000022642	ENSHCOG00000010524	Hippocampus_comes
ENSPMGP00000023176	ENSPMGG00000018758	Periophthalmus_magnuspinnatus
ENSGMOP00000017065	ENSGMOG00000015909	Gadus_morhua
ENSPKIP00000023695	ENSPKIG00000007221	Paramormyrops_kingsleyae
ENSSFOP00015010066	ENSSFOG00015006548	Scleropages_formosus
ENSECRP00000007382	ENSECRG00000004931	Erpetoichthys_calabaricus
ENSOCUP00000014078	ENSOCUG00000016380	Oryctolagus_cuniculus
ENSOPRP00000000960	ENSOPRG00000001050	Ochotona_princeps
ENSPTRP00000078350	ENSPTRG00000006149	Pan_troglodytes
ENSPPAP00000012501	ENSPPAG00000029431	Pan_paniscus
ENSP00000352601	ENSG00000197324	Homo_sapiens
ENSGGOP00000039116	ENSGGOG00000015695	Gorilla_gorilla
ENSPPYP00000006417	ENSPPYG00000005647	Pongo_abelii
ENSNLEP00000017975	ENSNLEG00000014773	Nomascus_leucogenys
ENSCANP00000031885	ENSCANG00000039600	Colobus_angolensis_palliatus
ENSPTEP00000019116	ENSPTEG00000020493	Piliocolobus_tephrosceles
ENSRROP00000044242	ENSRROG00000045101	Rhinopithecus_roxellana
ENSRBIP00000012691	ENSRBIG00000030290	Rhinopithecus_bieti
ENSMMUP00000021179	ENSMMUG00000016100	Macaca_mulatta
ENSMNEP00000032309	ENSMNEG00000039487	Macaca_nemestrina
ENSMFAP00000008099	ENSMFAG00000040578	Macaca_fascicularis
ENSTGEP00000022544	ENSTGEG00000018242	Theropithecus_gelada
ENSPANP00000029178	ENSPANG00000003911	Papio_anubis
ENSMLEP00000038124	ENSMLEG00000043127	Mandrillus_leucophaeus
ENSCATP00000038635	ENSCATG00000041990	Cercocebus_atys
ENSCSAP00000012301	ENSCSAG00000016235	Chlorocebus_sabaeus
ENSCCAP00000029796	ENSCCAG00000032914	Cebus_capucinus_imitator
ENSSBOP00000035489	ENSSBOG00000033889	Saimiri_boliviensis_boliviensis
ENSCJAP00000015724	ENSCJAG00000008522	Callithrix_jacchus
ENSANAP00000023137	ENSANAG00000029303	Aotus_nancymaae
ENSTSYP00000005599	ENSTSYG00000006119	Carlito_syrichta
ENSPCOP00000017841	ENSPCOG00000020765	Propithecus_coquereli
ENSMICP00000005798	ENSMICG00000006358	Microcebus_murinus
ENSPSMP00000006830	ENSPSMG00000005091	Prolemur_simus
ENSOGAP00000004551	ENSOGAG00000005090	Otolemur_garnettii
ENSCPOP00000013061	ENSCPOG00000014495	Cavia_porcellus
ENSCAPP00000001842	ENSCAPG00000003903	Cavia_aperea
ENSODEP00000002074	ENSODEG00000001621	Octodon_degus
ENSCLAP00000015253	ENSCLAG00000010502	Chinchilla_lanigera
ENSHGLP00100007790	ENSHGLG00100005805	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000004295	ENSHGLG00000003141	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000021851	ENSFDAG00000007407	Fukomys_damarensis
ENSSTOP00000021238	ENSSTOG00000010323	Ictidomys_tridecemlineatus
ENSUPAP00010014047	ENSUPAG00010011283	Urocitellus_parryii
ENSSDAP00000008800	ENSSDAG00000008022	Spermophilus_dauricus
ENSMMMP00000015463	ENSMMMG00000013796	Marmota_marmota_marmota
ENSCCNP00000026496	ENSCCNG00000025709	Castor_canadensis
ENSDORP00000004606	ENSDORG00000004922	Dipodomys_ordii
ENSMUSP00000022782	ENSMUSG00000022175	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000019114	ENSMSIG00000016275	Mus_spicilegus
MGP_SPRETEiJ_P0038392	MGP_SPRETEiJ_G0020146	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0036673	MGP_CAROLIEiJ_G0019256	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0084787	MGP_PahariEiJ_G0030275	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000015468	ENSRNOG00000011592	Rattus_norvegicus
ENSMUGP00000012528	ENSMUGG00000010883	Meriones_unguiculatus
ENSCGRP00000011293	ENSCGRG00000008218	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001006642	ENSCGRG00001009012	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015026717	ENSCGRG00015020240	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000013398	ENSMAUG00000013461	Mesocricetus_auratus
ENSMOCP00000006952	ENSMOCG00000006687	Microtus_ochrogaster
ENSPEMP00000013793	ENSPEMG00000013768	Peromyscus_maniculatus_bairdii
ENSNGAP00000001946	ENSNGAG00000001455	Nannospalax_galili
ENSJJAP00000005413	ENSJJAG00000010353	Jaculus_jaculus
ENSTBEP00000009740	ENSTBEG00000011273	Tupaia_belangeri
ENSUAMP00000010364	ENSUAMG00000008522	Ursus_americanus
ENSAMEP00000007681	ENSAMEG00000007296	Ailuropoda_melanoleuca
ENSNVIP00000026807	ENSNVIG00000020742	Neovison_vison
ENSMPUP00000007143	ENSMPUG00000007201	Mustela_putorius_furo
ENSCAFP00020009545	ENSCAFG00020007743	Canis_lupus_dingo
ENSVVUP00000026939	ENSVVUG00000019801	Vulpes_vulpes
ENSPTIP00000023211	ENSPTIG00000019760	Panthera_tigris_altaica
ENSPPRP00000000935	ENSPPRG00000024480	Panthera_pardus
ENSFCAP00000006158	ENSFCAG00000006628	Felis_catus
ENSCHIP00000001830	ENSCHIG00000003799	Capra_hircus
ENSOARP00000020848	ENSOARG00000019406	Ovis_aries
ENSBIXP00000019633	ENSBIXG00000007487	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005021528	ENSBIXG00005024520	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000021782	ENSBTAG00000016378	Bos_taurus
ENSBMUP00000024980	ENSBMUG00000018763	Bos_mutus
ENSBBBP00000027578	ENSBBBG00000000301	Bison_bison_bison
ENSTTRP00000001413	ENSTTRG00000001498	Tursiops_truncatus
ENSSSCP00000048069	ENSSSCG00000034465	Sus_scrofa_strain_reference
ENSEASP00005016861	ENSEASG00005011693	Equus_asinus_asinus
ENSECAP00000020462	ENSECAG00000022955	Equus_caballus
ENSPVAP00000012998	ENSPVAG00000013783	Pteropus_vampyrus
ENSMLUP00000011752	ENSMLUG00000012915	Myotis_lucifugus
ENSEEUP00000003574	ENSEEUG00000003930	Erinaceus_europaeus
ENSSARP00000004633	ENSSARG00000005117	Sorex_araneus
ENSLAFP00000025996	ENSLAFG00000028518	Loxodonta_africana
ENSPCAP00000006125	ENSPCAG00000006594	Procavia_capensis
ENSETEP00000004429	ENSETEG00000005445	Echinops_telfairi
ENSDNOP00000022558	ENSDNOG00000045291	Dasypus_novemcinctus
ENSPCIP00000037719	ENSPCIG00000027775	Phascolarctos_cinereus
ENSVURP00010026814	ENSVURG00010020541	Vombatus_ursinus
ENSMEUP00000010968	ENSMEUG00000012047	Notamacropus_eugenii
ENSMODP00000006446	ENSMODG00000005233	Monodelphis_domestica
ENSSHAP00000014970	ENSSHAG00000012773	Sarcophilus_harrisii
ENSOANP00000006192	ENSOANG00000003912	Ornithorhynchus_anatinus
ENSACAP00000001406	ENSACAG00000001476	Anolis_carolinensis
ENSPVIP00000017695	ENSPVIG00000013576	Pogona_vitticeps
ENSSMRP00000005621	ENSSMRG00000004554	Salvator_merianae
ENSSPUP00000000626	ENSSPUG00000000532	Sphenodon_punctatus
ENSXETP00000030312	ENSXETG00000007019	Xenopus_tropicalis
ENSLACP00000019130	ENSLACG00000016831	Latimeria_chalumnae
