ENSCJAP00000025619	ENSCJAG00000013870	Callithrix_jacchus
ENSODEP00000013269	ENSODEG00000009821	Octodon_degus
ENSMNEP00000026362	ENSMNEG00000036554	Macaca_nemestrina
ENSKMAP00000008371	ENSKMAG00000006266	Kryptolebias_marmoratus
ENSOCUP00000005707	ENSOCUG00000006604	Oryctolagus_cuniculus
ENSLCAP00010037445	ENSLCAG00010017500	Lates_calcarifer
ENSZALP00000009370	ENSZALG00000008083	Zonotrichia_albicollis
ENSCABP00000012771	ENSCABG00000009563	Chelonoidis_abingdonii
ENSAOWP00000025833	ENSAOWG00000017453	Apteryx_owenii
ENSHGLP00100015485	ENSHGLG00100011438	Heterocephalus_glaber_HetGla_1.0
ENSUAMP00000033812	ENSUAMG00000025752	Ursus_americanus
ENSPFOP00000007760	ENSPFOG00000007747	Poecilia_formosa
ENSMICP00000001961	ENSMICG00000002141	Microcebus_murinus
ENSCGRP00001008698	ENSCGRG00001010929	Cricetulus_griseus_CHOK1GS_HDv1
MGP_CAROLIEiJ_P0081378	MGP_CAROLIEiJ_G0030239	Mus_caroli_strain_CAROLI_EIJ
ENSPTIP00000014287	ENSPTIG00000013760	Panthera_tigris_altaica
ENSPPAP00000024123	ENSPPAG00000035179	Pan_paniscus
ENSLSDP00000012646	ENSLSDG00000009235	Lonchura_striata_domestica
ENSMUSP00000033184	ENSMUSG00000030894	Mus_musculus_strain_reference_(CL57BL6)
ENSPLAP00000026867	ENSPLAG00000015036	Poecilia_latipinna
ENSCAFP00020012064	ENSCAFG00020009702	Canis_lupus_dingo
ENSMFAP00000020985	ENSMFAG00000033375	Macaca_fascicularis
ENSCSEP00000002383	ENSCSEG00000001596	Cynoglossus_semilaevis	ENSCSET00000002423
ENSMAUP00000004373	ENSMAUG00000005575	Mesocricetus_auratus
ENSGACP00000011307	ENSGACG00000008542	Gasterosteus_aculeatus
ENSBMUP00000016931	ENSBMUG00000012829	Bos_mutus
ENSPANP00000001918	ENSPANG00000015782	Papio_anubis
ENSIPUP00000031407	ENSIPUG00000021135	Ictalurus_punctatus
ENSUMAP00000000388	ENSUMAG00000000517	Ursus_maritimus
ENSMLUP00000009134	ENSMLUG00000010016	Myotis_lucifugus
ENSPCOP00000024046	ENSPCOG00000024177	Propithecus_coquereli
ENSAHAP00000023527	ENSAHAG00000016448	Apteryx_haastii
ENSGWIP00000046353	ENSGWIG00000022909	Gouania_willdenowi
ENSHHUP00000084970	ENSHHUG00000049140	Hucho_hucho
ENSCGRP00015016649	ENSCGRG00015012809	Cricetulus_griseus_CriGri-PICR
ENSRBIP00000016934	ENSRBIG00000032478	Rhinopithecus_bieti
ENSSPAP00000017440	ENSSPAG00000013138	Stegastes_partitus
ENSAMXP00005036005	ENSAMXG00005017214	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSXCOP00000009939	ENSXCOG00000007539	Xiphophorus_couchianus
ENSCCAP00000038201	ENSCCAG00000036940	Cebus_capucinus_imitator
ENSSBOP00000008574	ENSSBOG00000021190	Saimiri_boliviensis_boliviensis
ENSMZEP00005009598	ENSMZEG00005007245	Maylandia_zebra
ENSSFOP00015029327	ENSSFOG00015018856	Scleropages_formosus
ENSTGEP00000024532	ENSTGEG00000019812	Theropithecus_gelada
ENSMAMP00000002213	ENSMAMG00000001541	Mastacembelus_armatus	ENSMAMT00000002260
ENSACIP00000031105	ENSACIG00000024045	Amphilophus_citrinellus
ENSUPAP00010009021	ENSUPAG00010007294	Urocitellus_parryii
ENSORLP00020027228	ENSORLG00020010117	Oryzias_latipes_ASM223471v1
ENSRROP00000034578	ENSRROG00000040815	Rhinopithecus_roxellana
ENSDORP00000000487	ENSDORG00000000521	Dipodomys_ordii
ENSLCAP00010053652	ENSLCAG00010024900	Lates_calcarifer
ENSAPLP00000016739	ENSAPLG00000017513	Anas_platyrhynchos_platyrhynchos
ENSBSLP00000051207	ENSBSLG00000024210	Betta_splendens	ENSBSLT00000056148
ENSPNAP00000012405	ENSPNAG00000018187	Pygocentrus_nattereri
ENSMMUP00000010183	ENSMMUG00000007745	Macaca_mulatta
ENSFCAP00000014271	ENSFCAG00000015392	Felis_catus
ENSGALP00000046475	ENSGALG00000029731	Gallus_gallus
ENSSSCP00000020170	ENSSSCG00000023080	Sus_scrofa_strain_reference
ENSHCOP00000025311	ENSHCOG00000015390	Hippocampus_comes
ENSPVAP00000002289	ENSPVAG00000002423	Pteropus_vampyrus
ENSSCAP00000004565	ENSSCAG00000003716	Serinus_canaria
ENSELUP00000016632	ENSELUG00000016414	Esox_lucius
ENSSTOP00000010446	ENSSTOG00000011638	Ictidomys_tridecemlineatus
ENSMODP00000023163	ENSMODG00000018566	Monodelphis_domestica
ENSMOCP00000021387	ENSMOCG00000018766	Microtus_ochrogaster
ENSCANP00000016895	ENSCANG00000031868	Colobus_angolensis_palliatus
ENSPTRP00000005774	ENSPTRG00000003299	Pan_troglodytes
ENSOGAP00000006439	ENSOGAG00000007194	Otolemur_garnettii
ENSPPRP00000000604	ENSPPRG00000024708	Panthera_pardus
ENSABRP00000001304	ENSABRG00000001354	Anser_brachyrhynchus
ENSAOCP00000026907	ENSAOCG00000015482	Amphiprion_ocellaris
ENSCGRP00000009922	ENSCGRG00000007262	Cricetulus_griseus_CriGri_1.0
ENSP00000299427	ENSG00000166340	Homo_sapiens
ENSMALP00000013659	ENSMALG00000009658	Monopterus_albus	ENSMALT00000013952
ENSGAGP00000021621	ENSGAGG00000015863	Gopherus_agassizii
ENSNPEP00000016387	ENSNPEG00000012210	Nothoprocta_perdicaria
ENSLAFP00000022551	ENSLAFG00000031815	Loxodonta_africana
ENSMMMP00000017530	ENSMMMG00000015567	Marmota_marmota_marmota
ENSPKIP00000007422	ENSPKIG00000023305	Paramormyrops_kingsleyae
ENSTTRP00000004617	ENSTTRG00000004896	Tursiops_truncatus
ENSSPUP00000018231	ENSSPUG00000014054	Sphenodon_punctatus
ENSMUGP00000006403	ENSMUGG00000005905	Meriones_unguiculatus
ENSHBUP00000021076	ENSHBUG00000023374	Haplochromis_burtoni
ENSSMAP00000002162	ENSSMAG00000001338	Scophthalmus_maximus	ENSSMAT00000002202
ENSPEMP00000021138	ENSPEMG00000018870	Peromyscus_maniculatus_bairdii
ENSCHAP00000049397	ENSCHAG00000022248	Clupea_harengus
ENSPCIP00000035871	ENSPCIG00000026275	Phascolarctos_cinereus
ENSECAP00000006230	ENSECAG00000007829	Equus_caballus
ENSLBEP00000036084	ENSLBEG00000027033	Labrus_bergylta
ENSCPBP00000001011	ENSCPBG00000000812	Chrysemys_picta_bellii
ENSPPYP00000004053	ENSPPYG00000003535	Pongo_abelii
MGP_SPRETEiJ_P0084759	MGP_SPRETEiJ_G0031351	Mus_spretus_strain_SPRET/EiJ
ENSBTAP00000062713	ENSBTAG00000015403	Bos_taurus
ENSSLDP00000007822	ENSSLDG00000006195	Seriola_lalandi_dorsalis
ENSDARP00000124672	ENSDARG00000042793	Danio_rerio
ENSCPGP00000022352	ENSCPGG00000015527	Calidris_pygmaea
ENSOANP00000005134	ENSOANG00000003237	Ornithorhynchus_anatinus
ENSCSAP00000000697	ENSCSAG00000004358	Chlorocebus_sabaeus
ENSDNVP00000020144	ENSDNVG00000014097	Dromaius_novaehollandiae
ENSMMOP00000015781	ENSMMOG00000012044	Mola_mola
ENSBBBP00000006675	ENSBBBG00000000805	Bison_bison_bison
ENSPSMP00000034697	ENSPSMG00000023816	Prolemur_simus
ENSCJPP00005005636	ENSCJPG00005005361	Coturnix_japonica
ENSCAFP00000009732	ENSCAFG00000006502	Canis_lupus_familiaris
ENSACLP00000029566	ENSACLG00000019993	Astatotilapia_calliptera
ENSCGRP00001021759	ENSCGRG00001020504	Cricetulus_griseus_CHOK1GS_HDv1
ENSNSUP00000009477	ENSNSUG00000007248	Notechis_scutatus
ENSVURP00010006051	ENSVURG00010004695	Vombatus_ursinus
ENSFALP00000008567	ENSFALG00000008214	Ficedula_albicollis
ENSGAFP00000005766	ENSGAFG00000003905	Gambusia_affinis
ENSECRP00000026873	ENSECRG00000018168	Erpetoichthys_calabaricus
ENSARWP00000002754	ENSARWG00000002069	Apteryx_rowi
ENSOARP00000018226	ENSOARG00000016970	Ovis_aries
ENSMUNP00000002561	ENSMUNG00000002249	Melopsittacus_undulatus
ENSNBRP00000012626	ENSNBRG00000009853	Neolamprologus_brichardi
ENSLACP00000007916	ENSLACG00000007006	Latimeria_chalumnae
ENSMLEP00000026989	ENSMLEG00000037652	Mandrillus_leucophaeus
ENSSDAP00000022795	ENSSDAG00000020706	Spermophilus_dauricus
ENSEASP00005004031	ENSEASG00005002355	Equus_asinus_asinus
ENSTSYP00000017188	ENSTSYG00000028315	Carlito_syrichta
ENSCGOP00000010554	ENSCGOG00000005282	Cottoperca_gobio
ENSDNOP00000000621	ENSDNOG00000000820	Dasypus_novemcinctus
ENSCPGP00000022345	ENSCPGG00000015523	Calidris_pygmaea
ENSCPOP00000011274	ENSCPOG00000012530	Cavia_porcellus
ENSMEUP00000007508	ENSMEUG00000008220	Notamacropus_eugenii
ENSPVIP00000028959	ENSPVIG00000021401	Pogona_vitticeps
ENSPRNP00000028026	ENSPRNG00000014001	Parambassis_ranga
ENSHGLP00000005174	ENSHGLG00000003787	Heterocephalus_glaber_HetGla_female_1.0
ENSTRUP00000055386	ENSTRUG00000022155	Takifugu_rubripes
ENSPTEP00000042828	ENSPTEG00000039088	Piliocolobus_tephrosceles
ENSMGAP00000016213	ENSMGAG00000015276	Meleagris_gallopavo
ENSPMJP00000006806	ENSPMJG00000005682	Parus_major
ENSPMAP00000006499	ENSPMAG00000005891	Petromyzon_marinus
ENSPNYP00000029019	ENSPNYG00000021841	Pundamilia_nyererei
ENSORLP00015027030	ENSORLG00015008939	Oryzias_latipes_ASM223469v1
ENSDCDP00000043235	ENSDCDG00000027221	Denticeps_clupeoides
ENSAPOP00000029667	ENSAPOG00000015750	Acanthochromis_polyacanthus
ENSSHAP00000011078	ENSSHAG00000009541	Sarcophilus_harrisii
ENSOMEP00000005976	ENSOMEG00000007037	Oryzias_melastigma
ENSLCRP00005040362	ENSLCRG00005015360	Larimichthys_crocea
ENSBIXP00000034822	ENSBIXG00000017915	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSTNIP00000020473	ENSTNIG00000017335	Tetraodon_nigroviridis
ENSCLAP00000024102	ENSCLAG00000016546	Chinchilla_lanigera
ENSCATP00000026266	ENSCATG00000036557	Cercocebus_atys
ENSCCEP00000004142	ENSCCEG00000004549	Cyanistes_caeruleus
ENSSMRP00000003693	ENSSMRG00000003113	Salvator_merianae
ENSMPUP00000005439	ENSMPUG00000005480	Mustela_putorius_furo
ENSCPUP00000002879	ENSCPUG00000001345	Calidris_pugnax
ENSTGUP00000000626	ENSTGUG00000000610	Taeniopygia_guttata
ENSVPAP00000009871	ENSVPAG00000010597	Vicugna_pacos
ENSORLP00000019626	ENSORLG00000015670	Oryzias_latipes_ASM223467v1
ENSGGOP00000000393	ENSGGOG00000000398	Gorilla_gorilla
ENSPSIP00000009918	ENSPSIG00000009005	Pelodiscus_sinensis
ENSJHYP00000011835	ENSJHYG00000009238	Junco_hyemalis
ENSPMEP00000007814	ENSPMEG00000009521	Poecilia_mexicana
ENSCAPP00000010029	ENSCAPG00000011370	Cavia_aperea
ENSPSIP00000003291	ENSPSIG00000003156	Pelodiscus_sinensis
ENSPMGP00000022391	ENSPMGG00000018105	Periophthalmus_magnuspinnatus
ENSCGRP00000023912	ENSCGRG00000017325	Cricetulus_griseus_CriGri_1.0
ENSEBUP00000012039	ENSEBUG00000007691	Eptatretus_burgeri
ENSCCNP00000023475	ENSCCNG00000023048	Castor_canadensis
ENSFDAP00000013157	ENSFDAG00000006922	Fukomys_damarensis
ENSPCAP00000015315	ENSPCAG00000016373	Procavia_capensis
ENSATEP00000022254	ENSATEG00000015417	Anabas_testudineus	ENSATET00000022619
ENSMSIP00000033733	ENSMSIG00000028180	Mus_spicilegus
ENSPREP00000023911	ENSPREG00000016044	Poecilia_reticulata
ENSEEEP00000034292	ENSEEEG00000015948	Electrophorus_electricus
ENSAMXP00000013676	ENSAMXG00000013290	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSFCAP00000039912	ENSFCAG00000042596	Felis_catus
ENSOPRP00000007403	ENSOPRG00000008091	Ochotona_princeps
ENSCMIP00000005796	ENSCMIG00000003315	Callorhinchus_milii
ENSTBEP00000000209	ENSTBEG00000000252	Tupaia_belangeri
ENSACAP00000014079	ENSACAG00000014286	Anolis_carolinensis
ENSOANP00000031214	ENSOANG00000031071	Ornithorhynchus_anatinus
ENSRNOP00000026280	ENSRNOG00000019212	Rattus_norvegicus
ENSNLEP00000021195	ENSNLEG00000017460	Nomascus_leucogenys
ENSJJAP00000019236	ENSJJAG00000020232	Jaculus_jaculus
ENSEEUP00000007671	ENSEEUG00000008428	Erinaceus_europaeus
ENSBIXP00005038064	ENSBIXG00005020147	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSNGAP00000001041	ENSNGAG00000000792	Nannospalax_galili
ENSONIP00000025332	ENSONIG00000020109	Oreochromis_niloticus
ENSGMOP00000011693	ENSGMOG00000010936	Gadus_morhua
ENSSDUP00000026717	ENSSDUG00000019341	Seriola_dumerili	ENSSDUT00000027194
ENSNVIP00000002746	ENSNVIG00000002138	Neovison_vison
ENSLOCP00000013942	ENSLOCG00000011342	Lepisosteus_oculatus
MGP_PahariEiJ_P0018190	MGP_PahariEiJ_G0013454	Mus_pahari_strain_PAHARI_EIJ
ENSXMAP00000013461	ENSXMAG00000013417	Xiphophorus_maculatus
ENSLCOP00000014123	ENSLCOG00000010165	Lepidothrix_coronata
