ENSSDAP00000008825	ENSSDAG00000008053	Spermophilus_dauricus	ENSSDAT00000010026
ENSCAPP00000009423	ENSCAPG00000010900	Cavia_aperea	ENSCAPT00000013139
ENSCGRP00000012860	ENSCGRG00000009364	Cricetulus_griseus_CriGri_1.0
ENSMUGP00000013697	ENSMUGG00000011890	Meriones_unguiculatus
ENSOCUP00000021079	ENSOCUG00000022429	Oryctolagus_cuniculus
ENSPCOP00000011643	ENSPCOG00000017348	Propithecus_coquereli
ENSPSMP00000026300	ENSPSMG00000018455	Prolemur_simus
ENSRROP00000012516	ENSRROG00000030563	Rhinopithecus_roxellana
ENSRBIP00000030892	ENSRBIG00000039293	Rhinopithecus_bieti
ENSCANP00000031206	ENSCANG00000039284	Colobus_angolensis_palliatus
ENSMFAP00000043656	ENSMFAG00000039240	Macaca_fascicularis
ENSBTAP00000058815	ENSBTAG00000050832	Bos_taurus
ENSFCAP00000056059	ENSFCAG00000049950	Felis_catus
ENSMEUP00000002509	ENSMEUG00000002747	Notamacropus_eugenii
