ENSCGRP00015026544	ENSCGRG00015020113	Cricetulus_griseus_CriGri-PICR
ENSNGAP00000021639	ENSNGAG00000020767	Nannospalax_galili
ENSCHOP00000007477	ENSCHOG00000008446	Choloepus_hoffmanni
ENSMOCP00000014709	ENSMOCG00000014127	Microtus_ochrogaster
ENSMFAP00000018718	ENSMFAG00000032412	Macaca_fascicularis
ENSCCNP00000025785	ENSCCNG00000025109	Castor_canadensis
ENSTTRP00000001419	ENSTTRG00000001503	Tursiops_truncatus
ENSSARP00000009971	ENSSARG00000011049	Sorex_araneus
ENSSDUP00000008738	ENSSDUG00000006410	Seriola_dumerili
ENSBTAP00000062574	ENSBTAG00000012724	Bos_taurus
ENSXCOP00000000754	ENSXCOG00000000608	Xiphophorus_couchianus
ENSSPAP00000011116	ENSSPAG00000008454	Stegastes_partitus
ENSMEUP00000004872	ENSMEUG00000005332	Notamacropus_eugenii
ENSECAP00000007982	ENSECAG00000009971	Equus_caballus
ENSJJAP00000018459	ENSJJAG00000019727	Jaculus_jaculus
ENSP00000262713	ENSG00000129474	Homo_sapiens
ENSPVAP00000013008	ENSPVAG00000013795	Pteropus_vampyrus
ENSOGAP00000021500	ENSOGAG00000034052	Otolemur_garnettii
ENSOANP00000017000	ENSOANG00000010720	Ornithorhynchus_anatinus
ENSFHEP00000017782	ENSFHEG00000019560	Fundulus_heteroclitus
ENSVPAP00000008641	ENSVPAG00000009279	Vicugna_pacos
ENSCSAP00000012193	ENSCSAG00000016121	Chlorocebus_sabaeus
ENSELUP00000002026	ENSELUG00000003415	Esox_lucius
ENSAMXP00000003957	ENSAMXG00000003875	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000003957
ENSCAPP00000017509	ENSCAPG00000017150	Cavia_aperea
ENSTGEP00000023458	ENSTGEG00000018993	Theropithecus_gelada
ENSCJAP00000015429	ENSCJAG00000008376	Callithrix_jacchus
ENSLCRP00005012354	ENSLCRG00005005449	Larimichthys_crocea
ENSHCOP00000008360	ENSHCOG00000010600	Hippocampus_comes
ENSEEEP00000011773	ENSEEEG00000005914	Electrophorus_electricus
ENSMMUP00000058225	ENSMMUG00000008475	Macaca_mulatta
ENSANAP00000029780	ENSANAG00000032654	Aotus_nancymaae
ENSPNYP00000006969	ENSPNYG00000005341	Pundamilia_nyererei
ENSOARP00000020829	ENSOARG00000019387	Ovis_aries
ENSTSYP00000005342	ENSTSYG00000005841	Carlito_syrichta
ENSCGOP00000026459	ENSCGOG00000012473	Cottoperca_gobio
ENSNLEP00000033243	ENSNLEG00000036289	Nomascus_leucogenys
ENSAMEP00000007847	ENSAMEG00000007445	Ailuropoda_melanoleuca
ENSMAUP00000015472	ENSMAUG00000014919	Mesocricetus_auratus
ENSLCAP00010000291	ENSLCAG00010000204	Lates_calcarifer
ENSPANP00000018017	ENSPANG00000011738	Papio_anubis
ENSIPUP00000009536	ENSIPUG00000006533	Ictalurus_punctatus
ENSTBEP00000010694	ENSTBEG00000012343	Tupaia_belangeri
ENSTNIP00000016844	ENSTNIG00000013840	Tetraodon_nigroviridis
ENSSSCP00000060357	ENSSSCG00000029201	Sus_scrofa_strain_reference
ENSMALP00000021303	ENSMALG00000014901	Monopterus_albus
ENSPRNP00000007318	ENSPRNG00000004344	Parambassis_ranga
ENSORLP00020006688	ENSORLG00020007556	Oryzias_latipes_ASM223471v1
ENSAPOP00000016112	ENSAPOG00000019211	Acanthochromis_polyacanthus
ENSPNAP00000015914	ENSPNAG00000022017	Pygocentrus_nattereri
ENSSTOP00000019353	ENSSTOG00000023817	Ictidomys_tridecemlineatus
ENSHGLP00000006186	ENSHGLG00000004520	Heterocephalus_glaber_HetGla_female_1.0
ENSBIXP00005041770	ENSBIXG00005024958	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSKMAP00000015957	ENSKMAG00000011919	Kryptolebias_marmoratus
ENSCHAP00000046295	ENSCHAG00000021423	Clupea_harengus	ENSCHAT00000050043
ENSAPEP00000007308	ENSAPEG00000005258	Amphiprion_percula
ENSACIP00000007904	ENSACIG00000006180	Amphilophus_citrinellus
ENSHHUP00000002962	ENSHHUG00000001884	Hucho_hucho
ENSPLAP00000017055	ENSPLAG00000021363	Poecilia_latipinna
ENSOMEP00000013512	ENSOMEG00000001012	Oryzias_melastigma
ENSRBIP00000031934	ENSRBIG00000039769	Rhinopithecus_bieti
ENSSLDP00000005094	ENSSLDG00000004032	Seriola_lalandi_dorsalis
ENSPMGP00000023198	ENSPMGG00000018771	Periophthalmus_magnuspinnatus
ENSORLP00000037349	ENSORLG00000007329	Oryzias_latipes_ASM223467v1
ENSUPAP00010013962	ENSUPAG00010011224	Urocitellus_parryii
ENSMMOP00000016773	ENSMMOG00000012776	Mola_mola
ENSFCAP00000006170	ENSFCAG00000006641	Felis_catus
ENSSDAP00000008694	ENSSDAG00000007918	Spermophilus_dauricus
ENSMUSP00000056977	ENSMUSG00000022178	Mus_musculus_strain_reference_(CL57BL6)
ENSPCOP00000009524	ENSPCOG00000016135	Propithecus_coquereli
ENSORLP00015024189	ENSORLG00015000132	Oryzias_latipes_ASM223469v1
ENSCHIP00000031691	ENSCHIG00000025926	Capra_hircus
ENSODEP00000002234	ENSODEG00000001742	Octodon_degus
ENSMAMP00000023299	ENSMAMG00000015677	Mastacembelus_armatus
ENSUAMP00000010395	ENSUAMG00000008548	Ursus_americanus
ENSAMXP00005024335	ENSAMXG00005012409	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSATEP00000002326	ENSATEG00000001635	Anabas_testudineus
ENSPSMP00000008504	ENSPSMG00000006254	Prolemur_simus
ENSGAFP00000005153	ENSGAFG00000003502	Gambusia_affinis
ENSSHAP00000015582	ENSSHAG00000013280	Sarcophilus_harrisii
ENSPTRP00000052777	ENSPTRG00000006154	Pan_troglodytes
ENSTRUP00000021490	ENSTRUG00000008572	Takifugu_rubripes
ENSFDAP00000003934	ENSFDAG00000013256	Fukomys_damarensis
ENSMLUP00000011774	ENSMLUG00000012944	Myotis_lucifugus
ENSCCAP00000035736	ENSCCAG00000035773	Cebus_capucinus_imitator
ENSDCDP00000001177	ENSDCDG00000000668	Denticeps_clupeoides	ENSDCDT00000001299
ENSPFOP00000009270	ENSPFOG00000009281	Poecilia_formosa
ENSPCIP00000037710	ENSPCIG00000027770	Phascolarctos_cinereus
ENSMNEP00000020035	ENSMNEG00000033852	Macaca_nemestrina
ENSSBOP00000024988	ENSSBOG00000028963	Saimiri_boliviensis_boliviensis
ENSLACP00000012277	ENSLACG00000010809	Latimeria_chalumnae
ENSHGLP00100009270	ENSHGLG00100006873	Heterocephalus_glaber_HetGla_1.0
ENSCANP00000036776	ENSCANG00000042060	Colobus_angolensis_palliatus
ENSNVIP00000027213	ENSNVIG00000021037	Neovison_vison
ENSCGRP00000023133	ENSCGRG00000016750	Cricetulus_griseus_CriGri_1.0
