ENSVURP00010017755	ENSVURG00010013571	Vombatus_ursinus	ENSVURT00010020171
ENSPCIP00000007087	ENSPCIG00000006027	Phascolarctos_cinereus	ENSPCIT00000008995
ENSMEUP00000005562	ENSMEUG00000006073	Notamacropus_eugenii	ENSMEUT00000006105
ENSMODP00000018523	ENSMODG00000014810	Monodelphis_domestica	ENSMODT00000018856
ENSSHAP00000004338	ENSSHAG00000003819	Sarcophilus_harrisii	ENSSHAT00000004382
ENSLAFP00000014631	ENSLAFG00000017444	Loxodonta_africana
ENSPCAP00000000089	ENSPCAG00000000100	Procavia_capensis
ENSETEP00000003028	ENSETEG00000003687	Echinops_telfairi
ENSDNOP00000004618	ENSDNOG00000005967	Dasypus_novemcinctus
ENSCHOP00000007729	ENSCHOG00000008740	Choloepus_hoffmanni
ENSPVAP00000003712	ENSPVAG00000003927	Pteropus_vampyrus
ENSMLUP00000009812	ENSMLUG00000010759	Myotis_lucifugus
ENSECAP00000000700	ENSECAG00000000711	Equus_caballus
ENSEASP00005003964	ENSEASG00005003013	Equus_asinus_asinus
ENSCHIP00000013835	ENSCHIG00000015098	Capra_hircus
ENSOARP00000007629	ENSOARG00000007115	Ovis_aries
ENSCHIP00000018264	ENSCHIG00000017738	Capra_hircus
ENSBIXP00000028533	ENSBIXG00000000421	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005024958	ENSBIXG00005006947	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000022956	ENSBTAG00000017275	Bos_taurus
ENSBMUP00000033585	ENSBMUG00000025066	Bos_mutus
ENSBBBP00000002033	ENSBBBG00000002010	Bison_bison_bison
ENSTTRP00000007680	ENSTTRG00000008118	Tursiops_truncatus
ENSSSCP00000018668	ENSSSCG00000017613	Sus_scrofa_strain_reference
ENSVPAP00000008026	ENSVPAG00000008621	Vicugna_pacos
ENSNVIP00000015702	ENSNVIG00000012326	Neovison_vison
ENSMPUP00000015275	ENSMPUG00000015385	Mustela_putorius_furo
ENSUAMP00000008560	ENSUAMG00000007205	Ursus_americanus
ENSUMAP00000000908	ENSUMAG00000000934	Ursus_maritimus
ENSAMEP00000002918	ENSAMEG00000002753	Ailuropoda_melanoleuca
ENSCAFP00020032970	ENSCAFG00020025609	Canis_lupus_dingo
ENSCAFP00000025638	ENSCAFG00000017399	Canis_lupus_familiaris
ENSVVUP00000015922	ENSVVUG00000011706	Vulpes_vulpes
ENSPPRP00000001804	ENSPPRG00000023866	Panthera_pardus
ENSPTIP00000006328	ENSPTIG00000008279	Panthera_tigris_altaica
ENSFCAP00000058187	ENSFCAG00000008033	Felis_catus
ENSEEUP00000009260	ENSEEUG00000010155	Erinaceus_europaeus	ENSEEUT00000010154
ENSSARP00000000376	ENSSARG00000000412	Sorex_araneus	ENSSART00000000415
ENSCCNP00000030452	ENSCCNG00000029142	Castor_canadensis
ENSDORP00000020639	ENSDORG00000027289	Dipodomys_ordii
MGP_SPRETEiJ_P0030450	MGP_SPRETEiJ_G0017776	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000047588	ENSMUSG00000033983	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0029145	MGP_CAROLIEiJ_G0016952	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000004893	ENSMSIG00000004459	Mus_spicilegus
MGP_PahariEiJ_P0035858	MGP_PahariEiJ_G0018083	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000030534	ENSRNOG00000000244	Rattus_norvegicus
ENSMUGP00000013638	ENSMUGG00000011840	Meriones_unguiculatus
ENSCGRP00015007411	ENSCGRG00015005762	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000008314	ENSCGRG00000006063	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001010273	ENSCGRG00001012212	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000022007	ENSMAUG00000019570	Mesocricetus_auratus
ENSMOCP00000007456	ENSMOCG00000007272	Microtus_ochrogaster
ENSPEMP00000024823	ENSPEMG00000021428	Peromyscus_maniculatus_bairdii
ENSNGAP00000000904	ENSNGAG00000000683	Nannospalax_galili
ENSJJAP00000020617	ENSJJAG00000021225	Jaculus_jaculus
ENSHGLP00000016939	ENSHGLG00000012113	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100012838	ENSHGLG00100009509	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018026	ENSFDAG00000010139	Fukomys_damarensis
ENSCAPP00000005250	ENSCAPG00000007611	Cavia_aperea
ENSCPOP00000001163	ENSCPOG00000001284	Cavia_porcellus
ENSODEP00000016814	ENSODEG00000012389	Octodon_degus
ENSCLAP00000021167	ENSCLAG00000014496	Chinchilla_lanigera
ENSCLAP00000010240	ENSCLAG00000007082	Chinchilla_lanigera
ENSSDAP00000000323	ENSSDAG00000000359	Spermophilus_dauricus
ENSSTOP00000011212	ENSSTOG00000012512	Ictidomys_tridecemlineatus
ENSUPAP00010018981	ENSUPAG00010015007	Urocitellus_parryii
ENSMMMP00000023737	ENSMMMG00000020795	Marmota_marmota_marmota
ENSOCUP00000009763	ENSOCUG00000011345	Oryctolagus_cuniculus
