ENSRBIP00000043481	ENSRBIG00000044902	Rhinopithecus_bieti	ENSRBIT00000067530
ENSRROP00000000376	ENSRROG00000001261	Rhinopithecus_roxellana	ENSRROT00000001406
ENSPTEP00000002205	ENSPTEG00000002553	Piliocolobus_tephrosceles	ENSPTET00000003366
ENSTGEP00000027903	ENSTGEG00000022476	Theropithecus_gelada	ENSTGET00000033244
ENSPANP00000039886	ENSPANG00000031217	Papio_anubis	ENSPANT00000048136
ENSNLEP00000030266	ENSNLEG00000029345	Nomascus_leucogenys	ENSNLET00000045264
ENSPPAP00000019925	ENSPPAG00000033183	Pan_paniscus	ENSPPAT00000042705
ENSSBOP00000032965	ENSSBOG00000032666	Saimiri_boliviensis_boliviensis
ENSANAP00000038591	ENSANAG00000036736	Aotus_nancymaae
ENSMSIP00000000281	ENSMSIG00000000310	Mus_spicilegus
ENSPEMP00000036313	ENSPEMG00000026813	Peromyscus_maniculatus_bairdii
ENSSDAP00000026040	ENSSDAG00000023633	Spermophilus_dauricus
ENSMMMP00000024125	ENSMMMG00000021119	Marmota_marmota_marmota
ENSMUGP00000032571	ENSMUGG00000027042	Meriones_unguiculatus
ENSCGRP00015035237	ENSCGRG00015026454	Cricetulus_griseus_CriGri-PICR
ENSVVUP00000021830	ENSVVUG00000016046	Vulpes_vulpes
ENSNVIP00000022654	ENSNVIG00000017668	Neovison_vison
ENSUMAP00000030572	ENSUMAG00000022073	Ursus_maritimus
ENSSSCP00000040938	ENSSSCG00000033511	Sus_scrofa_strain_reference
