ENSLSDP00000008696	ENSLSDG00000006493	Lonchura_striata_domestica
ENSTGUP00000007326	ENSTGUG00000007115	Taeniopygia_guttata
ENSSCAP00000020060	ENSSCAG00000014469	Serinus_canaria
ENSPMJP00000008795	ENSPMJG00000007109	Parus_major
ENSCCEP00000007990	ENSCCEG00000008327	Cyanistes_caeruleus
ENSFALP00000006176	ENSFALG00000005924	Ficedula_albicollis
ENSZALP00000003740	ENSZALG00000003639	Zonotrichia_albicollis
ENSJHYP00000017190	ENSJHYG00000013141	Junco_hyemalis
ENSLCOP00000019644	ENSLCOG00000013917	Lepidothrix_coronata
ENSMVIP00005006634	ENSMVIG00005005015	Manacus_vitellinus
ENSMUNP00000005027	ENSMUNG00000004176	Melopsittacus_undulatus
ENSCPUP00000009403	ENSCPUG00000006691	Calidris_pugnax
ENSCPGP00000004040	ENSCPGG00000002991	Calidris_pygmaea
ENSGALP00000009814	ENSGALG00000006092	Gallus_gallus
ENSMGAP00000006877	ENSMGAG00000006823	Meleagris_gallopavo
ENSCJPP00005006767	ENSCJPG00005006264	Coturnix_japonica
ENSNMEP00000018539	ENSNMEG00000016108	Numida_meleagris
ENSABRP00000007922	ENSABRG00000007207	Anser_brachyrhynchus
ENSAPLP00000014552	ENSAPLG00000014707	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000002275	ENSAOWG00000001638	Apteryx_owenii
ENSAHAP00000014370	ENSAHAG00000010328	Apteryx_haastii
ENSARWP00000014076	ENSARWG00000009739	Apteryx_rowi
ENSDNVP00000010650	ENSDNVG00000007536	Dromaius_novaehollandiae
ENSNPEP00000011590	ENSNPEG00000008451	Nothoprocta_perdicaria
ENSCPRP00005008791	ENSCPRG00005006287	Crocodylus_porosus
ENSCABP00000000754	ENSCABG00000000665	Chelonoidis_abingdonii
ENSGAGP00000026784	ENSGAGG00000019510	Gopherus_agassizii
ENSCPBP00000020467	ENSCPBG00000014736	Chrysemys_picta_bellii
ENSPSIP00000017767	ENSPSIG00000015801	Pelodiscus_sinensis
ENSSPUP00000024165	ENSSPUG00000018516	Sphenodon_punctatus
ENSACAP00000012078	ENSACAG00000012278	Anolis_carolinensis	ENSACAT00000012323
ENSPVIP00000016149	ENSPVIG00000012501	Pogona_vitticeps	ENSPVIT00000020232
ENSNSUP00000026029	ENSNSUG00000018716	Notechis_scutatus	ENSNSUT00000027657
ENSSMRP00000025169	ENSSMRG00000019470	Salvator_merianae
ENSPCIP00000023650	ENSPCIG00000017922	Phascolarctos_cinereus
ENSVURP00010018394	ENSVURG00010014029	Vombatus_ursinus
ENSMEUP00000010884	ENSMEUG00000011946	Notamacropus_eugenii
ENSMODP00000021225	ENSMODG00000017016	Monodelphis_domestica
ENSSHAP00000021023	ENSSHAG00000017828	Sarcophilus_harrisii
ENSDNOP00000015681	ENSDNOG00000025874	Dasypus_novemcinctus
ENSCHOP00000012080	ENSCHOG00000013646	Choloepus_hoffmanni
ENSPCAP00000001769	ENSPCAG00000001883	Procavia_capensis
ENSETEP00000012379	ENSETEG00000015266	Echinops_telfairi
ENSLAFP00000028384	ENSLAFG00000026390	Loxodonta_africana
ENSLAFP00000008946	ENSLAFG00000010687	Loxodonta_africana
ENSPCOP00000004197	ENSPCOG00000012369	Propithecus_coquereli
ENSMICP00000030663	ENSMICG00000033269	Microcebus_murinus
ENSPSMP00000001689	ENSPSMG00000001268	Prolemur_simus
ENSOGAP00000019344	ENSOGAG00000034509	Otolemur_garnettii
ENSCCAP00000035059	ENSCCAG00000035441	Cebus_capucinus_imitator
ENSSBOP00000024521	ENSSBOG00000028752	Saimiri_boliviensis_boliviensis
ENSCJAP00000019198	ENSCJAG00000010398	Callithrix_jacchus
ENSANAP00000036415	ENSANAG00000035708	Aotus_nancymaae
ENSCANP00000034804	ENSCANG00000041082	Colobus_angolensis_palliatus
ENSPTEP00000005138	ENSPTEG00000005982	Piliocolobus_tephrosceles
ENSRROP00000030719	ENSRROG00000039084	Rhinopithecus_roxellana
ENSRBIP00000020297	ENSRBIG00000034134	Rhinopithecus_bieti
ENSTGEP00000010309	ENSTGEG00000008461	Theropithecus_gelada
ENSPANP00000014409	ENSPANG00000005904	Papio_anubis
ENSCATP00000020667	ENSCATG00000034076	Cercocebus_atys
ENSMFAP00000003450	ENSMFAG00000001467	Macaca_fascicularis
ENSMMUP00000062558	ENSMMUG00000000171	Macaca_mulatta
ENSMNEP00000004205	ENSMNEG00000019568	Macaca_nemestrina
ENSMLEP00000022417	ENSMLEG00000035416	Mandrillus_leucophaeus
ENSCSAP00000012672	ENSCSAG00000016628	Chlorocebus_sabaeus
ENSPPAP00000009225	ENSPPAG00000027831	Pan_paniscus
ENSPTRP00000093520	ENSPTRG00000013750	Pan_troglodytes
ENSP00000332013	ENSG00000197114	Homo_sapiens
ENSGGOP00000018406	ENSGGOG00000004801	Gorilla_gorilla
ENSPPYP00000012565	ENSPPYG00000011246	Pongo_abelii
ENSNLEP00000012386	ENSNLEG00000010146	Nomascus_leucogenys
ENSCCNP00000032151	ENSCCNG00000030528	Castor_canadensis
ENSDORP00000001270	ENSDORG00000001360	Dipodomys_ordii
ENSMUSP00000029105	ENSMUSG00000027582	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000014858	ENSMSIG00000012783	Mus_spicilegus
MGP_SPRETEiJ_P0058962	MGP_SPRETEiJ_G0025732	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0056732	MGP_CAROLIEiJ_G0024806	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0067757	MGP_PahariEiJ_G0026254	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000019084	ENSRNOG00000014235	Rattus_norvegicus
ENSMUGP00000003113	ENSMUGG00000002919	Meriones_unguiculatus
ENSMUGP00000005243	ENSMUGG00000004834	Meriones_unguiculatus
ENSCGRP00000019660	ENSCGRG00000014321	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015023082	ENSCGRG00015017528	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001009303	ENSCGRG00001011442	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000018778	ENSMAUG00000017248	Mesocricetus_auratus
ENSPEMP00000016457	ENSPEMG00000015676	Peromyscus_maniculatus_bairdii
ENSMOCP00000001699	ENSMOCG00000001324	Microtus_ochrogaster
ENSNGAP00000012886	ENSNGAG00000014626	Nannospalax_galili
ENSJJAP00000017040	ENSJJAG00000018714	Jaculus_jaculus
