ENSHBUP00000027122	ENSHBUG00000010142	Haplochromis_burtoni
ENSMZEP00005005189	ENSMZEG00005004032	Maylandia_zebra
ENSACLP00000040994	ENSACLG00000027616	Astatotilapia_calliptera
ENSPNYP00000003385	ENSPNYG00000002651	Pundamilia_nyererei
ENSNBRP00000011044	ENSNBRG00000008612	Neolamprologus_brichardi
ENSSPAP00000011587	ENSSPAG00000008803	Stegastes_partitus
ENSLCAP00010043450	ENSLCAG00010020235	Lates_calcarifer
ENSMMOP00000017188	ENSMMOG00000013093	Mola_mola
ENSLCRP00005036874	ENSLCRG00005014364	Larimichthys_crocea
ENSSDUP00000013829	ENSSDUG00000010064	Seriola_dumerili
ENSSDUP00000013816	ENSSDUG00000010055	Seriola_dumerili
ENSSLDP00000010849	ENSSLDG00000008641	Seriola_lalandi_dorsalis
ENSLCAP00010050518	ENSLCAG00010023571	Lates_calcarifer
ENSATEP00000008995	ENSATEG00000006324	Anabas_testudineus
ENSATEP00000000007	ENSATEG00000000006	Anabas_testudineus
ENSATEP00000005995	ENSATEG00000004230	Anabas_testudineus
ENSATEP00000005738	ENSATEG00000004065	Anabas_testudineus
ENSATEP00000005339	ENSATEG00000003783	Anabas_testudineus
ENSATEP00000000004	ENSATEG00000000003	Anabas_testudineus
ENSATEP00000005692	ENSATEG00000004037	Anabas_testudineus
ENSCGOP00000031301	ENSCGOG00000014638	Cottoperca_gobio
ENSCGOP00000031303	ENSCGOG00000014639	Cottoperca_gobio
ENSLBEP00000020445	ENSLBEG00000015731	Labrus_bergylta
ENSLBEP00000033406	ENSLBEG00000025162	Labrus_bergylta
ENSLBEP00000012279	ENSLBEG00000009445	Labrus_bergylta
ENSACIP00000021083	ENSACIG00000016382	Amphilophus_citrinellus
ENSKMAP00000026446	ENSKMAG00000019625	Kryptolebias_marmoratus
ENSLCAP00010040646	ENSLCAG00010019010	Lates_calcarifer
ENSHCOP00000001719	ENSHCOG00000002741	Hippocampus_comes
