ENSOARP00000005276	ENSOARG00000004928	Ovis_aries	ENSOART00000005363
ENSRNOP00000036699	ENSRNOG00000028712	Rattus_norvegicus
ENSCGRP00001026044	ENSCGRG00001023476	Cricetulus_griseus_CHOK1GS_HDv1
ENSFDAP00000003080	ENSFDAG00000012605	Fukomys_damarensis
ENSFCAP00000062229	ENSFCAG00000050208	Felis_catus
ENSDNOP00000021772	ENSDNOG00000035752	Dasypus_novemcinctus
ENSCCNP00000012197	ENSCCNG00000012675	Castor_canadensis
MGP_SPRETEiJ_P0049030	MGP_SPRETEiJ_G0023297	Mus_spretus_strain_SPRET/EiJ
ENSPEMP00000024181	ENSPEMG00000020998	Peromyscus_maniculatus_bairdii
ENSLAFP00000029425	ENSLAFG00000029901	Loxodonta_africana
ENSBTAP00000018418	ENSBTAG00000013871	Bos_taurus	ENSBTAT00000018418
MGP_PahariEiJ_P0039651	MGP_PahariEiJ_G0019113	Mus_pahari_strain_PAHARI_EIJ
ENSOCUP00000034663	ENSOCUG00000030546	Oryctolagus_cuniculus
ENSMUSP00000025390	ENSMUSG00000024512	Mus_musculus_strain_reference_(CL57BL6)
ENSMPUP00000016354	ENSMPUG00000016457	Mustela_putorius_furo
ENSCGRP00015013242	ENSCGRG00015010153	Cricetulus_griseus_CriGri-PICR
ENSECAP00000041942	ENSECAG00000037347	Equus_caballus
ENSMLUP00000019725	ENSMLUG00000025489	Myotis_lucifugus
ENSVVUP00000020142	ENSVVUG00000014874	Vulpes_vulpes
ENSSSCP00000046887	ENSSSCG00000039443	Sus_scrofa_strain_reference
ENSCAFP00000037872	ENSCAFG00000028993	Canis_lupus_familiaris
ENSCLAP00000010178	ENSCLAG00000007044	Chinchilla_lanigera
ENSMOCP00000014102	ENSMOCG00000013696	Microtus_ochrogaster
ENSNGAP00000023306	ENSNGAG00000021909	Nannospalax_galili
MGP_CAROLIEiJ_P0047079	MGP_CAROLIEiJ_G0022385	Mus_caroli_strain_CAROLI_EIJ
ENSUMAP00000004283	ENSUMAG00000003482	Ursus_maritimus
ENSBIXP00000028936	ENSBIXG00000010377	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMMMP00000005714	ENSMMMG00000005165	Marmota_marmota_marmota
ENSMAUP00000000148	ENSMAUG00000000151	Mesocricetus_auratus
ENSUAMP00000014320	ENSUAMG00000011510	Ursus_americanus
ENSAMEP00000018145	ENSAMEG00000017182	Ailuropoda_melanoleuca
ENSJJAP00000006971	ENSJJAG00000011504	Jaculus_jaculus
ENSMUGP00000025021	ENSMUGG00000020897	Meriones_unguiculatus
ENSCHIP00000005585	ENSCHIG00000009672	Capra_hircus	ENSCHIT00000013278
ENSMSIP00000037045	ENSMSIG00000030873	Mus_spicilegus
ENSCGRP00000003475	ENSCGRG00000002558	Cricetulus_griseus_CriGri_1.0
