ENSMAMP00000005684	ENSMAMG00000003847	Mastacembelus_armatus
ENSBTAP00000001700	ENSBTAG00000001290	Bos_taurus
ENSCGRP00001024681	ENSCGRG00001022519	Cricetulus_griseus_CHOK1GS_HDv1
ENSVURP00010016244	ENSVURG00010012420	Vombatus_ursinus
ENSLBEP00000015280	ENSLBEG00000011893	Labrus_bergylta
ENSGAFP00000003576	ENSGAFG00000002428	Gambusia_affinis
ENSCPOP00000030988	ENSCPOG00000004947	Cavia_porcellus
ENSMMMP00000022905	ENSMMMG00000020064	Marmota_marmota_marmota
ENSACIP00000015910	ENSACIG00000012321	Amphilophus_citrinellus
ENSAHAP00000009664	ENSAHAG00000007035	Apteryx_haastii
ENSFDAP00000004351	ENSFDAG00000013600	Fukomys_damarensis
ENSEEEP00000006317	ENSEEEG00000003361	Electrophorus_electricus
ENSPREP00000024540	ENSPREG00000016574	Poecilia_reticulata
ENSSLDP00000022390	ENSSLDG00000017471	Seriola_lalandi_dorsalis
ENSTSYP00000002173	ENSTSYG00000002343	Carlito_syrichta
ENSLCRP00005054016	ENSLCRG00005020200	Larimichthys_crocea
ENSPLAP00000027298	ENSPLAG00000015794	Poecilia_latipinna
ENSSMRP00000019260	ENSSMRG00000015005	Salvator_merianae
ENSMAUP00000024832	ENSMAUG00000021562	Mesocricetus_auratus
ENSSDUP00000016170	ENSSDUG00000011791	Seriola_dumerili
ENSHGLP00000011118	ENSHGLG00000007977	Heterocephalus_glaber_HetGla_female_1.0
ENSGALP00000053634	ENSGALG00000005173	Gallus_gallus
ENSHHUP00000024270	ENSHHUG00000015229	Hucho_hucho
ENSCGRP00000023219	ENSCGRG00000016813	Cricetulus_griseus_CriGri_1.0
ENSNBRP00000002195	ENSNBRG00000001764	Neolamprologus_brichardi
ENSJHYP00000021231	ENSJHYG00000016031	Junco_hyemalis
ENSDCDP00000042610	ENSDCDG00000027417	Denticeps_clupeoides
ENSNVIP00000002472	ENSNVIG00000001981	Neovison_vison
ENSMALP00000013615	ENSMALG00000009627	Monopterus_albus
ENSPCIP00000029399	ENSPCIG00000021879	Phascolarctos_cinereus
ENSGACP00000009306	ENSGACG00000007016	Gasterosteus_aculeatus
ENSHBUP00000024730	ENSHBUG00000006291	Haplochromis_burtoni
ENSCANP00000003404	ENSCANG00000011996	Colobus_angolensis_palliatus
ENSCVAP00000027537	ENSCVAG00000013974	Cyprinodon_variegatus
ENSPMGP00000019397	ENSPMGG00000015751	Periophthalmus_magnuspinnatus
ENSECAP00000009023	ENSECAG00000010962	Equus_caballus
ENSMUNP00000008000	ENSMUNG00000006399	Melopsittacus_undulatus
ENSTNIP00000005922	ENSTNIG00000003336	Tetraodon_nigroviridis
ENSBMUP00000006388	ENSBMUG00000005013	Bos_mutus
ENSOARP00000015177	ENSOARG00000014139	Ovis_aries
ENSMMUP00000048446	ENSMMUG00000019303	Macaca_mulatta
ENSMNEP00000004399	ENSMNEG00000020432	Macaca_nemestrina
ENSDNVP00000025341	ENSDNVG00000017636	Dromaius_novaehollandiae
ENSODEP00000007141	ENSODEG00000005328	Octodon_degus
ENSHCOP00000023269	ENSHCOG00000011655	Hippocampus_comes
ENSCPBP00000007852	ENSCPBG00000006182	Chrysemys_picta_bellii
ENSIPUP00000022773	ENSIPUG00000015416	Ictalurus_punctatus
ENSMLEP00000021010	ENSMLEG00000034691	Mandrillus_leucophaeus
ENSCAFP00000052240	ENSCAFG00000017668	Canis_lupus_familiaris
ENSSPUP00000021430	ENSSPUG00000016405	Sphenodon_punctatus
ENSOPRP00000003003	ENSOPRG00000003277	Ochotona_princeps
ENSMUGP00000009390	ENSMUGG00000008371	Meriones_unguiculatus
ENSATEP00000003255	ENSATEG00000002282	Anabas_testudineus
ENSTTRP00000016317	ENSTTRG00000017215	Tursiops_truncatus
ENSPVAP00000015891	ENSPVAG00000016847	Pteropus_vampyrus
ENSHHUP00000071597	ENSHHUG00000042054	Hucho_hucho
ENSBSLP00000051520	ENSBSLG00000024370	Betta_splendens
ENSPTIP00000018993	ENSPTIG00000016909	Panthera_tigris_altaica
ENSGWIP00000051784	ENSGWIG00000025050	Gouania_willdenowi
