ENSPSMP00000004943	ENSPSMG00000003848	Prolemur_simus
ENSCGRP00000020777	ENSCGRG00000015101	Cricetulus_griseus_CriGri_1.0
ENSSTOP00000000448	ENSSTOG00000000497	Ictidomys_tridecemlineatus
ENSSPUP00000024423	ENSSPUG00000018715	Sphenodon_punctatus
MGP_SPRETEiJ_P0037641	MGP_SPRETEiJ_G0019932	Mus_spretus_strain_SPRET/EiJ
ENSPPRP00000006434	ENSPPRG00000001872	Panthera_pardus
ENSPEMP00000008578	ENSPEMG00000010155	Peromyscus_maniculatus_bairdii
ENSCGRP00001012345	ENSCGRG00001013773	Cricetulus_griseus_CHOK1GS_HDv1
ENSDNOP00000028293	ENSDNOG00000019727	Dasypus_novemcinctus
ENSSBOP00000031648	ENSSBOG00000032036	Saimiri_boliviensis_boliviensis
ENSECAP00000003377	ENSECAG00000004258	Equus_caballus
ENSSARP00000000409	ENSSARG00000000457	Sorex_araneus
ENSODEP00000014341	ENSODEG00000010614	Octodon_degus
ENSFCAP00000005221	ENSFCAG00000005623	Felis_catus
ENSMLEP00000039656	ENSMLEG00000043845	Mandrillus_leucophaeus
ENSDORP00000007296	ENSDORG00000007782	Dipodomys_ordii
ENSOARP00000017045	ENSOARG00000015876	Ovis_aries
MGP_CAROLIEiJ_P0035941	MGP_CAROLIEiJ_G0019047	Mus_caroli_strain_CAROLI_EIJ
ENSSMRP00000027110	ENSSMRG00000020911	Salvator_merianae
ENSORLP00000034493	ENSORLG00000029804	Oryzias_latipes_ASM223467v1
ENSPKIP00000009475	ENSPKIG00000024578	Paramormyrops_kingsleyae
ENSPANP00000004816	ENSPANG00000015130	Papio_anubis
ENSLACP00000012219	ENSLACG00000010755	Latimeria_chalumnae
ENSCPOP00000013468	ENSCPOG00000014945	Cavia_porcellus
ENSTTRP00000016385	ENSTTRG00000017286	Tursiops_truncatus
ENSNGAP00000002119	ENSNGAG00000001636	Nannospalax_galili
ENSMFAP00000003748	ENSMFAG00000001616	Macaca_fascicularis
ENSCATP00000039690	ENSCATG00000042451	Cercocebus_atys
ENSCHOP00000007946	ENSCHOG00000008983	Choloepus_hoffmanni
MGP_PahariEiJ_P0084049	MGP_PahariEiJ_G0030064	Mus_pahari_strain_PAHARI_EIJ
ENSTGEP00000036267	ENSTGEG00000028856	Theropithecus_gelada
ENSOMEP00000005936	ENSOMEG00000006977	Oryzias_melastigma
ENSCAFP00020006224	ENSCAFG00020005058	Canis_lupus_dingo
ENSPCIP00000040082	ENSPCIG00000029340	Phascolarctos_cinereus
ENSP00000288167	ENSG00000056736	Homo_sapiens	ENST00000288167
ENSGGOP00000001773	ENSGGOG00000001799	Gorilla_gorilla
ENSGAGP00000022338	ENSGAGG00000016397	Gopherus_agassizii
ENSUAMP00000017556	ENSUAMG00000013923	Ursus_americanus
ENSMLUP00000015640	ENSMLUG00000017151	Myotis_lucifugus
ENSRNOP00000065845	ENSRNOG00000015498	Rattus_norvegicus
ENSPCAP00000011303	ENSPCAG00000012131	Procavia_capensis
ENSPVAP00000015367	ENSPVAG00000016288	Pteropus_vampyrus
ENSANAP00000034760	ENSANAG00000034959	Aotus_nancymaae
ENSMMUP00000070710	ENSMMUG00000019267	Macaca_mulatta
ENSPTRP00000045154	ENSPTRG00000015028	Pan_troglodytes	ENSPTRT00000048376
ENSEASP00005022847	ENSEASG00005015579	Equus_asinus_asinus
ENSMODP00000043961	ENSMODG00000012517	Monodelphis_domestica
ENSBMUP00000032859	ENSBMUG00000024539	Bos_mutus
ENSMPUP00000016722	ENSMPUG00000016827	Mustela_putorius_furo
ENSCPBP00000030450	ENSCPBG00000021431	Chrysemys_picta_bellii
ENSMMUP00000076730	ENSMMUG00000057104	Macaca_mulatta
ENSCSAP00000009115	ENSCSAG00000012976	Chlorocebus_sabaeus
ENSOCUP00000011621	ENSOCUG00000013508	Oryctolagus_cuniculus
ENSMNEP00000034514	ENSMNEG00000040441	Macaca_nemestrina
ENSVVUP00000028433	ENSVVUG00000020793	Vulpes_vulpes
ENSBIXP00005001113	ENSBIXG00005029476	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSPPAP00000036663	ENSPPAG00000041082	Pan_paniscus	ENSPPAT00000059556
ENSPPYP00000015425	ENSPPYG00000013785	Pongo_abelii
ENSMICP00000020066	ENSMICG00000035767	Microcebus_murinus
ENSNLEP00000008820	ENSNLEG00000007231	Nomascus_leucogenys
ENSSSCP00000041531	ENSSSCG00000037914	Sus_scrofa_strain_reference
ENSAMEP00000002534	ENSAMEG00000002415	Ailuropoda_melanoleuca
ENSMAUP00000021406	ENSMAUG00000019141	Mesocricetus_auratus
ENSSHAP00000019168	ENSSHAG00000016276	Sarcophilus_harrisii
ENSCJAP00000047551	ENSCJAG00000007546	Callithrix_jacchus
ENSAHAP00000012856	ENSAHAG00000009278	Apteryx_haastii
ENSCABP00000015780	ENSCABG00000011784	Chelonoidis_abingdonii
ENSCCNP00000026311	ENSCCNG00000025538	Castor_canadensis
ENSFDAP00000009795	ENSFDAG00000017717	Fukomys_damarensis
ENSMEUP00000007482	ENSMEUG00000008188	Notamacropus_eugenii
ENSTSYP00000001336	ENSTSYG00000001437	Carlito_syrichta
ENSOGAP00000015168	ENSOGAG00000016938	Otolemur_garnettii
ENSPVIP00000007997	ENSPVIG00000006496	Pogona_vitticeps
ENSXETP00000020264	ENSXETG00000003193	Xenopus_tropicalis
ENSCHIP00000028895	ENSCHIG00000024237	Capra_hircus
ENSPTIP00000012472	ENSPTIG00000012527	Panthera_tigris_altaica
ENSBTAP00000069042	ENSBTAG00000011178	Bos_taurus
ENSRROP00000009616	ENSRROG00000029238	Rhinopithecus_roxellana
ENSMUGP00000032249	ENSMUGG00000026837	Meriones_unguiculatus
ENSBBBP00000023469	ENSBBBG00000004456	Bison_bison_bison
ENSMOCP00000000844	ENSMOCG00000000655	Microtus_ochrogaster
ENSLAFP00000009328	ENSLAFG00000011145	Loxodonta_africana
ENSECRP00000031335	ENSECRG00000021243	Erpetoichthys_calabaricus
ENSRBIP00000035393	ENSRBIG00000041350	Rhinopithecus_bieti
ENSVPAP00000011666	ENSVPAG00000012547	Vicugna_pacos
ENSUPAP00010016841	ENSUPAG00010013408	Urocitellus_parryii
ENSVURP00010016379	ENSVURG00010012547	Vombatus_ursinus
ENSBIXP00000000155	ENSBIXG00000030189	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCAFP00000039482	ENSCAFG00000008269	Canis_lupus_familiaris
ENSNVIP00000029457	ENSNVIG00000022718	Neovison_vison
ENSCCAP00000017016	ENSCCAG00000026316	Cebus_capucinus_imitator
ENSMUSP00000016110	ENSMUSG00000015966	Mus_musculus_strain_reference_(CL57BL6)
ENSCGRP00015037612	ENSCGRG00015028183	Cricetulus_griseus_CriGri-PICR
ENSJJAP00000019393	ENSJJAG00000020355	Jaculus_jaculus
ENSUMAP00000027672	ENSUMAG00000020083	Ursus_maritimus
ENSORLP00015010620	ENSORLG00015011428	Oryzias_latipes_ASM223469v1
ENSCMIP00000027306	ENSCMIG00000011896	Callorhinchus_milii
ENSACAP00000011473	ENSACAG00000011738	Anolis_carolinensis
ENSCAPP00000015522	ENSCAPG00000015624	Cavia_aperea
ENSOANP00000031568	ENSOANG00000031769	Ornithorhynchus_anatinus	ENSOANT00000040814
ENSCANP00000025587	ENSCANG00000036228	Colobus_angolensis_palliatus
ENSSFOP00015030149	ENSSFOG00015019362	Scleropages_formosus
ENSSDAP00000025201	ENSSDAG00000022922	Spermophilus_dauricus
ENSOPRP00000002042	ENSOPRG00000002210	Ochotona_princeps
ENSHGLP00100024071	ENSHGLG00100017682	Heterocephalus_glaber_HetGla_1.0
ENSAOWP00000015146	ENSAOWG00000010315	Apteryx_owenii
ENSPCOP00000000880	ENSPCOG00000002904	Propithecus_coquereli
ENSCPRP00005027429	ENSCPRG00005019000	Crocodylus_porosus
ENSPTEP00000017484	ENSPTEG00000018999	Piliocolobus_tephrosceles
ENSCLAP00000008195	ENSCLAG00000005747	Chinchilla_lanigera
ENSETEP00000006179	ENSETEG00000007609	Echinops_telfairi
ENSMMMP00000012057	ENSMMMG00000010767	Marmota_marmota_marmota
ENSPSIP00000003529	ENSPSIG00000003360	Pelodiscus_sinensis
ENSOANP00000030835	ENSOANG00000031411	Ornithorhynchus_anatinus
ENSMSIP00000033997	ENSMSIG00000028390	Mus_spicilegus
ENSLOCP00000017440	ENSLOCG00000014157	Lepisosteus_oculatus
ENSNSUP00000028333	ENSNSUG00000020188	Notechis_scutatus
ENSABRP00000005711	ENSABRG00000005343	Anser_brachyrhynchus
ENSHGLP00000002853	ENSHGLG00000002135	Heterocephalus_glaber_HetGla_female_1.0
