ENSPMAP00000006002	ENSPMAG00000005449	Petromyzon_marinus	ENSPMAT00000006030
ENSEBUP00000009310	ENSEBUG00000005986	Eptatretus_burgeri	ENSEBUT00000009832
ENSMVIP00005004468	ENSMVIG00005003460	Manacus_vitellinus
ENSLCOP00000022884	ENSLCOG00000016075	Lepidothrix_coronata
ENSZALP00000021782	ENSZALG00000017014	Zonotrichia_albicollis
ENSJHYP00000019986	ENSJHYG00000015162	Junco_hyemalis
ENSSCAP00000003535	ENSSCAG00000002955	Serinus_canaria
ENSTGUP00000012796	ENSTGUG00000012427	Taeniopygia_guttata
ENSLSDP00000019074	ENSLSDG00000013612	Lonchura_striata_domestica
ENSCCEP00000018059	ENSCCEG00000016607	Cyanistes_caeruleus
ENSCCEP00000018025	ENSCCEG00000016458	Cyanistes_caeruleus
ENSPMJP00000002683	ENSPMJG00000002327	Parus_major
ENSFALP00000003086	ENSFALG00000002963	Ficedula_albicollis
ENSMUNP00000008920	ENSMUNG00000007039	Melopsittacus_undulatus
ENSCPUP00000014023	ENSCPUG00000009905	Calidris_pugnax
ENSCPGP00000007798	ENSCPGG00000005343	Calidris_pygmaea
ENSAPLP00000014889	ENSAPLG00000014978	Anas_platyrhynchos_platyrhynchos
ENSABRP00000008366	ENSABRG00000007327	Anser_brachyrhynchus
ENSMGAP00000014438	ENSMGAG00000013663	Meleagris_gallopavo
ENSGALP00000043903	ENSGALG00000015787	Gallus_gallus
ENSCJPP00005004212	ENSCJPG00005004084	Coturnix_japonica
ENSNMEP00000010713	ENSNMEG00000010091	Numida_meleagris
ENSAHAP00000025421	ENSAHAG00000017733	Apteryx_haastii
ENSARWP00000001632	ENSARWG00000000783	Apteryx_rowi
ENSAOWP00000008016	ENSAOWG00000005489	Apteryx_owenii
ENSDNVP00000008440	ENSDNVG00000005997	Dromaius_novaehollandiae
ENSNPEP00000018036	ENSNPEG00000013426	Nothoprocta_perdicaria
ENSCPRP00005024274	ENSCPRG00005016870	Crocodylus_porosus
ENSGAGP00000022041	ENSGAGG00000016170	Gopherus_agassizii
ENSCABP00000002442	ENSCABG00000001908	Chelonoidis_abingdonii
ENSCPBP00000028156	ENSCPBG00000019915	Chrysemys_picta_bellii
ENSPSIP00000012228	ENSPSIG00000010976	Pelodiscus_sinensis
ENSPVIP00000003643	ENSPVIG00000003029	Pogona_vitticeps
ENSACAP00000014532	ENSACAG00000014716	Anolis_carolinensis
ENSNSUP00000024183	ENSNSUG00000017478	Notechis_scutatus
ENSSMRP00000022546	ENSSMRG00000017517	Salvator_merianae
ENSSPUP00000001512	ENSSPUG00000001154	Sphenodon_punctatus
ENSPCIP00000029149	ENSPCIG00000021711	Phascolarctos_cinereus
ENSVURP00010008225	ENSVURG00010006355	Vombatus_ursinus
ENSMEUP00000004063	ENSMEUG00000004467	Notamacropus_eugenii
