ENSGMOP00000008853	ENSGMOG00000008277	Gadus_morhua
ENSGAFP00000021368	ENSGAFG00000014397	Gambusia_affinis
ENSBBBP00000006179	ENSBBBG00000014777	Bison_bison_bison
ENSSARP00000007910	ENSSARG00000008751	Sorex_araneus
ENSTSYP00000020171	ENSTSYG00000033462	Carlito_syrichta
ENSRROP00000026859	ENSRROG00000037194	Rhinopithecus_roxellana
ENSDNOP00000017902	ENSDNOG00000036079	Dasypus_novemcinctus
ENSLACP00000001971	ENSLACG00000001761	Latimeria_chalumnae
ENSTGUP00000010816	ENSTGUG00000010487	Taeniopygia_guttata
ENSTTRP00000000518	ENSTTRG00000000553	Tursiops_truncatus
ENSNSUP00000000804	ENSNSUG00000000770	Notechis_scutatus
ENSPMGP00000017394	ENSPMGG00000014241	Periophthalmus_magnuspinnatus
ENSPNYP00000011301	ENSPNYG00000008576	Pundamilia_nyererei
ENSIPUP00000009686	ENSIPUG00000006642	Ictalurus_punctatus
ENSHHUP00000069664	ENSHHUG00000041033	Hucho_hucho
ENSPMAP00000006267	ENSPMAG00000005685	Petromyzon_marinus
