ENSPMAP00000005654	ENSPMAG00000005139	Petromyzon_marinus	ENSPMAT00000005678
ENSEBUP00000011972	ENSEBUG00000007650	Eptatretus_burgeri	ENSEBUT00000012548
ENSPMAP00000000225	ENSPMAG00000000201	Petromyzon_marinus	ENSPMAT00000000225
ENSMICP00000035346	ENSMICG00000012001	Microcebus_murinus	ENSMICT00000052795
ENSPSMP00000000783	ENSPSMG00000000569	Prolemur_simus	ENSPSMT00000000890
ENSPCOP00000031248	ENSPCOG00000028383	Propithecus_coquereli	ENSPCOT00000042202
ENSOGAP00000004423	ENSOGAG00000004952	Otolemur_garnettii
ENSRBIP00000016048	ENSRBIG00000032079	Rhinopithecus_bieti	ENSRBIT00000039891
ENSCANP00000014837	ENSCANG00000030844	Colobus_angolensis_palliatus
ENSMFAP00000031139	ENSMFAG00000038180	Macaca_fascicularis
ENSMNEP00000010717	ENSMNEG00000029730	Macaca_nemestrina
ENSCATP00000033908	ENSCATG00000039901	Cercocebus_atys
ENSPTRP00000066105	ENSPTRG00000049416	Pan_troglodytes
ENSPTRP00000074804	ENSPTRG00000046749	Pan_troglodytes
ENSPPAP00000036461	ENSPPAG00000040981	Pan_paniscus
ENSPTRP00000050393	ENSPTRG00000005173	Pan_troglodytes
ENSPPAP00000016531	ENSPPAG00000031361	Pan_paniscus
ENSP00000327821	ENSG00000184575	Homo_sapiens
ENSGGOP00000022653	ENSGGOG00000006089	Gorilla_gorilla
ENSPPYP00000005384	ENSPPYG00000004727	Pongo_abelii
ENSNLEP00000020728	ENSNLEG00000017052	Nomascus_leucogenys
ENSRROP00000028982	ENSRROG00000038276	Rhinopithecus_roxellana
ENSRBIP00000035483	ENSRBIG00000041353	Rhinopithecus_bieti
ENSCANP00000019976	ENSCANG00000033371	Colobus_angolensis_palliatus
ENSPTEP00000024344	ENSPTEG00000024846	Piliocolobus_tephrosceles
ENSCATP00000029146	ENSCATG00000037826	Cercocebus_atys
ENSMLEP00000039920	ENSMLEG00000043977	Mandrillus_leucophaeus
ENSTGEP00000025488	ENSTGEG00000020526	Theropithecus_gelada
ENSMFAP00000019448	ENSMFAG00000032644	Macaca_fascicularis
ENSMMUP00000010066	ENSMMUG00000007659	Macaca_mulatta
ENSMNEP00000020114	ENSMNEG00000033875	Macaca_nemestrina
ENSPANP00000003369	ENSPANG00000001024	Papio_anubis
ENSPANP00000046782	ENSPANG00000030915	Papio_anubis
ENSCSAP00000000784	ENSCSAG00000004475	Chlorocebus_sabaeus
ENSSBOP00000016175	ENSSBOG00000024782	Saimiri_boliviensis_boliviensis
ENSCJAP00000027264	ENSCJAG00000014762	Callithrix_jacchus
ENSANAP00000024394	ENSANAG00000029914	Aotus_nancymaae
ENSPTRP00000089094	ENSPTRG00000045368	Pan_troglodytes
ENSPPAP00000037754	ENSPPAG00000041601	Pan_paniscus
ENSGGOP00000051175	ENSGGOG00000027170	Gorilla_gorilla
ENSANAP00000030322	ENSANAG00000032778	Aotus_nancymaae
ENSCCAP00000035792	ENSCCAG00000035803	Cebus_capucinus_imitator
ENSTBEP00000008462	ENSTBEG00000009738	Tupaia_belangeri
ENSCCNP00000017058	ENSCCNG00000017307	Castor_canadensis
ENSDORP00000000239	ENSDORG00000000259	Dipodomys_ordii
ENSMSIP00000024489	ENSMSIG00000020621	Mus_spicilegus
ENSMUSP00000043488	ENSMUSG00000034667	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0026170	MGP_SPRETEiJ_G0016683	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0024907	MGP_CAROLIEiJ_G0015858	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0087759	MGP_PahariEiJ_G0031228	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000009645	ENSRNOG00000007088	Rattus_norvegicus
ENSMUGP00000012045	ENSMUGG00000010502	Meriones_unguiculatus
