ENSNSUP00000011210	ENSNSUG00000008466	Notechis_scutatus	ENSNSUT00000011950
ENSXMAP00000001445	ENSXMAG00000001425	Xiphophorus_maculatus
ENSHGLP00000026598	ENSHGLG00000018917	Heterocephalus_glaber_HetGla_female_1.0
ENSVVUP00000011954	ENSVVUG00000008827	Vulpes_vulpes
ENSMALP00000001365	ENSMALG00000001023	Monopterus_albus
ENSGAFP00000005527	ENSGAFG00000003780	Gambusia_affinis
ENSPVAP00000010107	ENSPVAG00000010728	Pteropus_vampyrus
ENSSARP00000013083	ENSSARG00000014460	Sorex_araneus
ENSMMUP00000021354	ENSMMUG00000016250	Macaca_mulatta
ENSMZEP00005028464	ENSMZEG00005021225	Maylandia_zebra
ENSOGAP00000014422	ENSOGAG00000016113	Otolemur_garnettii
ENSCGRP00000008479	ENSCGRG00000006179	Cricetulus_griseus_CriGri_1.0
ENSNBRP00000031533	ENSNBRG00000023959	Neolamprologus_brichardi
ENSIPUP00000003669	ENSIPUG00000002607	Ictalurus_punctatus
ENSLACP00000008191	ENSLACG00000007253	Latimeria_chalumnae
ENSFHEP00000015571	ENSFHEG00000017196	Fundulus_heteroclitus
ENSSSCP00000002344	ENSSSCG00000002145	Sus_scrofa_strain_reference
ENSPCIP00000018499	ENSPCIG00000014156	Phascolarctos_cinereus
ENSPFOP00000013007	ENSPFOG00000012975	Poecilia_formosa
ENSORLP00020025953	ENSORLG00020008171	Oryzias_latipes_ASM223471v1
Y37E3.1.1	WBGene00021346	Caenorhabditis_elegans_strain_N2
ENSMLEP00000012442	ENSMLEG00000030392	Mandrillus_leucophaeus
ENSBTAP00000036097	ENSBTAG00000009372	Bos_taurus
ENSTGEP00000017645	ENSTGEG00000014280	Theropithecus_gelada
ENSAMXP00005051789	ENSAMXG00005023354	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSLDP00000004166	ENSSLDG00000003320	Seriola_lalandi_dorsalis
ENSECAP00000010904	ENSECAG00000012847	Equus_caballus
ENSAMXP00000055091	ENSAMXG00000010966	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCLAP00000002013	ENSCLAG00000001467	Chinchilla_lanigera
ENSEBUP00000005022	ENSEBUG00000003478	Eptatretus_burgeri
ENSLCRP00005031358	ENSLCRG00005012429	Larimichthys_crocea
ENSSTOP00000008989	ENSSTOG00000010021	Ictidomys_tridecemlineatus
ENSACIP00000025687	ENSACIG00000019895	Amphilophus_citrinellus
ENSMSIP00000022616	ENSMSIG00000019182	Mus_spicilegus
ENSXETP00000006877	ENSXETG00000008453	Xenopus_tropicalis
ENSOMEP00000012540	ENSOMEG00000013920	Oryzias_melastigma
ENSPANP00000014540	ENSPANG00000026179	Papio_anubis
ENSNGAP00000025008	ENSNGAG00000023094	Nannospalax_galili
ENSAMEP00000005901	ENSAMEG00000005576	Ailuropoda_melanoleuca
ENSMAMP00000023647	ENSMAMG00000015917	Mastacembelus_armatus
ENSCHIP00000025834	ENSCHIG00000022424	Capra_hircus
ENSRBIP00000034618	ENSRBIG00000040991	Rhinopithecus_bieti
ENSCINP00000002621	ENSCING00000001347	Ciona_intestinalis
ENSDORP00000025105	ENSDORG00000001577	Dipodomys_ordii
ENSETEP00000015273	ENSETEG00000018797	Echinops_telfairi
ENSFDAP00000005802	ENSFDAG00000014718	Fukomys_damarensis
ENSGWIP00000027328	ENSGWIG00000014300	Gouania_willdenowi
ENSANAP00000039286	ENSANAG00000037060	Aotus_nancymaae
ENSCHAP00000055191	ENSCHAG00000024996	Clupea_harengus
ENSGAGP00000019525	ENSGAGG00000014390	Gopherus_agassizii
ENSKMAP00000026451	ENSKMAG00000019630	Kryptolebias_marmoratus
ENSHCOP00000001815	ENSHCOG00000002847	Hippocampus_comes
ENSLBEP00000027594	ENSLBEG00000020927	Labrus_bergylta
ENSPPRP00000024646	ENSPPRG00000014846	Panthera_pardus
ENSPEMP00000021329	ENSPEMG00000019009	Peromyscus_maniculatus_bairdii
ENSAPEP00000009326	ENSAPEG00000006708	Amphiprion_percula
ENSBSLP00000003214	ENSBSLG00000001826	Betta_splendens
ENSDNOP00000010123	ENSDNOG00000013039	Dasypus_novemcinctus
ENSCCAP00000016067	ENSCCAG00000025824	Cebus_capucinus_imitator
ENSPTIP00000012272	ENSPTIG00000012407	Panthera_tigris_altaica
ENSTBEP00000007655	ENSTBEG00000008826	Tupaia_belangeri
ENSMPUP00000018016	ENSMPUG00000018128	Mustela_putorius_furo
ENSVURP00010024656	ENSVURG00010018894	Vombatus_ursinus
ENSPKIP00000033237	ENSPKIG00000013025	Paramormyrops_kingsleyae
ENSCAFP00000047313	ENSCAFG00000005383	Canis_lupus_familiaris
ENSCSAP00000012860	ENSCSAG00000016804	Chlorocebus_sabaeus
ENSPLAP00000020016	ENSPLAG00000002598	Poecilia_latipinna
ENSDARP00000021151	ENSDARG00000013329	Danio_rerio
ENSGMOP00000014430	ENSGMOG00000013499	Gadus_morhua
ENSP00000258821	ENSG00000136319	Homo_sapiens
ENSPRNP00000006001	ENSPRNG00000003600	Parambassis_ranga
ENSNVIP00000019551	ENSNVIG00000015328	Neovison_vison
ENSCAPP00000018022	ENSCAPG00000017527	Cavia_aperea
ENSSHAP00000014584	ENSSHAG00000012449	Sarcophilus_harrisii
ENSBBBP00000018044	ENSBBBG00000010722	Bison_bison_bison
ENSMSIP00000032149	ENSMSIG00000026924	Mus_spicilegus
ENSCHOP00000000086	ENSCHOG00000000103	Choloepus_hoffmanni
ENSETEP00000002050	ENSETEG00000002515	Echinops_telfairi
ENSMNEP00000013938	ENSMNEG00000031175	Macaca_nemestrina
ENSMUSP00000006451	ENSMUSG00000006288	Mus_musculus_strain_reference_(CL57BL6)
ENSMUGP00000018532	ENSMUGG00000015710	Meriones_unguiculatus
ENSPCOP00000010398	ENSPCOG00000016665	Propithecus_coquereli
ENSHHUP00000016586	ENSHHUG00000010345	Hucho_hucho
ENSMMMP00000001406	ENSMMMG00000001296	Marmota_marmota_marmota
ENSTNIP00000015985	ENSTNIG00000013006	Tetraodon_nigroviridis
ENSBIXP00005015450	ENSBIXG00005019250	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCABP00000020252	ENSCABG00000014937	Chelonoidis_abingdonii
ENSPREP00000007825	ENSPREG00000005336	Poecilia_reticulata
ENSTSYP00000012019	ENSTSYG00000013103	Carlito_syrichta
ENSTTRP00000006693	ENSTTRG00000007074	Tursiops_truncatus
ENSGAGP00000005780	ENSGAGG00000004701	Gopherus_agassizii	ENSGAGT00000006739
ENSORLP00015024462	ENSORLG00015005026	Oryzias_latipes_ASM223469v1
ENSUMAP00000010760	ENSUMAG00000008098	Ursus_maritimus
ENSSFOP00015034837	ENSSFOG00015022188	Scleropages_formosus
ENSPVIP00000030712	ENSPVIG00000022585	Pogona_vitticeps	ENSPVIT00000037640
ENSCSEP00000006864	ENSCSEG00000004435	Cynoglossus_semilaevis
ENSOPRP00000012629	ENSOPRG00000013845	Ochotona_princeps
ENSLCAP00010013980	ENSLCAG00010006639	Lates_calcarifer
ENSACLP00000014216	ENSACLG00000009701	Astatotilapia_calliptera
ENSCGRP00015002116	ENSCGRG00015001736	Cricetulus_griseus_CriGri-PICR
ENSGAGP00000003922	ENSGAGG00000003210	Gopherus_agassizii	ENSGAGT00000004561
