ENSPVAP00000007173	ENSPVAG00000007593	Pteropus_vampyrus	ENSPVAT00000007597
ENSEEUP00000013579	ENSEEUG00000014861	Erinaceus_europaeus	ENSEEUT00000014879
ENSPPAP00000032788	ENSPPAG00000039253	Pan_paniscus
ENSPTRP00000002831	ENSPTRG00000001702	Pan_troglodytes
ENSP00000356669	ENSG00000135870	Homo_sapiens
ENSGGOP00000005623	ENSGGOG00000005735	Gorilla_gorilla
ENSPPYP00000000565	ENSPPYG00000000490	Pongo_abelii
ENSNLEP00000018612	ENSNLEG00000015327	Nomascus_leucogenys
ENSRROP00000025606	ENSRROG00000036546	Rhinopithecus_roxellana	ENSRROT00000049824
ENSRBIP00000027736	ENSRBIG00000037743	Rhinopithecus_bieti	ENSRBIT00000051671
ENSCANP00000017324	ENSCANG00000032120	Colobus_angolensis_palliatus
ENSPTEP00000010945	ENSPTEG00000012354	Piliocolobus_tephrosceles
ENSMLEP00000026513	ENSMLEG00000037455	Mandrillus_leucophaeus
ENSCATP00000019429	ENSCATG00000033497	Cercocebus_atys
ENSTGEP00000003970	ENSTGEG00000003336	Theropithecus_gelada
ENSPANP00000004748	ENSPANG00000008886	Papio_anubis
ENSMNEP00000024925	ENSMNEG00000035968	Macaca_nemestrina
ENSMMUP00000000844	ENSMMUG00000000630	Macaca_mulatta
ENSMFAP00000038126	ENSMFAG00000033725	Macaca_fascicularis
ENSCSAP00000008017	ENSCSAG00000011823	Chlorocebus_sabaeus
ENSCCAP00000015915	ENSCCAG00000025652	Cebus_capucinus_imitator
ENSSBOP00000002116	ENSSBOG00000010664	Saimiri_boliviensis_boliviensis
ENSCJAP00000016809	ENSCJAG00000009106	Callithrix_jacchus
ENSANAP00000038612	ENSANAG00000036716	Aotus_nancymaae
ENSTSYP00000003589	ENSTSYG00000003913	Carlito_syrichta
ENSPSMP00000015621	ENSPSMG00000011102	Prolemur_simus
ENSPCOP00000019678	ENSPCOG00000021795	Propithecus_coquereli
ENSMICP00000002731	ENSMICG00000003000	Microcebus_murinus
ENSOGAP00000003606	ENSOGAG00000004044	Otolemur_garnettii
ENSTBEP00000004332	ENSTBEG00000005015	Tupaia_belangeri
ENSMSIP00000024002	ENSMSIG00000020291	Mus_spicilegus
MGP_SPRETEiJ_P0021747	MGP_SPRETEiJ_G0015563	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000124871	ENSMUSG00000040423	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0020681	MGP_CAROLIEiJ_G0014756	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0075955	MGP_PahariEiJ_G0027992	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000002500	ENSMUGG00000002318	Meriones_unguiculatus
ENSCGRP00001022219	ENSCGRG00001020812	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015015745	ENSCGRG00015012057	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000016461	ENSCGRG00000011952	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000023844	ENSMAUG00000020864	Mesocricetus_auratus
ENSPEMP00000011262	ENSPEMG00000011966	Peromyscus_maniculatus_bairdii
ENSMOCP00000018239	ENSMOCG00000016587	Microtus_ochrogaster
ENSNGAP00000008084	ENSNGAG00000011135	Nannospalax_galili
ENSJJAP00000017318	ENSJJAG00000018915	Jaculus_jaculus
ENSDORP00000004543	ENSDORG00000004855	Dipodomys_ordii
ENSCLAP00000016382	ENSCLAG00000011267	Chinchilla_lanigera
ENSODEP00000019233	ENSODEG00000014185	Octodon_degus
ENSCPOP00000003922	ENSCPOG00000004349	Cavia_porcellus
ENSCAPP00000003408	ENSCAPG00000006180	Cavia_aperea
ENSHGLP00000015297	ENSHGLG00000010929	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100011561	ENSHGLG00100008577	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000005723	ENSHGLG00000004183	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000003959	ENSFDAG00000013303	Fukomys_damarensis
ENSUPAP00010002371	ENSUPAG00010001972	Urocitellus_parryii
ENSSTOP00000014349	ENSSTOG00000016033	Ictidomys_tridecemlineatus
ENSSDAP00000015535	ENSSDAG00000013955	Spermophilus_dauricus
ENSMMMP00000019883	ENSMMMG00000017561	Marmota_marmota_marmota
ENSOARP00000013939	ENSOARG00000013011	Ovis_aries
ENSCHIP00000001488	ENSCHIG00000002873	Capra_hircus
ENSBIXP00000034956	ENSBIXG00000018067	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005028801	ENSBIXG00005008560	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000064320	ENSBTAG00000052708	Bos_taurus
ENSBMUP00000006298	ENSBMUG00000004934	Bos_mutus
ENSBBBP00000005963	ENSBBBG00000014592	Bison_bison_bison
ENSTTRP00000008127	ENSTTRG00000008572	Tursiops_truncatus
ENSSSCP00000041873	ENSSSCG00000015498	Sus_scrofa_strain_reference
ENSVPAP00000002394	ENSVPAG00000002591	Vicugna_pacos
ENSMLUP00000010173	ENSMLUG00000011127	Myotis_lucifugus
ENSEASP00005025002	ENSEASG00005017000	Equus_asinus_asinus
ENSECAP00000048230	ENSECAG00000021208	Equus_caballus
ENSUMAP00000027678	ENSUMAG00000020087	Ursus_maritimus
ENSUAMP00000025065	ENSUAMG00000019525	Ursus_americanus
ENSAMEP00000016554	ENSAMEG00000015657	Ailuropoda_melanoleuca
ENSMPUP00000004709	ENSMPUG00000004747	Mustela_putorius_furo
ENSNVIP00000018469	ENSNVIG00000014438	Neovison_vison
ENSCAFP00020021672	ENSCAFG00020017112	Canis_lupus_dingo
ENSCAFP00000021318	ENSCAFG00000014434	Canis_lupus_familiaris
ENSVVUP00000019398	ENSVVUG00000014201	Vulpes_vulpes
ENSPPRP00000016799	ENSPPRG00000009007	Panthera_pardus
ENSPTIP00000016660	ENSPTIG00000015326	Panthera_tigris_altaica
ENSFCAP00000047653	ENSFCAG00000014924	Felis_catus
ENSDNOP00000008911	ENSDNOG00000011494	Dasypus_novemcinctus
ENSCHOP00000001440	ENSCHOG00000001627	Choloepus_hoffmanni
ENSLAFP00000003642	ENSLAFG00000004367	Loxodonta_africana
ENSPCAP00000010082	ENSPCAG00000010775	Procavia_capensis
ENSETEP00000009795	ENSETEG00000012064	Echinops_telfairi
ENSOCUP00000004266	ENSOCUG00000004930	Oryctolagus_cuniculus
ENSOPRP00000011941	ENSOPRG00000013068	Ochotona_princeps
ENSPCIP00000004104	ENSPCIG00000002058	Phascolarctos_cinereus
ENSVURP00010007603	ENSVURG00010005859	Vombatus_ursinus
ENSMEUP00000006051	ENSMEUG00000006611	Notamacropus_eugenii
ENSSHAP00000008762	ENSSHAG00000007589	Sarcophilus_harrisii
ENSMODP00000005284	ENSMODG00000004289	Monodelphis_domestica
ENSOANP00000001442	ENSOANG00000000924	Ornithorhynchus_anatinus
ENSPVIP00000000613	ENSPVIG00000000574	Pogona_vitticeps
ENSACAP00000015064	ENSACAG00000015271	Anolis_carolinensis
ENSNSUP00000018679	ENSNSUG00000013639	Notechis_scutatus
ENSSMRP00000013792	ENSSMRG00000010711	Salvator_merianae
ENSSPUP00000024121	ENSSPUG00000018472	Sphenodon_punctatus
ENSAPLP00000004929	ENSAPLG00000005341	Anas_platyrhynchos_platyrhynchos
ENSABRP00000016095	ENSABRG00000013781	Anser_brachyrhynchus
ENSCJPP00005027516	ENSCJPG00005021335	Coturnix_japonica
ENSMGAP00000001591	ENSMGAG00000002033	Meleagris_gallopavo
ENSGALP00000069768	ENSGALG00000004587	Gallus_gallus
ENSNMEP00000020038	ENSNMEG00000017107	Numida_meleagris
ENSTGUP00000004219	ENSTGUG00000004090	Taeniopygia_guttata
ENSTGUP00000015157	ENSTGUG00000014803	Taeniopygia_guttata
ENSLSDP00000014083	ENSLSDG00000010169	Lonchura_striata_domestica
ENSSCAP00000015513	ENSSCAG00000011373	Serinus_canaria
ENSFALP00000003093	ENSFALG00000002947	Ficedula_albicollis
ENSJHYP00000021700	ENSJHYG00000016424	Junco_hyemalis
ENSZALP00000018855	ENSZALG00000014970	Zonotrichia_albicollis
ENSPMJP00000026345	ENSPMJG00000019236	Parus_major
ENSCCEP00000022955	ENSCCEG00000020606	Cyanistes_caeruleus
ENSMVIP00005028812	ENSMVIG00005020037	Manacus_vitellinus
ENSLCOP00000001466	ENSLCOG00000001215	Lepidothrix_coronata
ENSMUNP00000018020	ENSMUNG00000013790	Melopsittacus_undulatus
ENSCPGP00000000693	ENSCPGG00000000565	Calidris_pygmaea
ENSCPUP00000014483	ENSCPUG00000010173	Calidris_pugnax
ENSAHAP00000021429	ENSAHAG00000014759	Apteryx_haastii
ENSAOWP00000024390	ENSAOWG00000016474	Apteryx_owenii
ENSARWP00000000548	ENSARWG00000000471	Apteryx_rowi
ENSDNVP00000020851	ENSDNVG00000014597	Dromaius_novaehollandiae
ENSNPEP00000020580	ENSNPEG00000015308	Nothoprocta_perdicaria
ENSCPRP00005007492	ENSCPRG00005005316	Crocodylus_porosus
ENSCABP00000025032	ENSCABG00000018372	Chelonoidis_abingdonii
ENSGAGP00000024893	ENSGAGG00000018194	Gopherus_agassizii
ENSCPBP00000020394	ENSCPBG00000014670	Chrysemys_picta_bellii
ENSPSIP00000018199	ENSPSIG00000016181	Pelodiscus_sinensis
ENSSARP00000004261	ENSSARG00000004660	Sorex_araneus
ENSXETP00000046373	ENSXETG00000019106	Xenopus_tropicalis
ENSEBUP00000010323	ENSEBUG00000006645	Eptatretus_burgeri
ENSLACP00000018376	ENSLACG00000016186	Latimeria_chalumnae
ENSPKIP00000015397	ENSPKIG00000002107	Paramormyrops_kingsleyae
ENSSFOP00015027840	ENSSFOG00015017852	Scleropages_formosus
ENSSFOP00015027920	ENSSFOG00015017897	Scleropages_formosus
ENSPKIP00000022289	ENSPKIG00000006335	Paramormyrops_kingsleyae
ENSAMXP00005049302	ENSAMXG00005022477	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000039649	ENSAMXG00000018071	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000016610	ENSPNAG00000023439	Pygocentrus_nattereri
ENSEEEP00000032434	ENSEEEG00000015466	Electrophorus_electricus
ENSIPUP00000037095	ENSIPUG00000024829	Ictalurus_punctatus
ENSDARP00000154836	ENSDARG00000062550	Danio_rerio
ENSHHUP00000088949	ENSHHUG00000051370	Hucho_hucho
ENSHHUP00000057408	ENSHHUG00000034186	Hucho_hucho
ENSELUP00000002091	ENSELUG00000003477	Esox_lucius
ENSAMXP00000019814	ENSAMXG00000019243	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005018229	ENSAMXG00005009460	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000030483	ENSPNAG00000017240	Pygocentrus_nattereri
ENSEEEP00000037114	ENSEEEG00000017626	Electrophorus_electricus
ENSIPUP00000013407	ENSIPUG00000009135	Ictalurus_punctatus
ENSDARP00000120777	ENSDARG00000063182	Danio_rerio
ENSDCDP00000020708	ENSDCDG00000016400	Denticeps_clupeoides
ENSTRUP00000020896	ENSTRUG00000008347	Takifugu_rubripes
ENSTNIP00000018328	ENSTNIG00000015269	Tetraodon_nigroviridis
ENSPMGP00000018470	ENSPMGG00000015037	Periophthalmus_magnuspinnatus
ENSCSEP00000025335	ENSCSEG00000016173	Cynoglossus_semilaevis
ENSMALP00000023807	ENSMALG00000016581	Monopterus_albus
ENSSLDP00000014833	ENSSLDG00000011831	Seriola_lalandi_dorsalis
ENSSDUP00000025816	ENSSDUG00000018727	Seriola_dumerili
ENSSLDP00000017247	ENSSLDG00000013627	Seriola_lalandi_dorsalis
ENSLCAP00010031984	ENSLCAG00010015022	Lates_calcarifer
ENSSMAP00000001008	ENSSMAG00000000643	Scophthalmus_maximus
ENSMAMP00000017262	ENSMAMG00000011691	Mastacembelus_armatus
ENSMALP00000023596	ENSMALG00000016106	Monopterus_albus
ENSATEP00000018291	ENSATEG00000012720	Anabas_testudineus
ENSBSLP00000015064	ENSBSLG00000007837	Betta_splendens
ENSXMAP00000015711	ENSXMAG00000015673	Xiphophorus_maculatus
ENSXCOP00000002562	ENSXCOG00000002036	Xiphophorus_couchianus
ENSGAFP00000014729	ENSGAFG00000009952	Gambusia_affinis
ENSPFOP00000005057	ENSPFOG00000005011	Poecilia_formosa
ENSPLAP00000028223	ENSPLAG00000017430	Poecilia_latipinna
ENSPMEP00000007085	ENSPMEG00000008688	Poecilia_mexicana
ENSPREP00000025906	ENSPREG00000017502	Poecilia_reticulata
ENSFHEP00000032263	ENSFHEG00000018634	Fundulus_heteroclitus
ENSCVAP00000024587	ENSCVAG00000008757	Cyprinodon_variegatus
ENSKMAP00000013660	ENSKMAG00000010226	Kryptolebias_marmoratus
ENSORLP00020013301	ENSORLG00020014292	Oryzias_latipes_ASM223471v1
ENSORLP00000020077	ENSORLG00000016041	Oryzias_latipes_ASM223467v1
ENSORLP00015013464	ENSORLG00015014342	Oryzias_latipes_ASM223469v1
ENSOMEP00000015210	ENSOMEG00000016784	Oryzias_melastigma
ENSACLP00000040084	ENSACLG00000027015	Astatotilapia_calliptera
ENSMZEP00005034135	ENSMZEG00005025514	Maylandia_zebra
ENSPNYP00000013378	ENSPNYG00000010135	Pundamilia_nyererei
ENSHBUP00000001533	ENSHBUG00000002725	Haplochromis_burtoni
ENSNBRP00000021707	ENSNBRG00000016656	Neolamprologus_brichardi
ENSONIP00000012525	ENSONIG00000009961	Oreochromis_niloticus
ENSACIP00000016896	ENSACIG00000013122	Amphilophus_citrinellus
ENSAOCP00000014432	ENSAOCG00000019101	Amphiprion_ocellaris
ENSAPEP00000011998	ENSAPEG00000008567	Amphiprion_percula
ENSAPOP00000003034	ENSAPOG00000004471	Acanthochromis_polyacanthus
ENSSPAP00000019132	ENSSPAG00000014400	Stegastes_partitus
ENSPRNP00000023553	ENSPRNG00000011986	Parambassis_ranga
ENSGWIP00000011102	ENSGWIG00000006503	Gouania_willdenowi
ENSHCOP00000022156	ENSHCOG00000009753	Hippocampus_comes
ENSCGOP00000042389	ENSCGOG00000019158	Cottoperca_gobio
ENSGACP00000018300	ENSGACG00000013855	Gasterosteus_aculeatus
ENSLBEP00000028578	ENSLBEG00000021392	Labrus_bergylta
ENSLCRP00005005388	ENSLCRG00005002755	Larimichthys_crocea
ENSMMOP00000024958	ENSMMOG00000018958	Mola_mola
