ENSARWP00000007371	ENSARWG00000005153	Apteryx_rowi
ENSDNVP00000015719	ENSDNVG00000009941	Dromaius_novaehollandiae
ENSLACP00000004383	ENSLACG00000003897	Latimeria_chalumnae
ENSPMJP00000007751	ENSPMJG00000006372	Parus_major
ENSLCOP00000001314	ENSLCOG00000001089	Lepidothrix_coronata
ENSONIP00000011048	ENSONIG00000008788	Oreochromis_niloticus
ENSCPBP00000036013	ENSCPBG00000025043	Chrysemys_picta_bellii
ENSMODP00000035939	ENSMODG00000020671	Monodelphis_domestica
ENSSDUP00000031897	ENSSDUG00000022885	Seriola_dumerili	ENSSDUT00000032447
ENSSLDP00000031471	ENSSLDG00000024132	Seriola_lalandi_dorsalis
ENSFALP00000003659	ENSFALG00000003481	Ficedula_albicollis
ENSSCAP00000011743	ENSSCAG00000008259	Serinus_canaria
ENSATEP00000031550	ENSATEG00000021737	Anabas_testudineus
ENSAPEP00000031250	ENSAPEG00000022173	Amphiprion_percula
ENSCCEP00000015616	ENSCCEG00000014746	Cyanistes_caeruleus
ENSSMAP00000023330	ENSSMAG00000014222	Scophthalmus_maximus
ENSDNOP00000012492	ENSDNOG00000016105	Dasypus_novemcinctus
ENSONIP00000003734	ENSONIG00000002981	Oreochromis_niloticus
ENSMAMP00000006783	ENSMAMG00000004554	Mastacembelus_armatus
ENSHBUP00000029522	ENSHBUG00000014002	Haplochromis_burtoni
ENSXCOP00000018121	ENSXCOG00000013658	Xiphophorus_couchianus
ENSLOCP00000017458	ENSLOCG00000014166	Lepisosteus_oculatus
ENSPMAP00000002617	ENSPMAG00000002396	Petromyzon_marinus
ENSSARP00000005180	ENSSARG00000005676	Sorex_araneus
ENSECRP00000016761	ENSECRG00000011129	Erpetoichthys_calabaricus
ENSMLUP00000002221	ENSMLUG00000002438	Myotis_lucifugus
ENSNSUP00000025311	ENSNSUG00000018225	Notechis_scutatus
ENSAMXP00000022443	ENSAMXG00000021777	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCGRP00000000287	ENSCGRG00000000277	Cricetulus_griseus_CriGri_1.0
ENSLBEP00000027075	ENSLBEG00000020579	Labrus_bergylta	ENSLBET00000028376
ENSHGLP00100000460	ENSHGLG00100000387	Heterocephalus_glaber_HetGla_1.0
ENSCANP00000036242	ENSCANG00000041818	Colobus_angolensis_palliatus
ENSTRUP00000055179	ENSTRUG00000020749	Takifugu_rubripes
ENSECAP00000011188	ENSECAG00000012032	Equus_caballus
ENSGAGP00000031294	ENSGAGG00000022489	Gopherus_agassizii
ENSGAFP00000028535	ENSGAFG00000019294	Gambusia_affinis
ENSMMOP00000010709	ENSMMOG00000008260	Mola_mola
ENSXMAP00000017706	ENSXMAG00000017634	Xiphophorus_maculatus
ENSCPRP00005014683	ENSCPRG00005010332	Crocodylus_porosus
ENSSLDP00000011822	ENSSLDG00000009366	Seriola_lalandi_dorsalis
ENSUAMP00000018877	ENSUAMG00000014061	Ursus_americanus
ENSPRNP00000009865	ENSPRNG00000005716	Parambassis_ranga
ENSCAFP00000003042	ENSCAFG00000002065	Canis_lupus_familiaris
ENSNLEP00000010174	ENSNLEG00000008295	Nomascus_leucogenys
ENSP00000288135	ENSG00000157404	Homo_sapiens
ENSFHEP00000003018	ENSFHEG00000003926	Fundulus_heteroclitus
ENSVURP00010013802	ENSVURG00010010615	Vombatus_ursinus
ENSMUSP00000005815	ENSMUSG00000005672	Mus_musculus_strain_reference_(CL57BL6)
ENSPSMP00000029351	ENSPSMG00000020340	Prolemur_simus
ENSSPAP00000020117	ENSSPAG00000015156	Stegastes_partitus
ENSTGEP00000028271	ENSTGEG00000022769	Theropithecus_gelada
ENSHHUP00000015861	ENSHHUG00000009828	Hucho_hucho
ENSAOCP00000001995	ENSAOCG00000005066	Amphiprion_ocellaris
ENSXMAP00000013563	ENSXMAG00000013503	Xiphophorus_maculatus
ENSMPUP00000006063	ENSMPUG00000006114	Mustela_putorius_furo
ENSDARP00000099069	ENSDARG00000043317	Danio_rerio
ENSOCUP00000034895	ENSOCUG00000007086	Oryctolagus_cuniculus
ENSFHEP00000012472	ENSFHEG00000013938	Fundulus_heteroclitus
ENSSMAP00000021901	ENSSMAG00000013415	Scophthalmus_maximus
ENSAOWP00000009666	ENSAOWG00000006628	Apteryx_owenii
ENSTBEP00000001947	ENSTBEG00000002212	Tupaia_belangeri
ENSCPUP00000016939	ENSCPUG00000011686	Calidris_pugnax
ENSAMXP00005021209	ENSAMXG00005010824	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSHHUP00000003178	ENSHHUG00000002016	Hucho_hucho
ENSMVIP00005014851	ENSMVIG00005010717	Manacus_vitellinus
ENSPKIP00000017220	ENSPKIG00000003235	Paramormyrops_kingsleyae
ENSMOCP00000007780	ENSMOCG00000007652	Microtus_ochrogaster
ENSIPUP00000007028	ENSIPUG00000004870	Ictalurus_punctatus
ENSJJAP00000001751	ENSJJAG00000002257	Jaculus_jaculus
