ENSMZEP00005015338	ENSMZEG00005011514	Maylandia_zebra	ENSMZET00005015832
ENSORLP00000035000	ENSORLG00000023471	Oryzias_latipes_ASM223467v1	ENSORLT00000041594
ENSHHUP00000087124	ENSHHUG00000050399	Hucho_hucho	ENSHHUT00000089845
ENSPSIP00000003624	ENSPSIG00000003452	Pelodiscus_sinensis	ENSPSIT00000003644
ENSHHUP00000025778	ENSHHUG00000016269	Hucho_hucho	ENSHHUT00000026796
ENSHHUP00000067740	ENSHHUG00000039934	Hucho_hucho	ENSHHUT00000070017
ENSCMIP00000007452	ENSCMIG00000004094	Callorhinchus_milii	ENSCMIT00000007676
ENSSMRP00000025492	ENSSMRG00000019705	Salvator_merianae	ENSSMRT00000029841
ENSGAGP00000014517	ENSGAGG00000011037	Gopherus_agassizii	ENSGAGT00000016608
ENSPSIP00000000835	ENSPSIG00000000835	Pelodiscus_sinensis	ENSPSIT00000000835
ENSTNIP00000000613	ENSTNIG00000001593	Tetraodon_nigroviridis	ENSTNIT00000002564
ENSECRP00000013365	ENSECRG00000008910	Erpetoichthys_calabaricus	ENSECRT00000013597
ENSGALP00000066375	ENSGALG00000052041	Gallus_gallus	ENSGALT00000104004
ENSEBUP00000007025	ENSEBUG00000004610	Eptatretus_burgeri	ENSEBUT00000007494
ENSHHUP00000011001	ENSHHUG00000006745	Hucho_hucho	ENSHHUT00000011349
ENSNSUP00000006453	ENSNSUG00000005122	Notechis_scutatus
