ENSJHYP00000023848	ENSJHYG00000017928	Junco_hyemalis
ENSZALP00000001311	ENSZALG00000001548	Zonotrichia_albicollis
ENSFALP00000004883	ENSFALG00000004691	Ficedula_albicollis
ENSLSDP00000001672	ENSLSDG00000001316	Lonchura_striata_domestica
ENSTGUP00000003514	ENSTGUG00000003408	Taeniopygia_guttata
ENSSCAP00000018214	ENSSCAG00000013189	Serinus_canaria
ENSCCEP00000023237	ENSCCEG00000020853	Cyanistes_caeruleus
ENSPMJP00000010636	ENSPMJG00000008345	Parus_major
ENSLCOP00000010276	ENSLCOG00000007463	Lepidothrix_coronata
ENSMVIP00005008225	ENSMVIG00005006162	Manacus_vitellinus
ENSGALP00000046492	ENSGALG00000030481	Gallus_gallus
ENSMGAP00000010440	ENSMGAG00000010093	Meleagris_gallopavo
ENSCJPP00005021849	ENSCJPG00005017452	Coturnix_japonica
ENSNMEP00000025633	ENSNMEG00000021687	Numida_meleagris
ENSABRP00000002189	ENSABRG00000002164	Anser_brachyrhynchus
ENSAPLP00000003545	ENSAPLG00000004049	Anas_platyrhynchos_platyrhynchos
ENSCPGP00000025642	ENSCPGG00000017691	Calidris_pygmaea
ENSAOWP00000020359	ENSAOWG00000013778	Apteryx_owenii
ENSAHAP00000007980	ENSAHAG00000005900	Apteryx_haastii
ENSARWP00000021638	ENSARWG00000014777	Apteryx_rowi
ENSDNVP00000009326	ENSDNVG00000006585	Dromaius_novaehollandiae
ENSNPEP00000021836	ENSNPEG00000016187	Nothoprocta_perdicaria
ENSMUNP00000006049	ENSMUNG00000004907	Melopsittacus_undulatus
ENSCABP00000012604	ENSCABG00000009434	Chelonoidis_abingdonii
ENSGAGP00000029838	ENSGAGG00000021542	Gopherus_agassizii
ENSCPBP00000035864	ENSCPBG00000024930	Chrysemys_picta_bellii
ENSCPRP00005002996	ENSCPRG00005002182	Crocodylus_porosus
ENSSPUP00000012150	ENSSPUG00000009293	Sphenodon_punctatus
ENSPVIP00000029452	ENSPVIG00000021727	Pogona_vitticeps
ENSSMRP00000017997	ENSSMRG00000014021	Salvator_merianae
ENSMODP00000020844	ENSMODG00000016700	Monodelphis_domestica
ENSSHAP00000010519	ENSSHAG00000009079	Sarcophilus_harrisii
ENSVURP00010020449	ENSVURG00010015653	Vombatus_ursinus
ENSPCIP00000008456	ENSPCIG00000007010	Phascolarctos_cinereus
ENSMEUP00000008603	ENSMEUG00000009425	Notamacropus_eugenii
ENSPSIP00000007884	ENSPSIG00000007214	Pelodiscus_sinensis
ENSMLUP00000009348	ENSMLUG00000010258	Myotis_lucifugus
ENSPVAP00000000530	ENSPVAG00000000563	Pteropus_vampyrus
ENSUAMP00000025337	ENSUAMG00000019743	Ursus_americanus
ENSUMAP00000029066	ENSUMAG00000021087	Ursus_maritimus
ENSAMEP00000007585	ENSAMEG00000007191	Ailuropoda_melanoleuca
ENSCAFP00020011191	ENSCAFG00020009065	Canis_lupus_dingo
ENSCAFP00000060786	ENSCAFG00000041318	Canis_lupus_familiaris
ENSVVUP00000018067	ENSVVUG00000013317	Vulpes_vulpes
ENSMPUP00000015888	ENSMPUG00000015994	Mustela_putorius_furo
ENSNVIP00000019474	ENSNVIG00000015248	Neovison_vison
ENSPPRP00000010265	ENSPPRG00000004489	Panthera_pardus
ENSPTIP00000021782	ENSPTIG00000018822	Panthera_tigris_altaica
ENSFCAP00000025007	ENSFCAG00000030517	Felis_catus
ENSEEUP00000003018	ENSEEUG00000003304	Erinaceus_europaeus
ENSHGLP00000000174	ENSHGLG00000000187	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100003454	ENSHGLG00100002627	Heterocephalus_glaber_HetGla_1.0
ENSCCNP00000014477	ENSCCNG00000014973	Castor_canadensis
ENSTSYP00000014087	ENSTSYG00000028419	Carlito_syrichta
ENSMICP00000021370	ENSMICG00000035792	Microcebus_murinus
ENSPSMP00000032270	ENSPSMG00000022339	Prolemur_simus
ENSPCOP00000010128	ENSPCOG00000016504	Propithecus_coquereli
ENSOGAP00000003266	ENSOGAG00000003679	Otolemur_garnettii
ENSMFAP00000038945	ENSMFAG00000038800	Macaca_fascicularis
ENSMMUP00000048959	ENSMMUG00000038629	Macaca_mulatta
ENSMNEP00000025523	ENSMNEG00000036236	Macaca_nemestrina
ENSCATP00000029743	ENSCATG00000038089	Cercocebus_atys
ENSCSAP00000008858	ENSCSAG00000012720	Chlorocebus_sabaeus
ENSMLEP00000004385	ENSMLEG00000019803	Mandrillus_leucophaeus
ENSTGEP00000009278	ENSTGEG00000007650	Theropithecus_gelada
ENSPANP00000013464	ENSPANG00000007711	Papio_anubis
ENSPTEP00000004057	ENSPTEG00000004777	Piliocolobus_tephrosceles
ENSP00000248139	ENSG00000197562	Homo_sapiens
ENSPPAP00000020599	ENSPPAG00000033519	Pan_paniscus
ENSGGOP00000038448	ENSGGOG00000007887	Gorilla_gorilla
ENSPPYP00000007829	ENSPPYG00000006914	Pongo_abelii
ENSPTRP00000083394	ENSPTRG00000052325	Pan_troglodytes
ENSNLEP00000037334	ENSNLEG00000029241	Nomascus_leucogenys
ENSRBIP00000040181	ENSRBIG00000043523	Rhinopithecus_bieti
ENSRROP00000006982	ENSRROG00000026785	Rhinopithecus_roxellana
ENSCJAP00000052184	ENSCJAG00000036629	Callithrix_jacchus
ENSSBOP00000003506	ENSSBOG00000016906	Saimiri_boliviensis_boliviensis
ENSCCAP00000028619	ENSCCAG00000032283	Cebus_capucinus_imitator
ENSANAP00000014916	ENSANAG00000025330	Aotus_nancymaae
ENSCPOP00000030761	ENSCPOG00000030044	Cavia_porcellus
ENSCAPP00000012263	ENSCAPG00000013164	Cavia_aperea
ENSCLAP00000024033	ENSCLAG00000016501	Chinchilla_lanigera
ENSODEP00000022378	ENSODEG00000016427	Octodon_degus
ENSHGLP00000007733	ENSHGLG00000005606	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100007069	ENSHGLG00100005303	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000014032	ENSFDAG00000001036	Fukomys_damarensis
ENSUPAP00010016712	ENSUPAG00010013312	Urocitellus_parryii
ENSMMMP00000020838	ENSMMMG00000018383	Marmota_marmota_marmota
ENSSTOP00000022704	ENSSTOG00000022046	Ictidomys_tridecemlineatus
ENSSDAP00000020842	ENSSDAG00000018954	Spermophilus_dauricus
MGP_SPRETEiJ_P0045289	MGP_SPRETEiJ_G0022174	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000015654	ENSMSIG00000013411	Mus_spicilegus
ENSMUSP00000127546	ENSMUSG00000025730	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0043382	MGP_CAROLIEiJ_G0021263	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0055684	MGP_PahariEiJ_G0023581	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000027266	ENSRNOG00000020067	Rattus_norvegicus
ENSMUGP00000017240	ENSMUGG00000014686	Meriones_unguiculatus
ENSCGRP00001021605	ENSCGRG00001020394	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000024808	ENSCGRG00000017970	Cricetulus_griseus_CriGri_1.0
