ENSMLEP00000013745	ENSMLEG00000031043	Mandrillus_leucophaeus
ENSMEUP00000010724	ENSMEUG00000011772	Notamacropus_eugenii
ENSCGRP00000022134	ENSCGRG00000016040	Cricetulus_griseus_CriGri_1.0
ENSCLAP00000021262	ENSCLAG00000014560	Chinchilla_lanigera
ENSEEUP00000002214	ENSEEUG00000002429	Erinaceus_europaeus
ENSVPAP00000010903	ENSVPAG00000011718	Vicugna_pacos
ENSSSCP00000054518	ENSSSCG00000024092	Sus_scrofa_strain_reference
ENSGGOP00000025233	ENSGGOG00000003471	Gorilla_gorilla
ENSCATP00000004873	ENSCATG00000016573	Cercocebus_atys
ENSSHAP00000001784	ENSSHAG00000001589	Sarcophilus_harrisii
ENSCGRP00001012908	ENSCGRG00001014188	Cricetulus_griseus_CHOK1GS_HDv1
ENSSBOP00000034654	ENSSBOG00000033494	Saimiri_boliviensis_boliviensis
ENSMOCP00000014295	ENSMOCG00000013839	Microtus_ochrogaster
ENSCCNP00000021086	ENSCCNG00000020949	Castor_canadensis	ENSCCNT00000027171
ENSTSYP00000027650	ENSTSYG00000030868	Carlito_syrichta
ENSHGLP00000001767	ENSHGLG00000001345	Heterocephalus_glaber_HetGla_female_1.0
ENSMMMP00000002038	ENSMMMG00000001837	Marmota_marmota_marmota
ENSMFAP00000026631	ENSMFAG00000044745	Macaca_fascicularis
ENSLAFP00000008897	ENSLAFG00000010629	Loxodonta_africana
ENSUMAP00000012518	ENSUMAG00000009278	Ursus_maritimus
ENSEASP00005013191	ENSEASG00005009218	Equus_asinus_asinus
ENSPVAP00000006230	ENSPVAG00000006598	Pteropus_vampyrus
ENSBMUP00000011808	ENSBMUG00000009072	Bos_mutus
ENSOGAP00000010491	ENSOGAG00000011723	Otolemur_garnettii
ENSPPAP00000018957	ENSPPAG00000032644	Pan_paniscus
ENSCCAP00000007602	ENSCCAG00000021561	Cebus_capucinus_imitator
ENSMUSP00000085311	ENSMUSG00000067594	Mus_musculus_strain_reference_(CL57BL6)
ENSSTOP00000005843	ENSSTOG00000006531	Ictidomys_tridecemlineatus
ENSCAFP00020027668	ENSCAFG00020021721	Canis_lupus_dingo
ENSCPOP00000023489	ENSCPOG00000037096	Cavia_porcellus
ENSSDAP00000024523	ENSSDAG00000022316	Spermophilus_dauricus
ENSPTEP00000041599	ENSPTEG00000038060	Piliocolobus_tephrosceles
MGP_CAROLIEiJ_P0039936	MGP_CAROLIEiJ_G0020328	Mus_caroli_strain_CAROLI_EIJ
ENSPCAP00000005312	ENSPCAG00000005699	Procavia_capensis
ENSMLUP00000004943	ENSMLUG00000005410	Myotis_lucifugus
ENSVVUP00000039265	ENSVVUG00000027983	Vulpes_vulpes
ENSP00000342710	ENSG00000189182	Homo_sapiens
ENSPPYP00000005196	ENSPPYG00000004556	Pongo_abelii
ENSOPRP00000006533	ENSOPRG00000007139	Ochotona_princeps
ENSFCAP00000025612	ENSFCAG00000025851	Felis_catus
ENSNVIP00000030083	ENSNVIG00000023181	Neovison_vison
ENSOCUP00000003280	ENSOCUG00000031178	Oryctolagus_cuniculus
ENSSARP00000005979	ENSSARG00000006605	Sorex_araneus
ENSPEMP00000011682	ENSPEMG00000012246	Peromyscus_maniculatus_bairdii
ENSMNEP00000017014	ENSMNEG00000032517	Macaca_nemestrina
ENSOANP00000030601	ENSOANG00000031295	Ornithorhynchus_anatinus
ENSPPRP00000022580	ENSPPRG00000013042	Panthera_pardus
ENSANAP00000029438	ENSANAG00000032511	Aotus_nancymaae
ENSCANP00000030738	ENSCANG00000039042	Colobus_angolensis_palliatus
ENSUAMP00000029942	ENSUAMG00000023012	Ursus_americanus
ENSVURP00010015324	ENSVURG00010011731	Vombatus_ursinus
ENSOARP00000018133	ENSOARG00000016883	Ovis_aries
ENSPSMP00000005049	ENSPSMG00000003929	Prolemur_simus
MGP_PahariEiJ_P0043283	MGP_PahariEiJ_G0020327	Mus_pahari_strain_PAHARI_EIJ
ENSETEP00000011314	ENSETEG00000013943	Echinops_telfairi
ENSNLEP00000021531	ENSNLEG00000017736	Nomascus_leucogenys
ENSMAUP00000016912	ENSMAUG00000015920	Mesocricetus_auratus
ENSCHIP00000012642	ENSCHIG00000014337	Capra_hircus
ENSCSAP00000001937	ENSCSAG00000005634	Chlorocebus_sabaeus
ENSECAP00000006788	ENSECAG00000008673	Equus_caballus
ENSMPUP00000006694	ENSMPUG00000006748	Mustela_putorius_furo
ENSRNOP00000071144	ENSRNOG00000036865	Rattus_norvegicus
ENSFDAP00000011128	ENSFDAG00000018748	Fukomys_damarensis
ENSPANP00000001039	ENSPANG00000009757	Papio_anubis
ENSPTIP00000000203	ENSPTIG00000000510	Panthera_tigris_altaica
ENSMICP00000002032	ENSMICG00000002223	Microcebus_murinus
ENSBBBP00000012633	ENSBBBG00000000701	Bison_bison_bison
ENSJJAP00000010864	ENSJJAG00000014329	Jaculus_jaculus
ENSPTRP00000008500	ENSPTRG00000004988	Pan_troglodytes
ENSUPAP00010000133	ENSUPAG00010000135	Urocitellus_parryii
ENSPCOP00000007284	ENSPCOG00000014873	Propithecus_coquereli
ENSDORP00000019595	ENSDORG00000003118	Dipodomys_ordii	ENSDORT00000031656
ENSNGAP00000000749	ENSNGAG00000000566	Nannospalax_galili
ENSRBIP00000014541	ENSRBIG00000031374	Rhinopithecus_bieti
ENSPCIP00000043616	ENSPCIG00000009585	Phascolarctos_cinereus
ENSCGRP00015038308	ENSCGRG00015028630	Cricetulus_griseus_CriGri-PICR
ENSRROP00000022933	ENSRROG00000035323	Rhinopithecus_roxellana
ENSTGEP00000008258	ENSTGEG00000006742	Theropithecus_gelada
ENSBTAP00000066949	ENSBTAG00000045770	Bos_taurus
ENSMMUP00000056485	ENSMMUG00000045353	Macaca_mulatta
ENSODEP00000016203	ENSODEG00000011925	Octodon_degus
MGP_SPRETEiJ_P0041773	MGP_SPRETEiJ_G0021221	Mus_spretus_strain_SPRET/EiJ
