ENSCJPP00005012248	ENSCJPG00005010434	Coturnix_japonica
ENSACAP00000014354	ENSACAG00000014601	Anolis_carolinensis
ENSNLEP00000039043	ENSNLEG00000029078	Nomascus_leucogenys
ENSCANP00000009554	ENSCANG00000028204	Colobus_angolensis_palliatus
ENSVVUP00000036754	ENSVVUG00000026311	Vulpes_vulpes
ENSANAP00000027372	ENSANAG00000031524	Aotus_nancymaae
ENSSTOP00000028153	ENSSTOG00000030242	Ictidomys_tridecemlineatus
ENSPNYP00000023128	ENSPNYG00000017450	Pundamilia_nyererei
ENSRBIP00000032042	ENSRBIG00000039804	Rhinopithecus_bieti
ENSBMUP00000022036	ENSBMUG00000016594	Bos_mutus
ENSCGRP00001011114	ENSCGRG00001012844	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000015804	ENSPEMG00000015234	Peromyscus_maniculatus_bairdii
ENSBSLP00000029674	ENSBSLG00000014788	Betta_splendens
ENSSBOP00000016508	ENSSBOG00000024943	Saimiri_boliviensis_boliviensis
ENSMMUP00000080150	ENSMMUG00000052499	Macaca_mulatta
ENSCHIP00000005807	ENSCHIG00000009800	Capra_hircus
ENSTGEP00000006215	ENSTGEG00000005086	Theropithecus_gelada
ENSBIXP00005030787	ENSBIXG00005010978	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSUPAP00010027674	ENSUPAG00010021870	Urocitellus_parryii
ENSCCAP00000026209	ENSCCAG00000030899	Cebus_capucinus_imitator
ENSDORP00000020735	ENSDORG00000029715	Dipodomys_ordii
ENSTSYP00000034369	ENSTSYG00000025482	Carlito_syrichta
ENSLCAP00010052096	ENSLCAG00010024234	Lates_calcarifer
ENSCCAP00000016821	ENSCCAG00000026154	Cebus_capucinus_imitator
ENSSBOP00000004912	ENSSBOG00000019139	Saimiri_boliviensis_boliviensis
ENSMUNP00000017129	ENSMUNG00000013164	Melopsittacus_undulatus
ENSPTEP00000007487	ENSPTEG00000008520	Piliocolobus_tephrosceles
ENSCINP00000015550	ENSCING00000011298	Ciona_intestinalis
ENSCHIP00000005399	ENSCHIG00000009524	Capra_hircus
ENSMAUP00000007995	ENSMAUG00000009532	Mesocricetus_auratus
ENSSFOP00015029852	ENSSFOG00015019169	Scleropages_formosus
ENSRNOP00000049546	ENSRNOG00000031041	Rattus_norvegicus
ENSSLDP00000009920	ENSSLDG00000007876	Seriola_lalandi_dorsalis
ENSMICP00000026244	ENSMICG00000026970	Microcebus_murinus
ENSUAMP00000030383	ENSUAMG00000023326	Ursus_americanus
ENSSDUP00000020486	ENSSDUG00000014906	Seriola_dumerili
ENSEASP00005023439	ENSEASG00005015959	Equus_asinus_asinus
ENSOMEP00000018413	ENSOMEG00000020132	Oryzias_melastigma
ENSPFOP00000006947	ENSPFOG00000007003	Poecilia_formosa
ENSMEUP00000007273	ENSMEUG00000007969	Notamacropus_eugenii
ENSMSIP00000006125	ENSMSIG00000005481	Mus_spicilegus
ENSCHOP00000002206	ENSCHOG00000002488	Choloepus_hoffmanni
ENSPPRP00000013744	ENSPPRG00000006853	Panthera_pardus
ENSBMUP00000002744	ENSBMUG00000002158	Bos_mutus
ENSMMUP00000081194	ENSMMUG00000038824	Macaca_mulatta
ENSCCAP00000010950	ENSCCAG00000023203	Cebus_capucinus_imitator
ENSTSYP00000033757	ENSTSYG00000033830	Carlito_syrichta
ENSCGRP00000007175	ENSCGRG00000005216	Cricetulus_griseus_CriGri_1.0
ENSSPUP00000007521	ENSSPUG00000005808	Sphenodon_punctatus
ENSPVIP00000021037	ENSPVIG00000015994	Pogona_vitticeps
ENSAOCP00000029194	ENSAOCG00000019356	Amphiprion_ocellaris
ENSAMXP00005011861	ENSAMXG00005006432	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
MGP_SPRETEiJ_P0096143	MGP_SPRETEiJ_G0034462	Mus_spretus_strain_SPRET/EiJ
ENSMPUP00000005256	ENSMPUG00000005294	Mustela_putorius_furo
ENSCGRP00000010549	ENSCGRG00000007744	Cricetulus_griseus_CriGri_1.0
ENSMAMP00000015362	ENSMAMG00000010421	Mastacembelus_armatus
ENSMICP00000044702	ENSMICG00000044091	Microcebus_murinus
YJR145C_mRNA	YJR145C	Saccharomyces_cerevisiae_strain_S288C
ENSCAFP00000038868	ENSCAFG00000029124	Canis_lupus_familiaris
ENSLSDP00000001991	ENSLSDG00000001573	Lonchura_striata_domestica
ENSBTAP00000050594	ENSBTAG00000040167	Bos_taurus
ENSCHIP00000030421	ENSCHIG00000025186	Capra_hircus
ENSMLUP00000010645	ENSMLUG00000011685	Myotis_lucifugus
ENSECRP00000014315	ENSECRG00000009548	Erpetoichthys_calabaricus
ENSPREP00000008510	ENSPREG00000005808	Poecilia_reticulata
ENSBBBP00000021468	ENSBBBG00000003726	Bison_bison_bison
ENSMNEP00000003003	ENSMNEG00000013897	Macaca_nemestrina
ENSBIXP00005024070	ENSBIXG00005004565	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMMMP00000010449	ENSMMMG00000009294	Marmota_marmota_marmota
ENSNSUP00000001203	ENSNSUG00000001081	Notechis_scutatus
ENSMICP00000015129	ENSMICG00000016606	Microcebus_murinus
ENSBBBP00000004312	ENSBBBG00000002674	Bison_bison_bison
ENSLBEP00000022002	ENSLBEG00000016895	Labrus_bergylta
ENSAMXP00000013653	ENSAMXG00000013268	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000013653
ENSANAP00000017619	ENSANAG00000026660	Aotus_nancymaae
ENSPTRP00000091304	ENSPTRG00000045502	Pan_troglodytes
ENSJJAP00000002463	ENSJJAG00000004203	Jaculus_jaculus
ENSPCIP00000012880	ENSPCIG00000035971	Phascolarctos_cinereus
