ENSCAFP00000063683	ENSCAFG00000047448	Canis_lupus_familiaris
ENSCAFP00020029397	ENSCAFG00020022937	Canis_lupus_dingo
ENSVVUP00000023299	ENSVVUG00000017075	Vulpes_vulpes
ENSECAP00000032681	ENSECAG00000038087	Equus_caballus
ENSPPRP00000007251	ENSPPRG00000002448	Panthera_pardus
ENSMNEP00000001950	ENSMNEG00000008865	Macaca_nemestrina
ENSPANP00000027997	ENSPANG00000032425	Papio_anubis
ENSTGEP00000021979	ENSTGEG00000017756	Theropithecus_gelada
ENSMLEP00000004632	ENSMLEG00000021034	Mandrillus_leucophaeus
ENSCATP00000007663	ENSCATG00000022770	Cercocebus_atys
ENSPTEP00000028995	ENSPTEG00000028491	Piliocolobus_tephrosceles
ENSANAP00000040508	ENSANAG00000037611	Aotus_nancymaae
ENSSBOP00000029193	ENSSBOG00000030939	Saimiri_boliviensis_boliviensis
