ENSMMMP00000004929	ENSMMMG00000004506	Marmota_marmota_marmota
MGP_SPRETEiJ_P0074677	MGP_SPRETEiJ_G0028954	Mus_spretus_strain_SPRET/EiJ
ENSAMXP00000040453	ENSAMXG00000037837	Astyanax_mexicanus_Astyanax_mexicanus-2.0
MGP_PahariEiJ_P0060072	MGP_PahariEiJ_G0024522	Mus_pahari_strain_PAHARI_EIJ
ENSLCOP00000001898	ENSLCOG00000001502	Lepidothrix_coronata	ENSLCOT00000002033
ENSCPUP00000004129	ENSCPUG00000003088	Calidris_pugnax	ENSCPUT00000005003
ENSABRP00000006829	ENSABRG00000006271	Anser_brachyrhynchus
ENSCABP00000011774	ENSCABG00000008791	Chelonoidis_abingdonii
ENSCAFP00020026466	ENSCAFG00020020798	Canis_lupus_dingo
ENSBMUP00000026073	ENSBMUG00000019542	Bos_mutus
ENSP00000481185	ENSG00000275572	Homo_sapiens
ENSLOCP00000004979	ENSLOCG00000004164	Lepisosteus_oculatus
ENSMSIP00000035875	ENSMSIG00000029860	Mus_spicilegus
ENSGAGP00000030569	ENSGAGG00000022018	Gopherus_agassizii
ENSCPGP00000010049	ENSCPGG00000007137	Calidris_pygmaea	ENSCPGT00000011029
ENSZALP00000006256	ENSZALG00000005739	Zonotrichia_albicollis
ENSPPRP00000005853	ENSPPRG00000001478	Panthera_pardus
ENSSCAP00000012495	ENSSCAG00000009328	Serinus_canaria
ENSNMEP00000009347	ENSNMEG00000009081	Numida_meleagris
ENSCGRP00015016889	ENSCGRG00015012981	Cricetulus_griseus_CriGri-PICR
ENSCPBP00000029356	ENSCPBG00000020688	Chrysemys_picta_bellii
ENSCCAP00000037342	ENSCCAG00000036538	Cebus_capucinus_imitator
ENSRBIP00000018751	ENSRBIG00000033372	Rhinopithecus_bieti
ENSCPRP00005023618	ENSCPRG00005016408	Crocodylus_porosus
ENSCATP00000007882	ENSCATG00000023329	Cercocebus_atys
ENSAOWP00000025693	ENSAOWG00000017365	Apteryx_owenii	ENSAOWT00000029109
ENSFALP00000014505	ENSFALG00000013903	Ficedula_albicollis
ENSMMUP00000025211	ENSMMUG00000019181	Macaca_mulatta
ENSPPYP00000019404	ENSPPYG00000017316	Pongo_abelii
ENSVURP00010025034	ENSVURG00010019182	Vombatus_ursinus
ENSLACP00000014644	ENSLACG00000012892	Latimeria_chalumnae
ENSNLEP00000026524	ENSNLEG00000027995	Nomascus_leucogenys
ENSMLEP00000000135	ENSMLEG00000000259	Mandrillus_leucophaeus
ENSCPOP00000018442	ENSCPOG00000027408	Cavia_porcellus
ENSJJAP00000006892	ENSJJAG00000011438	Jaculus_jaculus
ENSCJAP00000049359	ENSCJAG00000032441	Callithrix_jacchus
ENSCCNP00000015761	ENSCCNG00000016149	Castor_canadensis
ENSPSIP00000007389	ENSPSIG00000006808	Pelodiscus_sinensis
ENSUPAP00010000274	ENSUPAG00010000267	Urocitellus_parryii
ENSRROP00000007472	ENSRROG00000027568	Rhinopithecus_roxellana
ENSJHYP00000008690	ENSJHYG00000006894	Junco_hyemalis
ENSECRP00000017178	ENSECRG00000011439	Erpetoichthys_calabaricus
ENSPKIP00000028494	ENSPKIG00000010123	Paramormyrops_kingsleyae
ENSMPUP00000017828	ENSMPUG00000017938	Mustela_putorius_furo
ENSGGOP00000025298	ENSGGOG00000026562	Gorilla_gorilla
ENSLAFP00000027231	ENSLAFG00000028381	Loxodonta_africana
MGP_CAROLIEiJ_P0071860	MGP_CAROLIEiJ_G0027950	Mus_caroli_strain_CAROLI_EIJ
ENSECAP00000031281	ENSECAG00000036495	Equus_caballus
ENSBTAP00000027839	ENSBTAG00000020896	Bos_taurus
ENSCMIP00000041301	ENSCMIG00000017216	Callorhinchus_milii
ENSDCDP00000017961	ENSDCDG00000014560	Denticeps_clupeoides
ENSSPUP00000002573	ENSSPUG00000001984	Sphenodon_punctatus
ENSDCDP00000050637	ENSDCDG00000030850	Denticeps_clupeoides
ENSCHIP00000014329	ENSCHIG00000015408	Capra_hircus
ENSAMEP00000017015	ENSAMEG00000016121	Ailuropoda_melanoleuca
ENSPPAP00000005345	ENSPPAG00000022159	Pan_paniscus
ENSPANP00000017996	ENSPANG00000009858	Papio_anubis
