ENSPCAP00000014492	ENSPCAG00000015509	Procavia_capensis
ENSLAFP00000020933	ENSLAFG00000027814	Loxodonta_africana
ENSETEP00000010720	ENSETEG00000013217	Echinops_telfairi
ENSCPOP00000013391	ENSCPOG00000014862	Cavia_porcellus
ENSCAPP00000010855	ENSCAPG00000012032	Cavia_aperea
ENSODEP00000024471	ENSODEG00000017911	Octodon_degus
ENSCLAP00000024443	ENSCLAG00000016783	Chinchilla_lanigera
ENSHGLP00000009233	ENSHGLG00000006629	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100007373	ENSHGLG00100005520	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000019156	ENSFDAG00000009337	Fukomys_damarensis
ENSSDAP00000014262	ENSSDAG00000012845	Spermophilus_dauricus
ENSSTOP00000027671	ENSSTOG00000011042	Ictidomys_tridecemlineatus
ENSUPAP00010011075	ENSUPAG00010008868	Urocitellus_parryii
ENSMMMP00000024615	ENSMMMG00000021525	Marmota_marmota_marmota
ENSCCNP00000025080	ENSCCNG00000024488	Castor_canadensis
ENSDORP00000002355	ENSDORG00000002509	Dipodomys_ordii
ENSCGRP00015021962	ENSCGRG00015016452	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000019915	ENSCGRG00000014497	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001028142	ENSCGRG00001024946	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000016610	ENSMAUG00000015677	Mesocricetus_auratus
ENSPEMP00000015594	ENSPEMG00000015050	Peromyscus_maniculatus_bairdii
ENSMOCP00000017392	ENSMOCG00000015995	Microtus_ochrogaster
MGP_SPRETEiJ_P0049537	MGP_SPRETEiJ_G0023451	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000112262	ENSMUSG00000024862	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000004674	ENSMSIG00000004146	Mus_spicilegus
MGP_CAROLIEiJ_P0047573	MGP_CAROLIEiJ_G0022537	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0020587	MGP_PahariEiJ_G0014034	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000050555	ENSRNOG00000020299	Rattus_norvegicus
ENSMUGP00000005254	ENSMUGG00000004754	Meriones_unguiculatus
ENSNGAP00000014069	ENSNGAG00000015461	Nannospalax_galili
ENSJJAP00000018438	ENSJJAG00000019707	Jaculus_jaculus
ENSOPRP00000015296	ENSOPRG00000016749	Ochotona_princeps
ENSTBEP00000003939	ENSTBEG00000004563	Tupaia_belangeri
ENSPPAP00000034012	ENSPPAG00000039765	Pan_paniscus	ENSPPAT00000056893
ENSPTRP00000006747	ENSPTRG00000003914	Pan_troglodytes	ENSPTRT00000007313
ENSP00000399403	ENSG00000174996	Homo_sapiens
ENSGGOP00000047527	ENSGGOG00000043473	Gorilla_gorilla
ENSPPYP00000003508	ENSPPYG00000003032	Pongo_abelii
ENSNLEP00000007330	ENSNLEG00000006033	Nomascus_leucogenys
ENSMNEP00000026254	ENSMNEG00000036549	Macaca_nemestrina
ENSMMUP00000037580	ENSMMUG00000022520	Macaca_mulatta
ENSMFAP00000026853	ENSMFAG00000044640	Macaca_fascicularis
ENSPANP00000007559	ENSPANG00000012186	Papio_anubis
ENSTGEP00000008700	ENSTGEG00000007128	Theropithecus_gelada
ENSCATP00000027481	ENSCATG00000037098	Cercocebus_atys
ENSMLEP00000006890	ENSMLEG00000027022	Mandrillus_leucophaeus
ENSCSAP00000004400	ENSCSAG00000008140	Chlorocebus_sabaeus
ENSRBIP00000000858	ENSRBIG00000003655	Rhinopithecus_bieti
ENSRROP00000023731	ENSRROG00000035694	Rhinopithecus_roxellana
ENSPTEP00000035023	ENSPTEG00000033129	Piliocolobus_tephrosceles
ENSCANP00000029693	ENSCANG00000038305	Colobus_angolensis_palliatus
