ENSECAP00000050618	ENSECAG00000042307	Equus_caballus
ENSEASP00005019908	ENSEASG00005013731	Equus_asinus_asinus
ENSSARP00000002269	ENSSARG00000002527	Sorex_araneus
ENSMLUP00000005992	ENSMLUG00000006559	Myotis_lucifugus
ENSPVAP00000015049	ENSPVAG00000015948	Pteropus_vampyrus
ENSAMEP00000013398	ENSAMEG00000012734	Ailuropoda_melanoleuca
ENSUAMP00000030565	ENSUAMG00000023472	Ursus_americanus
ENSNVIP00000009683	ENSNVIG00000007657	Neovison_vison
ENSMPUP00000006126	ENSMPUG00000006178	Mustela_putorius_furo
ENSCAFP00000006885	ENSCAFG00000004614	Canis_lupus_familiaris
ENSCAFP00020015454	ENSCAFG00020012416	Canis_lupus_dingo
ENSVVUP00000011261	ENSVVUG00000008290	Vulpes_vulpes
ENSPTIP00000024536	ENSPTIG00000020606	Panthera_tigris_altaica
ENSPPRP00000019428	ENSPPRG00000010783	Panthera_pardus
ENSFCAP00000004430	ENSFCAG00000004795	Felis_catus
ENSCHIP00000028222	ENSCHIG00000023824	Capra_hircus	ENSCHIT00000036091
ENSOARP00000010160	ENSOARG00000009464	Ovis_aries	ENSOART00000010308
ENSBIXP00000034302	ENSBIXG00000002866	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005017746	ENSBIXG00005021223	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000027391	ENSBTAG00000020556	Bos_taurus
ENSBMUP00000026501	ENSBMUG00000019911	Bos_mutus
ENSBBBP00000022005	ENSBBBG00000007562	Bison_bison_bison
ENSTTRP00000008254	ENSTTRG00000008710	Tursiops_truncatus
ENSVPAP00000010179	ENSVPAG00000010932	Vicugna_pacos
ENSP00000467185	ENSG00000224916	Homo_sapiens
ENSP00000468236	ENSG00000267467	Homo_sapiens
ENSPTRP00000048631	ENSPTRG00000033962	Pan_troglodytes
ENSNLEP00000002111	ENSNLEG00000001763	Nomascus_leucogenys
ENSRBIP00000031718	ENSRBIG00000039672	Rhinopithecus_bieti
ENSRROP00000015344	ENSRROG00000031862	Rhinopithecus_roxellana
ENSCANP00000010878	ENSCANG00000028852	Colobus_angolensis_palliatus
ENSPTEP00000038685	ENSPTEG00000035910	Piliocolobus_tephrosceles
ENSMMUP00000072889	ENSMMUG00000002471	Macaca_mulatta
ENSMFAP00000026698	ENSMFAG00000044777	Macaca_fascicularis
ENSMNEP00000024766	ENSMNEG00000035912	Macaca_nemestrina
ENSTGEP00000024169	ENSTGEG00000019565	Theropithecus_gelada
