ENSSSCP00000045760	ENSSSCG00000005967	Sus_scrofa_strain_reference
ENSAMXP00000025840	ENSAMXG00000025134	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPCIP00000018210	ENSPCIG00000013931	Phascolarctos_cinereus
ENSPNAP00000034996	ENSPNAG00000024628	Pygocentrus_nattereri
ENSPMJP00000014955	ENSPMJG00000011336	Parus_major
ENSAMXP00000047310	ENSAMXG00000031778	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSELUP00000027160	ENSELUG00000003267	Esox_lucius
ENSBIXP00005026218	ENSBIXG00005028575	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMUNP00000022265	ENSMUNG00000016741	Melopsittacus_undulatus
ENSPPRP00000002010	ENSPPRG00000023723	Panthera_pardus
ENSELUP00000037209	ENSELUG00000016790	Esox_lucius
ENSGAFP00000016942	ENSGAFG00000011441	Gambusia_affinis
ENSAOCP00000004469	ENSAOCG00000000446	Amphiprion_ocellaris
ENSPNYP00000014160	ENSPNYG00000010751	Pundamilia_nyererei
ENSPMGP00000026624	ENSPMGG00000021472	Periophthalmus_magnuspinnatus
ENSIPUP00000003471	ENSIPUG00000002476	Ictalurus_punctatus
ENSMMOP00000025165	ENSMMOG00000019115	Mola_mola
ENSSDUP00000017428	ENSSDUG00000012742	Seriola_dumerili
ENSMALP00000021112	ENSMALG00000014745	Monopterus_albus
ENSDARP00000058942	ENSDARG00000040280	Danio_rerio
ENSATEP00000021073	ENSATEG00000014651	Anabas_testudineus
ENSORLP00000015444	ENSORLG00000012339	Oryzias_latipes_ASM223467v1
ENSMOCP00000000289	ENSMOCG00000000246	Microtus_ochrogaster
ENSTGEP00000013115	ENSTGEG00000010675	Theropithecus_gelada
ENSSLDP00000014261	ENSSLDG00000011397	Seriola_lalandi_dorsalis
ENSCAFP00020008147	ENSCAFG00020006594	Canis_lupus_dingo
ENSVURP00010017753	ENSVURG00010013568	Vombatus_ursinus
ENSLCRP00005048519	ENSLCRG00005018326	Larimichthys_crocea
ENSFDAP00000008993	ENSFDAG00000017112	Fukomys_damarensis
MGP_PahariEiJ_P0041670	MGP_PahariEiJ_G0019840	Mus_pahari_strain_PAHARI_EIJ
ENSHGLP00000022767	ENSHGLG00000016236	Heterocephalus_glaber_HetGla_female_1.0
ENSMGAP00000016813	ENSMGAG00000015872	Meleagris_gallopavo
ENSORLP00020019320	ENSORLG00020020322	Oryzias_latipes_ASM223471v1
ENSCVAP00000017985	ENSCVAG00000021168	Cyprinodon_variegatus
ENSGMOP00000004704	ENSGMOG00000004433	Gadus_morhua
ENSCABP00000001664	ENSCABG00000001351	Chelonoidis_abingdonii
ENSMZEP00005006576	ENSMZEG00005005078	Maylandia_zebra
ENSPPAP00000002568	ENSPPAG00000011295	Pan_paniscus	ENSPPAT00000012280
ENSPRNP00000018101	ENSPRNG00000009537	Parambassis_ranga
ENSPMEP00000019333	ENSPMEG00000022336	Poecilia_mexicana
ENSHHUP00000001275	ENSHHUG00000000839	Hucho_hucho
ENSVURP00010015227	ENSVURG00010011661	Vombatus_ursinus
