MGP_SPRETEiJ_P0059596	MGP_SPRETEiJ_G0025866	Mus_spretus_strain_SPRET/EiJ
ENSXMAP00000029685	ENSXMAG00000000611	Xiphophorus_maculatus
ENSPEMP00000014343	ENSPEMG00000014164	Peromyscus_maniculatus_bairdii
ENSDNOP00000009368	ENSDNOG00000012070	Dasypus_novemcinctus
ENSRNOP00000018942	ENSRNOG00000013293	Rattus_norvegicus
ENSBIXP00005015896	ENSBIXG00005019762	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCCAP00000011000	ENSCCAG00000023260	Cebus_capucinus_imitator
ENSP00000265594	ENSG00000078070	Homo_sapiens
ENSORLP00000026750	ENSORLG00000011678	Oryzias_latipes_ASM223467v1
ENSEBUP00000026386	ENSEBUG00000016250	Eptatretus_burgeri
ENSPCIP00000016962	ENSPCIG00000013027	Phascolarctos_cinereus
ENSIPUP00000036747	ENSIPUG00000024615	Ictalurus_punctatus
ENSOPRP00000006654	ENSOPRG00000007258	Ochotona_princeps
ENSTGEP00000030800	ENSTGEG00000024690	Theropithecus_gelada
ENSCGRP00000003549	ENSCGRG00000002616	Cricetulus_griseus_CriGri_1.0
ENSPTEP00000028630	ENSPTEG00000028219	Piliocolobus_tephrosceles
ENSRROP00000035543	ENSRROG00000041247	Rhinopithecus_roxellana
ENSOCUP00000010670	ENSOCUG00000012393	Oryctolagus_cuniculus
ENSCCAP00000031297	ENSCCAG00000033701	Cebus_capucinus_imitator
ENSVVUP00000009152	ENSVVUG00000006835	Vulpes_vulpes
ENSTGUP00000010843	ENSTGUG00000010506	Taeniopygia_guttata
ENSAMEP00000016882	ENSAMEG00000015967	Ailuropoda_melanoleuca
ENSSARP00000005376	ENSSARG00000005914	Sorex_araneus
ENSCHOP00000006310	ENSCHOG00000007104	Choloepus_hoffmanni
ENSHGLP00100020750	ENSHGLG00100015295	Heterocephalus_glaber_HetGla_1.0
ENSCHIP00000031474	ENSCHIG00000025794	Capra_hircus
ENSBTAP00000008604	ENSBTAG00000006548	Bos_taurus
ENSABRP00000010289	ENSABRG00000008569	Anser_brachyrhynchus
ENSOARP00000022203	ENSOARG00000020660	Ovis_aries
ENSSBOP00000019254	ENSSBOG00000026219	Saimiri_boliviensis_boliviensis
ENSAMXP00000001585	ENSAMXG00000001531	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000001585
ENSPMJP00000002351	ENSPMJG00000001932	Parus_major
ENSCSAVP00000012016	ENSCSAVG00000007062	Ciona_savignyi
ENSCHAP00000036416	ENSCHAG00000014442	Clupea_harengus	ENSCHAT00000039430
ENSMAUP00000021104	ENSMAUG00000018926	Mesocricetus_auratus
ENSSTOP00000009303	ENSSTOG00000010361	Ictidomys_tridecemlineatus
ENSGAGP00000000940	ENSGAGG00000000770	Gopherus_agassizii
ENSCPRP00005015202	ENSCPRG00005010677	Crocodylus_porosus
ENSPFOP00000019293	ENSPFOG00000019171	Poecilia_formosa
ENSPVIP00000021183	ENSPVIG00000016112	Pogona_vitticeps
ENSGWIP00000025002	ENSGWIG00000012874	Gouania_willdenowi
ENSNMEP00000022595	ENSNMEG00000019328	Numida_meleagris
ENSLOCP00000000870	ENSLOCG00000000778	Lepisosteus_oculatus
ENSPPYP00000016028	ENSPPYG00000014331	Pongo_abelii
ENSHHUP00000053108	ENSHHUG00000031545	Hucho_hucho
ENSPPRP00000003792	ENSPPRG00000000127	Panthera_pardus
ENSBBBP00000007628	ENSBBBG00000015686	Bison_bison_bison
ENSLAFP00000015111	ENSLAFG00000018018	Loxodonta_africana
ENSLBEP00000002299	ENSLBEG00000001741	Labrus_bergylta
ENSCCEP00000011887	ENSCCEG00000011529	Cyanistes_caeruleus
FBpp0300203	FBgn0039877	Drosophila_melanogaster
ENSPRNP00000045672	ENSPRNG00000022081	Parambassis_ranga
ENSEASP00005023509	ENSEASG00005015339	Equus_asinus_asinus
F32B6.2.1	WBGene00009319	Caenorhabditis_elegans_strain_N2
ENSDORP00000016999	ENSDORG00000000473	Dipodomys_ordii
ENSSFOP00015012087	ENSSFOG00015007784	Scleropages_formosus
ENSACIP00000030113	ENSACIG00000023146	Amphilophus_citrinellus
ENSCCNP00000012884	ENSCCNG00000013369	Castor_canadensis
ENSECRP00000018134	ENSECRG00000012124	Erpetoichthys_calabaricus
ENSJJAP00000002193	ENSJJAG00000003543	Jaculus_jaculus
ENSCAFP00020001102	ENSCAFG00020001000	Canis_lupus_dingo
ENSMEUP00000007444	ENSMEUG00000008141	Notamacropus_eugenii
ENSCABP00000017661	ENSCABG00000013122	Chelonoidis_abingdonii
ENSMUSP00000029259	ENSMUSG00000027709	Mus_musculus_strain_reference_(CL57BL6)
ENSGGOP00000049803	ENSGGOG00000002784	Gorilla_gorilla
ENSKMAP00000011669	ENSKMAG00000008763	Kryptolebias_marmoratus
ENSFHEP00000002486	ENSFHEG00000003581	Fundulus_heteroclitus
ENSFCAP00000000874	ENSFCAG00000000940	Felis_catus
ENSMLUP00000021666	ENSMLUG00000030238	Myotis_lucifugus
ENSMODP00000026614	ENSMODG00000021288	Monodelphis_domestica
ENSMUNP00000010254	ENSMUNG00000008104	Melopsittacus_undulatus
ENSELUP00000009719	ENSELUG00000010299	Esox_lucius
ENSNVIP00000020831	ENSNVIG00000016260	Neovison_vison
ENSBMUP00000023746	ENSBMUG00000017803	Bos_mutus
ENSHHUP00000080756	ENSHHUG00000046781	Hucho_hucho
ENSPKIP00000006413	ENSPKIG00000022682	Paramormyrops_kingsleyae
ENSEEEP00000025660	ENSEEEG00000011984	Electrophorus_electricus
ENSCGRP00001010645	ENSCGRG00001012469	Cricetulus_griseus_CHOK1GS_HDv1
ENSJHYP00000009928	ENSJHYG00000007821	Junco_hyemalis
ENSACAP00000007324	ENSACAG00000007450	Anolis_carolinensis
ENSMLEP00000030471	ENSMLEG00000039351	Mandrillus_leucophaeus
ENSPNAP00000035217	ENSPNAG00000025069	Pygocentrus_nattereri
ENSSMRP00000030771	ENSSMRG00000023596	Salvator_merianae
ENSGMOP00000009124	ENSGMOG00000008521	Gadus_morhua
ENSECAP00000006747	ENSECAG00000008214	Equus_caballus
ENSMZEP00005020710	ENSMZEG00005015532	Maylandia_zebra
ENSPMEP00000003156	ENSPMEG00000000664	Poecilia_mexicana
ENSLCRP00005045423	ENSLCRG00005015122	Larimichthys_crocea
ENSSHAP00000018972	ENSSHAG00000016104	Sarcophilus_harrisii
ENSCANP00000028849	ENSCANG00000037917	Colobus_angolensis_palliatus
ENSODEP00000016681	ENSODEG00000012286	Octodon_degus
ENSSPUP00000018632	ENSSPUG00000014366	Sphenodon_punctatus
ENSSMAP00000032123	ENSSMAG00000019667	Scophthalmus_maximus
ENSGALP00000032512	ENSGALG00000008785	Gallus_gallus
ENSBSLP00000005972	ENSBSLG00000002699	Betta_splendens
ENSMAMP00000018580	ENSMAMG00000012532	Mastacembelus_armatus
ENSMNEP00000003785	ENSMNEG00000017163	Macaca_nemestrina
ENSARWP00000006325	ENSARWG00000004485	Apteryx_rowi
ENSCPOP00000009761	ENSCPOG00000010866	Cavia_porcellus
ENSMICP00000050967	ENSMICG00000048884	Microcebus_murinus
ENSPVAP00000012672	ENSPVAG00000013436	Pteropus_vampyrus
ENSCPGP00000020123	ENSCPGG00000014105	Calidris_pygmaea
ENSCPUP00000020406	ENSCPUG00000013957	Calidris_pugnax
ENSCJAP00000068031	ENSCJAG00000005103	Callithrix_jacchus
ENSTTRP00000015658	ENSTTRG00000016518	Tursiops_truncatus
ENSTNIP00000003163	ENSTNIG00000006778	Tetraodon_nigroviridis
ENSDNVP00000024666	ENSDNVG00000017142	Dromaius_novaehollandiae
ENSAMXP00005043355	ENSAMXG00005018652	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAOWP00000024535	ENSAOWG00000016574	Apteryx_owenii
ENSRBIP00000029696	ENSRBIG00000038726	Rhinopithecus_bieti
ENSTBEP00000006926	ENSTBEG00000007988	Tupaia_belangeri
ENSMFAP00000001466	ENSMFAG00000000043	Macaca_fascicularis
MGP_CAROLIEiJ_P0057336	MGP_CAROLIEiJ_G0024932	Mus_caroli_strain_CAROLI_EIJ
ENSNPEP00000003809	ENSNPEG00000002908	Nothoprocta_perdicaria
ENSUMAP00000009136	ENSUMAG00000006927	Ursus_maritimus
ENSPTRP00000026948	ENSPTRG00000015662	Pan_troglodytes
ENSONIP00000010553	ENSONIG00000008395	Oreochromis_niloticus
