ENSCHIP00000012454	ENSCHIG00000014214	Capra_hircus	ENSCHIT00000020244
ENSPEMP00000035064	ENSPEMG00000025743	Peromyscus_maniculatus_bairdii
ENSBMUP00000022109	ENSBMUG00000016647	Bos_mutus	ENSBMUT00000025499
ENSCCNP00000008416	ENSCCNG00000008925	Castor_canadensis
ENSMUSP00000130884	ENSMUSG00000091680	Mus_musculus_strain_reference_(CL57BL6)
ENSSDAP00000009832	ENSSDAG00000008951	Spermophilus_dauricus
ENSCGRP00000026753	ENSCGRG00000019844	Cricetulus_griseus_CriGri_1.0
ENSPTRP00000067116	ENSPTRG00000029392	Pan_troglodytes
ENSMSIP00000026745	ENSMSIG00000022560	Mus_spicilegus
ENSBIXP00005004166	ENSBIXG00005010154	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCJAP00000035627	ENSCJAG00000019187	Callithrix_jacchus
ENSLAFP00000027910	ENSLAFG00000026031	Loxodonta_africana
ENSVURP00010007173	ENSVURG00010005575	Vombatus_ursinus
MGP_CAROLIEiJ_P0039475	MGP_CAROLIEiJ_G0020167	Mus_caroli_strain_CAROLI_EIJ
ENSDNOP00000019735	ENSDNOG00000044024	Dasypus_novemcinctus
ENSODEP00000021705	ENSODEG00000015964	Octodon_degus
MGP_SPRETEiJ_P0041291	MGP_SPRETEiJ_G0021064	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0042825	MGP_PahariEiJ_G0020172	Mus_pahari_strain_PAHARI_EIJ
ENSMODP00000054067	ENSMODG00000047615	Monodelphis_domestica
ENSSARP00000011791	ENSSARG00000013065	Sorex_araneus
ENSPPAP00000000558	ENSPPAG00000002186	Pan_paniscus
ENSMUGP00000016165	ENSMUGG00000013875	Meriones_unguiculatus
ENSOCUP00000018008	ENSOCUG00000017268	Oryctolagus_cuniculus
ENSUPAP00010007837	ENSUPAG00010006327	Urocitellus_parryii
ENSPTEP00000008556	ENSPTEG00000009713	Piliocolobus_tephrosceles
ENSSHAP00000003615	ENSSHAG00000003175	Sarcophilus_harrisii
ENSCGRP00015031338	ENSCGRG00015023641	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001008178	ENSCGRG00001010512	Cricetulus_griseus_CHOK1GS_HDv1
ENSMICP00000019262	ENSMICG00000031623	Microcebus_murinus
ENSECAP00000001112	ENSECAG00000001641	Equus_caballus
ENSFCAP00000057342	ENSFCAG00000013036	Felis_catus
ENSPVAP00000008507	ENSPVAG00000009020	Pteropus_vampyrus	ENSPVAT00000009019
ENSHGLP00000006605	ENSHGLG00000004829	Heterocephalus_glaber_HetGla_female_1.0
ENSMLUP00000016302	ENSMLUG00000005947	Myotis_lucifugus	ENSMLUT00000005946
ENSPPYP00000013378	ENSPPYG00000011993	Pongo_abelii
ENSBIXP00000004661	ENSBIXG00000006614	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSRNOP00000049515	ENSRNOG00000032419	Rattus_norvegicus
ENSOPRP00000015929	ENSOPRG00000002991	Ochotona_princeps
ENSUAMP00000002122	ENSUAMG00000001967	Ursus_americanus
ENSTSYP00000030045	ENSTSYG00000036295	Carlito_syrichta
ENSCSAP00000018801	ENSCSAG00000019291	Chlorocebus_sabaeus
ENSCPOP00000026625	ENSCPOG00000029990	Cavia_porcellus
ENSSSCP00000001028	ENSSSCG00000000960	Sus_scrofa_strain_reference
ENSTGEP00000001018	ENSTGEG00000000966	Theropithecus_gelada
ENSOANP00000002973	ENSOANG00000001874	Ornithorhynchus_anatinus
ENSGGOP00000002803	ENSGGOG00000002851	Gorilla_gorilla
ENSBTAP00000054106	ENSBTAG00000046800	Bos_taurus	ENSBTAT00000063783
ENSOGAP00000020218	ENSOGAG00000029834	Otolemur_garnettii
ENSMEUP00000004089	ENSMEUG00000004486	Notamacropus_eugenii
ENSP00000497256	ENSG00000130487	Homo_sapiens
ENSOARP00000021384	ENSOARG00000019917	Ovis_aries	ENSOART00000021684
ENSPCOP00000000388	ENSPCOG00000001058	Propithecus_coquereli
ENSMMMP00000005758	ENSMMMG00000005199	Marmota_marmota_marmota
ENSAMEP00000003029	ENSAMEG00000002888	Ailuropoda_melanoleuca
