ENSPVIP00000029129	ENSPVIG00000021515	Pogona_vitticeps	ENSPVIT00000035705
ENSSMRP00000001491	ENSSMRG00000001300	Salvator_merianae	ENSSMRT00000001788
ENSCCNP00000006591	ENSCCNG00000006979	Castor_canadensis	ENSCCNT00000008672
ENSDORP00000006132	ENSDORG00000006545	Dipodomys_ordii	ENSDORT00000006546
ENSMSIP00000004606	ENSMSIG00000004145	Mus_spicilegus	ENSMSIT00000005860
MGP_SPRETEiJ_P0069546	MGP_SPRETEiJ_G0028005	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000143083	ENSMUSG00000038276	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0066923	MGP_CAROLIEiJ_G0027009	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0048371	MGP_PahariEiJ_G0021782	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000011300	ENSRNOG00000008380	Rattus_norvegicus
ENSMUGP00000010820	ENSMUGG00000009486	Meriones_unguiculatus
ENSCGRP00015009101	ENSCGRG00015007004	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001000378	ENSCGRG00001000304	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000017426	ENSCGRG00000012672	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000019073	ENSMAUG00000017454	Mesocricetus_auratus
ENSMOCP00000016752	ENSMOCG00000015562	Microtus_ochrogaster
ENSPEMP00000016046	ENSPEMG00000015399	Peromyscus_maniculatus_bairdii
ENSNGAP00000004565	ENSNGAG00000006056	Nannospalax_galili
ENSJJAP00000024336	ENSJJAG00000023829	Jaculus_jaculus
ENSHGLP00100021523	ENSHGLG00100015840	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000012893	ENSHGLG00000009218	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000017627	ENSFDAG00000006167	Fukomys_damarensis
ENSCLAP00000001715	ENSCLAG00000001280	Chinchilla_lanigera
ENSODEP00000017865	ENSODEG00000013176	Octodon_degus
ENSCAPP00000004856	ENSCAPG00000007288	Cavia_aperea
ENSCPOP00000023267	ENSCPOG00000038423	Cavia_porcellus
ENSSDAP00000021136	ENSSDAG00000019187	Spermophilus_dauricus
ENSMMMP00000006853	ENSMMMG00000006131	Marmota_marmota_marmota
ENSSTOP00000022342	ENSSTOG00000024965	Ictidomys_tridecemlineatus
ENSUPAP00010008443	ENSUPAG00010006780	Urocitellus_parryii
ENSOPRP00000015990	ENSOPRG00000018607	Ochotona_princeps
ENSPSMP00000012194	ENSPSMG00000008802	Prolemur_simus
ENSPCOP00000023679	ENSPCOG00000023987	Propithecus_coquereli
ENSMICP00000029967	ENSMICG00000032157	Microcebus_murinus
ENSOGAP00000016540	ENSOGAG00000027622	Otolemur_garnettii
ENSPPAP00000029416	ENSPPAG00000037716	Pan_paniscus
ENSPTRP00000081988	ENSPTRG00000034239	Pan_troglodytes
ENSP00000297512	ENSG00000213199	Homo_sapiens
ENSGGOP00000016463	ENSGGOG00000016869	Gorilla_gorilla
ENSPPYP00000020388	ENSPPYG00000018181	Pongo_abelii
ENSNLEP00000004950	ENSNLEG00000004089	Nomascus_leucogenys
ENSTGEP00000005382	ENSTGEG00000004479	Theropithecus_gelada
ENSPANP00000015787	ENSPANG00000008146	Papio_anubis
ENSMLEP00000001824	ENSMLEG00000007148	Mandrillus_leucophaeus
ENSMMUP00000026926	ENSMMUG00000045082	Macaca_mulatta
ENSMNEP00000045792	ENSMNEG00000045380	Macaca_nemestrina
ENSCANP00000014849	ENSCANG00000030872	Colobus_angolensis_palliatus
ENSPTEP00000000861	ENSPTEG00000000971	Piliocolobus_tephrosceles
ENSRROP00000002450	ENSRROG00000009869	Rhinopithecus_roxellana
ENSCSAP00000002997	ENSCSAG00000006723	Chlorocebus_sabaeus
ENSCATP00000009984	ENSCATG00000029287	Cercocebus_atys
ENSMFAP00000004260	ENSMFAG00000001829	Macaca_fascicularis
ENSRBIP00000021988	ENSRBIG00000034944	Rhinopithecus_bieti
ENSSBOP00000026360	ENSSBOG00000029616	Saimiri_boliviensis_boliviensis
ENSCCAP00000002647	ENSCCAG00000015678	Cebus_capucinus_imitator
ENSCJAP00000037657	ENSCJAG00000036249	Callithrix_jacchus
ENSANAP00000006660	ENSANAG00000021395	Aotus_nancymaae
ENSUAMP00000029545	ENSUAMG00000022757	Ursus_americanus
ENSUMAP00000022806	ENSUMAG00000016647	Ursus_maritimus
ENSAMEP00000014573	ENSAMEG00000013805	Ailuropoda_melanoleuca
ENSMPUP00000008162	ENSMPUG00000008222	Mustela_putorius_furo
ENSNVIP00000002241	ENSNVIG00000001812	Neovison_vison
ENSCAFP00020007923	ENSCAFG00020006395	Canis_lupus_dingo
ENSCAFP00000045236	ENSCAFG00000004709	Canis_lupus_familiaris
ENSVVUP00000011472	ENSVVUG00000008442	Vulpes_vulpes
ENSFCAP00000015581	ENSFCAG00000019041	Felis_catus
ENSPPRP00000014467	ENSPPRG00000007379	Panthera_pardus
ENSPTIP00000012796	ENSPTIG00000012706	Panthera_tigris_altaica
ENSBIXP00000020860	ENSBIXG00000024096	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005033039	ENSBIXG00005013698	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000010209	ENSBTAG00000007762	Bos_taurus
ENSBBBP00000006893	ENSBBBG00000003750	Bison_bison_bison
ENSBMUP00000004557	ENSBMUG00000003568	Bos_mutus
ENSCHIP00000014814	ENSCHIG00000015676	Capra_hircus
ENSOARP00000002620	ENSOARG00000002467	Ovis_aries
ENSTTRP00000000799	ENSTTRG00000000846	Tursiops_truncatus
ENSPVAP00000006689	ENSPVAG00000007091	Pteropus_vampyrus
ENSMLUP00000020407	ENSMLUG00000028175	Myotis_lucifugus
ENSEASP00005006122	ENSEASG00005004542	Equus_asinus_asinus
ENSECAP00000051347	ENSECAG00000017999	Equus_caballus
ENSSSCP00000019177	ENSSSCG00000027024	Sus_scrofa_strain_reference
ENSTSYP00000017277	ENSTSYG00000034790	Carlito_syrichta
ENSOCUP00000027664	ENSOCUG00000027689	Oryctolagus_cuniculus
ENSLAFP00000015780	ENSLAFG00000020597	Loxodonta_africana
ENSPCAP00000006804	ENSPCAG00000007264	Procavia_capensis
ENSMEUP00000001872	ENSMEUG00000002038	Notamacropus_eugenii
ENSPCIP00000007246	ENSPCIG00000006142	Phascolarctos_cinereus
ENSSHAP00000011185	ENSSHAG00000009626	Sarcophilus_harrisii
ENSMODP00000004976	ENSMODG00000004046	Monodelphis_domestica
ENSOANP00000001205	ENSOANG00000000778	Ornithorhynchus_anatinus
ENSABRP00000020514	ENSABRG00000017480	Anser_brachyrhynchus	ENSABRT00000028864
ENSLACP00000000005	ENSLACG00000000005	Latimeria_chalumnae
ENSCMIP00000039891	ENSCMIG00000016683	Callorhinchus_milii
