ENSCABP00000027934	ENSCABG00000020535	Chelonoidis_abingdonii	ENSCABT00000030605
ENSGAGP00000017913	ENSGAGG00000013287	Gopherus_agassizii	ENSGAGT00000020434
ENSCPBP00000023601	ENSCPBG00000016848	Chrysemys_picta_bellii
ENSPSIP00000000562	ENSPSIG00000000562	Pelodiscus_sinensis
ENSCPRP00005012418	ENSCPRG00005008805	Crocodylus_porosus
ENSACAP00000018722	ENSACAG00000027411	Anolis_carolinensis
ENSPVIP00000031248	ENSPVIG00000022964	Pogona_vitticeps
ENSNSUP00000023455	ENSNSUG00000016974	Notechis_scutatus
ENSSMRP00000001191	ENSSMRG00000001047	Salvator_merianae
ENSMUNP00000000138	ENSMUNG00000000173	Melopsittacus_undulatus
ENSCCNP00000016836	ENSCCNG00000017118	Castor_canadensis
ENSDORP00000017406	ENSDORG00000026110	Dipodomys_ordii
ENSMSIP00000003299	ENSMSIG00000003069	Mus_spicilegus
MGP_SPRETEiJ_P0054704	MGP_SPRETEiJ_G0024641	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000142247	ENSMUSG00000086598	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0052614	MGP_CAROLIEiJ_G0023721	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0063609	MGP_PahariEiJ_G0025172	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000062114	ENSRNOG00000043106	Rattus_norvegicus
ENSMUGP00000022539	ENSMUGG00000018889	Meriones_unguiculatus
ENSCGRP00015001283	ENSCGRG00015001119	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001002495	ENSCGRG00001002752	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000005682	ENSCGRG00000004161	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000019480	ENSMAUG00000017774	Mesocricetus_auratus
ENSPEMP00000028138	ENSPEMG00000023753	Peromyscus_maniculatus_bairdii
ENSMOCP00000017890	ENSMOCG00000016344	Microtus_ochrogaster
ENSNGAP00000002486	ENSNGAG00000002233	Nannospalax_galili
ENSJJAP00000017512	ENSJJAG00000019048	Jaculus_jaculus
ENSSTOP00000023621	ENSSTOG00000023495	Ictidomys_tridecemlineatus
ENSUPAP00010025333	ENSUPAG00010020043	Urocitellus_parryii
ENSSDAP00000010168	ENSSDAG00000009265	Spermophilus_dauricus
ENSMMMP00000020087	ENSMMMG00000017749	Marmota_marmota_marmota
ENSOCUP00000027170	ENSOCUG00000029627	Oryctolagus_cuniculus
ENSPPAP00000040736	ENSPPAG00000042998	Pan_paniscus
ENSPTRP00000061103	ENSPTRG00000041861	Pan_troglodytes
ENSP00000394472	ENSG00000233436	Homo_sapiens
ENSGGOP00000020123	ENSGGOG00000028575	Gorilla_gorilla
ENSNLEP00000015636	ENSNLEG00000012882	Nomascus_leucogenys
ENSMLEP00000026505	ENSMLEG00000037453	Mandrillus_leucophaeus
ENSCSAP00000002306	ENSCSAG00000006005	Chlorocebus_sabaeus
ENSPANP00000002204	ENSPANG00000012378	Papio_anubis
ENSTGEP00000027638	ENSTGEG00000022310	Theropithecus_gelada
ENSCATP00000004450	ENSCATG00000015598	Cercocebus_atys
ENSMMUP00000065425	ENSMMUG00000059121	Macaca_mulatta
ENSMMUP00000063844	ENSMMUG00000050844	Macaca_mulatta
ENSMNEP00000018287	ENSMNEG00000033075	Macaca_nemestrina
ENSMFAP00000014717	ENSMFAG00000030539	Macaca_fascicularis
ENSRBIP00000009250	ENSRBIG00000028510	Rhinopithecus_bieti
ENSRROP00000025091	ENSRROG00000036304	Rhinopithecus_roxellana
ENSCANP00000020729	ENSCANG00000033805	Colobus_angolensis_palliatus
ENSPTEP00000029893	ENSPTEG00000029214	Piliocolobus_tephrosceles
ENSCCAP00000027941	ENSCCAG00000031866	Cebus_capucinus_imitator
ENSSBOP00000038014	ENSSBOG00000035085	Saimiri_boliviensis_boliviensis
ENSCJAP00000015879	ENSCJAG00000008629	Callithrix_jacchus
ENSANAP00000017260	ENSANAG00000026507	Aotus_nancymaae
ENSTSYP00000028100	ENSTSYG00000029449	Carlito_syrichta
ENSMICP00000019867	ENSMICG00000032919	Microcebus_murinus
ENSPCOP00000022307	ENSPCOG00000023242	Propithecus_coquereli
ENSPSMP00000008363	ENSPSMG00000006162	Prolemur_simus
ENSOGAP00000020994	ENSOGAG00000025798	Otolemur_garnettii
ENSOGAP00000020728	ENSOGAG00000029270	Otolemur_garnettii
ENSUAMP00000014157	ENSUAMG00000011377	Ursus_americanus
ENSUMAP00000025159	ENSUMAG00000018335	Ursus_maritimus
ENSAMEP00000015401	ENSAMEG00000014623	Ailuropoda_melanoleuca
ENSMPUP00000000293	ENSMPUG00000000295	Mustela_putorius_furo
ENSNVIP00000021612	ENSNVIG00000016908	Neovison_vison
ENSCAFP00020001027	ENSCAFG00020000960	Canis_lupus_dingo
ENSCAFP00000041104	ENSCAFG00000028691	Canis_lupus_familiaris
ENSVVUP00000023368	ENSVVUG00000017116	Vulpes_vulpes
ENSPPRP00000005405	ENSPPRG00000001187	Panthera_pardus
ENSPTIP00000020093	ENSPTIG00000017686	Panthera_tigris_altaica
ENSFCAP00000021929	ENSFCAG00000028895	Felis_catus
ENSECAP00000032559	ENSECAG00000028365	Equus_caballus
ENSEASP00005002537	ENSEASG00005001977	Equus_asinus_asinus
ENSCHIP00000015012	ENSCHIG00000015808	Capra_hircus
ENSOARP00000011378	ENSOARG00000010606	Ovis_aries
ENSBIXP00005041036	ENSBIXG00005023879	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000013108	ENSBIXG00000018081	Bos_indicus_x_Bos_taurus_UOA_Angus_1
