ENSMAMP00000024861	ENSMAMG00000016703	Mastacembelus_armatus	ENSMAMT00000025501
ENSMALP00000012020	ENSMALG00000008538	Monopterus_albus	ENSMALT00000012277
ENSSDUP00000029748	ENSSDUG00000021462	Seriola_dumerili	ENSSDUT00000030259
ENSPMGP00000007934	ENSPMGG00000006575	Periophthalmus_magnuspinnatus	ENSPMGT00000008445
ENSAOCP00000025382	ENSAOCG00000012895	Amphiprion_ocellaris	ENSAOCT00000000383
ENSAPEP00000009615	ENSAPEG00000006900	Amphiprion_percula	ENSAPET00000009878
ENSAPOP00000024505	ENSAPOG00000006962	Acanthochromis_polyacanthus	ENSAPOT00000008581
ENSSPAP00000005072	ENSSPAG00000003929	Stegastes_partitus	ENSSPAT00000005170
ENSACIP00000015536	ENSACIG00000012072	Amphilophus_citrinellus	ENSACIT00000015948
ENSKMAP00000009209	ENSKMAG00000006911	Kryptolebias_marmoratus	ENSKMAT00000009344
ENSPNYP00000024048	ENSPNYG00000018178	Pundamilia_nyererei	ENSPNYT00000024642
ENSMZEP00005033306	ENSMZEG00005024854	Maylandia_zebra	ENSMZET00005034432
ENSACLP00000010793	ENSACLG00000007388	Astatotilapia_calliptera	ENSACLT00000011051
ENSHBUP00000016426	ENSHBUG00000018370	Haplochromis_burtoni	ENSHBUT00000025022
ENSNBRP00000029102	ENSNBRG00000022175	Neolamprologus_brichardi	ENSNBRT00000029858
ENSAOCP00000015264	ENSAOCG00000020006	Amphiprion_ocellaris	ENSAOCT00000023871
ENSPLAP00000028338	ENSPLAG00000017657	Poecilia_latipinna	ENSPLAT00000022233
ENSPMEP00000012497	ENSPMEG00000014696	Poecilia_mexicana	ENSPMET00000019919
ENSGAFP00000030862	ENSGAFG00000020805	Gambusia_affinis	ENSGAFT00000031175
ENSFHEP00000020243	ENSFHEG00000022184	Fundulus_heteroclitus	ENSFHET00000029712
ENSKMAP00000003739	ENSKMAG00000002837	Kryptolebias_marmoratus	ENSKMAT00000003811
ENSAPOP00000029541	ENSAPOG00000015505	Acanthochromis_polyacanthus	ENSAPOT00000020771
