ENSLACP00000020223	ENSLACG00000017773	Latimeria_chalumnae	ENSLACT00000020363
ENSECRP00000002415	ENSECRG00000001649	Erpetoichthys_calabaricus	ENSECRT00000002445
ENSNMEP00000006337	ENSNMEG00000006530	Numida_meleagris	ENSNMET00000010711
ENSGALP00000066580	ENSGALG00000048002	Gallus_gallus	ENSGALT00000098707
ENSAPLP00000020382	ENSAPLG00000023960	Anas_platyrhynchos_platyrhynchos
ENSLSDP00000007939	ENSLSDG00000005958	Lonchura_striata_domestica
ENSTGUP00000017076	ENSTGUG00000016786	Taeniopygia_guttata
ENSPMJP00000018044	ENSPMJG00000013520	Parus_major
ENSARWP00000021241	ENSARWG00000014525	Apteryx_rowi
ENSCPRP00005019542	ENSCPRG00005013629	Crocodylus_porosus
ENSCABP00000029471	ENSCABG00000021621	Chelonoidis_abingdonii
ENSGAGP00000001706	ENSGAGG00000001369	Gopherus_agassizii
ENSCPBP00000034094	ENSCPBG00000023807	Chrysemys_picta_bellii
ENSPSIP00000003632	ENSPSIG00000003456	Pelodiscus_sinensis
ENSACAP00000019407	ENSACAG00000007805	Anolis_carolinensis
ENSPVIP00000031628	ENSPVIG00000023232	Pogona_vitticeps
ENSNSUP00000023153	ENSNSUG00000016778	Notechis_scutatus
ENSSMRP00000026351	ENSSMRG00000020350	Salvator_merianae
ENSSPUP00000007625	ENSSPUG00000005896	Sphenodon_punctatus
ENSBTAP00000005683	ENSBTAG00000004343	Bos_taurus
ENSBMUP00000027843	ENSBMUG00000020866	Bos_mutus
ENSBIXP00000003694	ENSBIXG00000010102	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005036638	ENSBIXG00005018240	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000018079	ENSBBBG00000010786	Bison_bison_bison
ENSCHIP00000014935	ENSCHIG00000015765	Capra_hircus
ENSOARP00000007925	ENSOARG00000007385	Ovis_aries
ENSTTRP00000006318	ENSTTRG00000006677	Tursiops_truncatus
ENSECAP00000020224	ENSECAG00000022701	Equus_caballus
ENSEASP00005006853	ENSEASG00005005058	Equus_asinus_asinus
ENSUAMP00000018640	ENSUAMG00000014779	Ursus_americanus
ENSUMAP00000015946	ENSUMAG00000011726	Ursus_maritimus
ENSAMEP00000011520	ENSAMEG00000010948	Ailuropoda_melanoleuca
ENSNVIP00000017796	ENSNVIG00000013939	Neovison_vison
ENSMPUP00000003400	ENSMPUG00000003431	Mustela_putorius_furo
ENSCAFP00020019508	ENSCAFG00020015510	Canis_lupus_dingo
ENSCAFP00000042403	ENSCAFG00000012423	Canis_lupus_familiaris
ENSVVUP00000014532	ENSVVUG00000010628	Vulpes_vulpes
ENSPPRP00000009729	ENSPPRG00000004093	Panthera_pardus
ENSPTIP00000018936	ENSPTIG00000016908	Panthera_tigris_altaica
ENSFCAP00000029883	ENSFCAG00000032726	Felis_catus
ENSPVAP00000009877	ENSPVAG00000010481	Pteropus_vampyrus
ENSMLUP00000003708	ENSMLUG00000004071	Myotis_lucifugus
ENSMLUP00000017150	ENSMLUG00000023874	Myotis_lucifugus
ENSSSCP00000054794	ENSSSCG00000012934	Sus_scrofa_strain_reference
ENSSARP00000006253	ENSSARG00000006897	Sorex_araneus
ENSMUSP00000035486	ENSMUSG00000034108	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000005563	ENSMSIG00000005016	Mus_spicilegus
MGP_SPRETEiJ_P0049499	MGP_SPRETEiJ_G0023432	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0047537	MGP_CAROLIEiJ_G0022518	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0020550	MGP_PahariEiJ_G0014015	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000065189	ENSRNOG00000047816	Rattus_norvegicus
ENSMUGP00000005821	ENSMUGG00000005370	Meriones_unguiculatus
ENSCGRP00001000994	ENSCGRG00001000769	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000013379	ENSCGRG00000009718	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015022777	ENSCGRG00015017324	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000016694	ENSMAUG00000015751	Mesocricetus_auratus
ENSMOCP00000012405	ENSMOCG00000012523	Microtus_ochrogaster
ENSPEMP00000020261	ENSPEMG00000018283	Peromyscus_maniculatus_bairdii
ENSNGAP00000020233	ENSNGAG00000019796	Nannospalax_galili
ENSJJAP00000009726	ENSJJAG00000013509	Jaculus_jaculus
ENSHGLP00000023086	ENSHGLG00000016462	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100020330	ENSHGLG00100014994	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000019088	ENSFDAG00000009378	Fukomys_damarensis
ENSCPOP00000011879	ENSCPOG00000013196	Cavia_porcellus
ENSCAPP00000010132	ENSCAPG00000011449	Cavia_aperea
ENSODEP00000024304	ENSODEG00000017783	Octodon_degus
ENSCLAP00000023350	ENSCLAG00000016015	Chinchilla_lanigera
ENSCCNP00000024998	ENSCCNG00000024433	Castor_canadensis
ENSDORP00000008615	ENSDORG00000009172	Dipodomys_ordii
ENSUPAP00010010607	ENSUPAG00010008577	Urocitellus_parryii
ENSSTOP00000008772	ENSSTOG00000009789	Ictidomys_tridecemlineatus
ENSSDAP00000012729	ENSSDAG00000011475	Spermophilus_dauricus
ENSMMMP00000024861	ENSMMMG00000021768	Marmota_marmota_marmota
ENSOCUP00000011889	ENSOCUG00000013823	Oryctolagus_cuniculus
ENSOPRP00000008346	ENSOPRG00000009125	Ochotona_princeps
ENSCCAP00000028095	ENSCCAG00000031964	Cebus_capucinus_imitator
ENSSBOP00000015265	ENSSBOG00000024367	Saimiri_boliviensis_boliviensis
ENSCJAP00000002298	ENSCJAG00000001305	Callithrix_jacchus
ENSANAP00000028587	ENSANAG00000032113	Aotus_nancymaae
ENSRBIP00000001917	ENSRBIG00000009655	Rhinopithecus_bieti
ENSRROP00000029544	ENSRROG00000038576	Rhinopithecus_roxellana
ENSPTEP00000032112	ENSPTEG00000030912	Piliocolobus_tephrosceles
ENSCANP00000039498	ENSCANG00000043417	Colobus_angolensis_palliatus
ENSCATP00000043553	ENSCATG00000044309	Cercocebus_atys
ENSTGEP00000006948	ENSTGEG00000005678	Theropithecus_gelada
ENSPANP00000000755	ENSPANG00000012187	Papio_anubis
ENSMNEP00000034063	ENSMNEG00000040249	Macaca_nemestrina
ENSMMUP00000007284	ENSMMUG00000005513	Macaca_mulatta
ENSMFAP00000043252	ENSMFAG00000037624	Macaca_fascicularis
ENSMLEP00000032462	ENSMLEG00000040441	Mandrillus_leucophaeus
ENSCSAP00000004604	ENSCSAG00000008353	Chlorocebus_sabaeus
ENSPPAP00000018049	ENSPPAG00000032132	Pan_paniscus
ENSPTRP00000006775	ENSPTRG00000003931	Pan_troglodytes
ENSP00000436318	ENSG00000173992	Homo_sapiens
ENSGGOP00000009411	ENSGGOG00000009638	Gorilla_gorilla
ENSPPYP00000003493	ENSPPYG00000003016	Pongo_abelii
ENSNLEP00000034662	ENSNLEG00000029404	Nomascus_leucogenys
ENSTSYP00000027895	ENSTSYG00000031956	Carlito_syrichta
ENSPSMP00000037681	ENSPSMG00000025875	Prolemur_simus
ENSMICP00000017740	ENSMICG00000026552	Microcebus_murinus
ENSPCOP00000010027	ENSPCOG00000016440	Propithecus_coquereli
ENSOGAP00000002440	ENSOGAG00000002727	Otolemur_garnettii
ENSTBEP00000009083	ENSTBEG00000010506	Tupaia_belangeri
ENSDNOP00000019230	ENSDNOG00000034796	Dasypus_novemcinctus
ENSCHOP00000011724	ENSCHOG00000013239	Choloepus_hoffmanni
ENSLAFP00000007620	ENSLAFG00000009088	Loxodonta_africana
ENSPCAP00000003071	ENSPCAG00000003272	Procavia_capensis
ENSVURP00010000666	ENSVURG00010000579	Vombatus_ursinus
ENSPCIP00000009740	ENSPCIG00000007939	Phascolarctos_cinereus
ENSVURP00010014297	ENSVURG00010010983	Vombatus_ursinus
ENSPCIP00000010485	ENSPCIG00000008538	Phascolarctos_cinereus
ENSMEUP00000000916	ENSMEUG00000000990	Notamacropus_eugenii
ENSMODP00000010048	ENSMODG00000008076	Monodelphis_domestica
ENSAMXP00005017232	ENSAMXG00005008973	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000005068	ENSAMXG00000004945	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000026566	ENSPNAG00000001972	Pygocentrus_nattereri
ENSEEEP00000028516	ENSEEEG00000013693	Electrophorus_electricus
ENSDARP00000120216	ENSDARG00000092003	Danio_rerio
ENSDARP00000133770	ENSDARG00000116246	Danio_rerio
ENSCHAP00000033065	ENSCHAG00000015754	Clupea_harengus
ENSBSLP00000024960	ENSBSLG00000012608	Betta_splendens
ENSCSEP00000000514	ENSCSEG00000000363	Cynoglossus_semilaevis
ENSAOCP00000005400	ENSAOCG00000002305	Amphiprion_ocellaris
ENSAPEP00000004446	ENSAPEG00000003203	Amphiprion_percula
ENSAPOP00000033263	ENSAPOG00000021747	Acanthochromis_polyacanthus
ENSSPAP00000005473	ENSSPAG00000004236	Stegastes_partitus
ENSPRNP00000009999	ENSPRNG00000005811	Parambassis_ranga
ENSACLP00000021058	ENSACLG00000014314	Astatotilapia_calliptera
ENSMZEP00005027943	ENSMZEG00005020842	Maylandia_zebra
ENSHBUP00000031192	ENSHBUG00000016724	Haplochromis_burtoni
ENSPNYP00000031313	ENSPNYG00000023608	Pundamilia_nyererei
ENSNBRP00000004292	ENSNBRG00000003408	Neolamprologus_brichardi
ENSONIP00000016390	ENSONIG00000013032	Oreochromis_niloticus
ENSACIP00000000391	ENSACIG00000000359	Amphilophus_citrinellus
ENSPFOP00000003583	ENSPFOG00000003644	Poecilia_formosa
ENSPMEP00000028066	ENSPMEG00000012899	Poecilia_mexicana
ENSPLAP00000000550	ENSPLAG00000001390	Poecilia_latipinna
ENSPREP00000004287	ENSPREG00000003024	Poecilia_reticulata
ENSXMAP00000020553	ENSXMAG00000008380	Xiphophorus_maculatus
ENSXCOP00000011857	ENSXCOG00000008970	Xiphophorus_couchianus
ENSGAFP00000002840	ENSGAFG00000001933	Gambusia_affinis
ENSFHEP00000033888	ENSFHEG00000021301	Fundulus_heteroclitus
ENSCVAP00000011525	ENSCVAG00000013801	Cyprinodon_variegatus
ENSORLP00020004773	ENSORLG00020005562	Oryzias_latipes_ASM223471v1
ENSORLP00015021473	ENSORLG00015022699	Oryzias_latipes_ASM223469v1
ENSORLP00000010084	ENSORLG00000008041	Oryzias_latipes_ASM223467v1
ENSOMEP00000031867	ENSOMEG00000016980	Oryzias_melastigma
ENSGWIP00000049703	ENSGWIG00000024246	Gouania_willdenowi
ENSCGOP00000037584	ENSCGOG00000017281	Cottoperca_gobio
ENSCGOP00000037587	ENSCGOG00000017304	Cottoperca_gobio
ENSLCRP00005036476	ENSLCRG00005014215	Larimichthys_crocea
ENSATEP00000004301	ENSATEG00000002992	Anabas_testudineus
ENSMAMP00000021450	ENSMAMG00000014405	Mastacembelus_armatus
ENSMMOP00000016946	ENSMMOG00000012909	Mola_mola
ENSMALP00000022181	ENSMALG00000015479	Monopterus_albus
ENSSDUP00000010876	ENSSDUG00000007950	Seriola_dumerili
ENSSLDP00000008128	ENSSLDG00000006446	Seriola_lalandi_dorsalis
ENSLCAP00010028177	ENSLCAG00010013243	Lates_calcarifer
ENSTRUP00000013501	ENSTRUG00000005597	Takifugu_rubripes
ENSTNIP00000009636	ENSTNIG00000006843	Tetraodon_nigroviridis
ENSLBEP00000037439	ENSLBEG00000027942	Labrus_bergylta
ENSGACP00000025152	ENSGACG00000019029	Gasterosteus_aculeatus
ENSSMAP00000007342	ENSSMAG00000004544	Scophthalmus_maximus
ENSKMAP00000027583	ENSKMAG00000020453	Kryptolebias_marmoratus
ENSPMGP00000015935	ENSPMGG00000013070	Periophthalmus_magnuspinnatus
ENSHCOP00000009958	ENSHCOG00000012499	Hippocampus_comes
ENSGMOP00000010297	ENSGMOG00000009635	Gadus_morhua
ENSHHUP00000005965	ENSHHUG00000003664	Hucho_hucho
ENSHHUP00000066791	ENSHHUG00000039383	Hucho_hucho
ENSELUP00000003439	ENSELUG00000004661	Esox_lucius
ENSPKIP00000026536	ENSPKIG00000008944	Paramormyrops_kingsleyae
ENSSFOP00015037367	ENSSFOG00015023783	Scleropages_formosus
ENSPMAP00000007655	ENSPMAG00000006939	Petromyzon_marinus
ENSEBUP00000023609	ENSEBUG00000014543	Eptatretus_burgeri
ENSXETP00000030404	ENSXETG00000006954	Xenopus_tropicalis
ENSCINP00000008786	ENSCING00000012406	Ciona_intestinalis
