ENSEBUP00000017245	ENSEBUG00000010774	Eptatretus_burgeri	ENSEBUT00000017821
ENSEBUP00000024754	ENSEBUG00000015282	Eptatretus_burgeri	ENSEBUT00000025330
ENSEBUP00000006321	ENSEBUG00000004197	Eptatretus_burgeri	ENSEBUT00000006775
ENSEBUP00000014475	ENSEBUG00000009122	Eptatretus_burgeri	ENSEBUT00000015052
ENSEBUP00000015586	ENSEBUG00000009811	Eptatretus_burgeri	ENSEBUT00000016162
ENSEBUP00000007306	ENSEBUG00000004771	Eptatretus_burgeri	ENSEBUT00000007784
ENSEBUP00000021547	ENSEBUG00000013300	Eptatretus_burgeri	ENSEBUT00000022123
ENSEBUP00000016717	ENSEBUG00000010482	Eptatretus_burgeri	ENSEBUT00000017292
ENSEBUP00000000617	ENSEBUG00000000719	Eptatretus_burgeri	ENSEBUT00000000921
ENSEBUP00000003649	ENSEBUG00000002636	Eptatretus_burgeri
ENSAMXP00000021213	ENSAMXG00000020601	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005048741	ENSAMXG00005022267	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000011824	ENSPNAG00000017509	Pygocentrus_nattereri
ENSEEEP00000027547	ENSEEEG00000013279	Electrophorus_electricus
ENSCHAP00000048190	ENSCHAG00000022178	Clupea_harengus
ENSDARP00000108055	ENSDARG00000052919	Danio_rerio
ENSDCDP00000035319	ENSDCDG00000023766	Denticeps_clupeoides
ENSHHUP00000046171	ENSHHUG00000028130	Hucho_hucho
ENSELUP00000021293	ENSELUG00000020410	Esox_lucius
ENSSFOP00015008428	ENSSFOG00015005507	Scleropages_formosus
ENSPKIP00000002891	ENSPKIG00000020608	Paramormyrops_kingsleyae
ENSSFOP00015017233	ENSSFOG00015011100	Scleropages_formosus
ENSPKIP00000023748	ENSPKIG00000007256	Paramormyrops_kingsleyae
ENSCHAP00000035877	ENSCHAG00000016998	Clupea_harengus
ENSDCDP00000009231	ENSDCDG00000004645	Denticeps_clupeoides
ENSAMXP00005041945	ENSAMXG00005019594	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000001099	ENSAMXG00000001079	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000012444	ENSPNAG00000018201	Pygocentrus_nattereri
ENSIPUP00000014849	ENSIPUG00000010110	Ictalurus_punctatus
ENSEEEP00000003145	ENSEEEG00000001782	Electrophorus_electricus
ENSDARP00000107786	ENSDARG00000053646	Danio_rerio
ENSSLDP00000011243	ENSSLDG00000008951	Seriola_lalandi_dorsalis
ENSSDUP00000028100	ENSSDUG00000020306	Seriola_dumerili
ENSLCAP00010059253	ENSLCAG00010027634	Lates_calcarifer
ENSSMAP00000010771	ENSSMAG00000006649	Scophthalmus_maximus
ENSCSEP00000019032	ENSCSEG00000012194	Cynoglossus_semilaevis
ENSMALP00000004832	ENSMALG00000003498	Monopterus_albus
ENSMAMP00000013692	ENSMAMG00000009284	Mastacembelus_armatus
ENSATEP00000033821	ENSATEG00000023273	Anabas_testudineus
ENSFHEP00000033027	ENSFHEG00000019894	Fundulus_heteroclitus
ENSCVAP00000009057	ENSCVAG00000010965	Cyprinodon_variegatus
ENSXMAP00000019589	ENSXMAG00000019542	Xiphophorus_maculatus
ENSXCOP00000021975	ENSXCOG00000016420	Xiphophorus_couchianus
ENSGAFP00000014989	ENSGAFG00000010124	Gambusia_affinis
ENSPFOP00000026720	ENSPFOG00000020338	Poecilia_formosa
ENSPLAP00000006437	ENSPLAG00000008562	Poecilia_latipinna
ENSPMEP00000006725	ENSPMEG00000008269	Poecilia_mexicana
ENSPREP00000010668	ENSPREG00000007294	Poecilia_reticulata
ENSKMAP00000007356	ENSKMAG00000005544	Kryptolebias_marmoratus
ENSORLP00015019577	ENSORLG00015020674	Oryzias_latipes_ASM223469v1
ENSORLP00020024488	ENSORLG00020005914	Oryzias_latipes_ASM223471v1
ENSORLP00000014229	ENSORLG00000011365	Oryzias_latipes_ASM223467v1
ENSOMEP00000008548	ENSOMEG00000009721	Oryzias_melastigma
ENSMZEP00005016176	ENSMZEG00005012148	Maylandia_zebra
ENSHBUP00000010955	ENSHBUG00000012536	Haplochromis_burtoni
ENSACLP00000013749	ENSACLG00000009393	Astatotilapia_calliptera
ENSPNYP00000020694	ENSPNYG00000015659	Pundamilia_nyererei
ENSNBRP00000028933	ENSNBRG00000022047	Neolamprologus_brichardi
ENSONIP00000025837	ENSONIG00000020532	Oreochromis_niloticus
ENSACIP00000008305	ENSACIG00000006513	Amphilophus_citrinellus
ENSPRNP00000010954	ENSPRNG00000006222	Parambassis_ranga
ENSAOCP00000010984	ENSAOCG00000015216	Amphiprion_ocellaris
ENSAPEP00000020094	ENSAPEG00000014371	Amphiprion_percula
ENSAPOP00000009573	ENSAPOG00000011866	Acanthochromis_polyacanthus
ENSSPAP00000000164	ENSSPAG00000000131	Stegastes_partitus
ENSGWIP00000051845	ENSGWIG00000025065	Gouania_willdenowi
ENSCGOP00000052998	ENSCGOG00000023294	Cottoperca_gobio
ENSGACP00000014582	ENSGACG00000011022	Gasterosteus_aculeatus
ENSLBEP00000005243	ENSLBEG00000004043	Labrus_bergylta
ENSMMOP00000002946	ENSMMOG00000002371	Mola_mola
ENSTRUP00000053282	ENSTRUG00000025310	Takifugu_rubripes
ENSLCRP00005034745	ENSLCRG00005013611	Larimichthys_crocea
ENSHCOP00000023140	ENSHCOG00000011414	Hippocampus_comes
ENSBSLP00000007534	ENSBSLG00000003710	Betta_splendens
ENSPMGP00000014524	ENSPMGG00000011899	Periophthalmus_magnuspinnatus
ENSGMOP00000006417	ENSGMOG00000006053	Gadus_morhua
ENSHHUP00000018223	ENSHHUG00000011361	Hucho_hucho
ENSHHUP00000033165	ENSHHUG00000020977	Hucho_hucho
ENSELUP00000017732	ENSELUG00000017383	Esox_lucius
ENSLOCP00000018419	ENSLOCG00000014961	Lepisosteus_oculatus
ENSECRP00000000462	ENSECRG00000000268	Erpetoichthys_calabaricus	ENSECRT00000000473
ENSGAGP00000033638	ENSGAGG00000023947	Gopherus_agassizii
ENSCABP00000010366	ENSCABG00000007776	Chelonoidis_abingdonii
ENSCPBP00000007311	ENSCPBG00000005773	Chrysemys_picta_bellii
ENSPSIP00000015694	ENSPSIG00000014019	Pelodiscus_sinensis
ENSSPUP00000023611	ENSSPUG00000018104	Sphenodon_punctatus
ENSCPUP00000006497	ENSCPUG00000004731	Calidris_pugnax
ENSCPGP00000011555	ENSCPGG00000008234	Calidris_pygmaea
ENSLSDP00000008276	ENSLSDG00000006190	Lonchura_striata_domestica
ENSSCAP00000023833	ENSSCAG00000017053	Serinus_canaria
ENSFALP00000007048	ENSFALG00000006756	Ficedula_albicollis
ENSJHYP00000003703	ENSJHYG00000003053	Junco_hyemalis
ENSPMJP00000024391	ENSPMJG00000017943	Parus_major
ENSLCOP00000011287	ENSLCOG00000008188	Lepidothrix_coronata
ENSABRP00000000371	ENSABRG00000000427	Anser_brachyrhynchus
ENSGALP00000029364	ENSGALG00000019018	Gallus_gallus
ENSCJPP00005018678	ENSCJPG00005015194	Coturnix_japonica
ENSMGAP00000018191	ENSMGAG00000002221	Meleagris_gallopavo
ENSNMEP00000023012	ENSNMEG00000019639	Numida_meleagris
ENSAPLP00000008294	ENSAPLG00000008630	Anas_platyrhynchos_platyrhynchos
ENSMVIP00005027467	ENSMVIG00005019141	Manacus_vitellinus
ENSMVIP00005027448	ENSMVIG00005019130	Manacus_vitellinus
ENSAHAP00000001770	ENSAHAG00000001510	Apteryx_haastii
ENSAOWP00000003296	ENSAOWG00000002312	Apteryx_owenii
ENSARWP00000016893	ENSARWG00000011652	Apteryx_rowi
ENSDNVP00000004421	ENSDNVG00000003136	Dromaius_novaehollandiae
ENSPVIP00000016367	ENSPVIG00000012670	Pogona_vitticeps	ENSPVIT00000020514
ENSACAP00000000249	ENSACAG00000000272	Anolis_carolinensis	ENSACAT00000000255
ENSNSUP00000001424	ENSNSUG00000001234	Notechis_scutatus
ENSSMRP00000028345	ENSSMRG00000021797	Salvator_merianae
ENSOCUP00000022221	ENSOCUG00000007804	Oryctolagus_cuniculus
ENSDORP00000009542	ENSDORG00000010152	Dipodomys_ordii
ENSTSYP00000026420	ENSTSYG00000027215	Carlito_syrichta
ENSUAMP00000030609	ENSUAMG00000023503	Ursus_americanus
ENSAMEP00000011626	ENSAMEG00000011054	Ailuropoda_melanoleuca
ENSMPUP00000009851	ENSMPUG00000009926	Mustela_putorius_furo
ENSNVIP00000014374	ENSNVIG00000011289	Neovison_vison
ENSCAFP00020002043	ENSCAFG00020001758	Canis_lupus_dingo
ENSCAFP00000009245	ENSCAFG00000006161	Canis_lupus_familiaris
ENSVVUP00000027455	ENSVVUG00000020166	Vulpes_vulpes
ENSPPRP00000015984	ENSPPRG00000008424	Panthera_pardus
ENSPTIP00000018670	ENSPTIG00000016724	Panthera_tigris_altaica
ENSFCAP00000009674	ENSFCAG00000010422	Felis_catus
ENSBIXP00000004243	ENSBIXG00000000619	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005003463	ENSBIXG00005009584	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000074082	ENSBTAG00000017981	Bos_taurus
ENSBMUP00000008077	ENSBMUG00000006349	Bos_mutus
ENSCHIP00000011884	ENSCHIG00000013874	Capra_hircus
ENSOARP00000001138	ENSOARG00000001094	Ovis_aries
ENSSSCP00000016767	ENSSSCG00000015821	Sus_scrofa_strain_reference
ENSPVAP00000005682	ENSPVAG00000006012	Pteropus_vampyrus
ENSMLUP00000006858	ENSMLUG00000007514	Myotis_lucifugus
ENSECAP00000013375	ENSECAG00000015780	Equus_caballus
ENSEASP00005024564	ENSEASG00005016692	Equus_asinus_asinus
ENSPTRP00000042587	ENSPTRG00000024086	Pan_troglodytes
ENSPPAP00000020683	ENSPPAG00000033560	Pan_paniscus
ENSP00000343782	ENSG00000188778	Homo_sapiens
ENSP00000497740	ENSG00000285880	Homo_sapiens
ENSGGOP00000023409	ENSGGOG00000007578	Gorilla_gorilla
ENSPPYP00000020755	ENSPPYG00000018517	Pongo_abelii
ENSNLEP00000022973	ENSNLEG00000019123	Nomascus_leucogenys
ENSRROP00000002361	ENSRROG00000009579	Rhinopithecus_roxellana
ENSRBIP00000005737	ENSRBIG00000024958	Rhinopithecus_bieti
ENSCANP00000001316	ENSCANG00000004797	Colobus_angolensis_palliatus
ENSPTEP00000036204	ENSPTEG00000034058	Piliocolobus_tephrosceles
ENSMFAP00000044006	ENSMFAG00000039383	Macaca_fascicularis
ENSMMUP00000032146	ENSMMUG00000005876	Macaca_mulatta
ENSMNEP00000026558	ENSMNEG00000036727	Macaca_nemestrina
ENSCATP00000040306	ENSCATG00000042740	Cercocebus_atys
ENSPANP00000005602	ENSPANG00000000535	Papio_anubis
ENSTGEP00000009171	ENSTGEG00000007564	Theropithecus_gelada
ENSCSAP00000011596	ENSCSAG00000015507	Chlorocebus_sabaeus
ENSMLEP00000009558	ENSMLEG00000028954	Mandrillus_leucophaeus
ENSCCAP00000013705	ENSCCAG00000024671	Cebus_capucinus_imitator
ENSSBOP00000032810	ENSSBOG00000032593	Saimiri_boliviensis_boliviensis
ENSCJAP00000004863	ENSCJAG00000002674	Callithrix_jacchus
ENSANAP00000032911	ENSANAG00000034143	Aotus_nancymaae
ENSPCOP00000013707	ENSPCOG00000018496	Propithecus_coquereli
ENSMICP00000017236	ENSMICG00000027016	Microcebus_murinus
ENSPSMP00000018189	ENSPSMG00000012903	Prolemur_simus
ENSOGAP00000018897	ENSOGAG00000028016	Otolemur_garnettii
ENSSTOP00000029150	ENSSTOG00000024747	Ictidomys_tridecemlineatus
ENSUPAP00010030502	ENSUPAG00010023946	Urocitellus_parryii
ENSMMMP00000017250	ENSMMMG00000015315	Marmota_marmota_marmota
ENSSDAP00000007219	ENSSDAG00000006640	Spermophilus_dauricus
ENSCCNP00000014160	ENSCCNG00000014672	Castor_canadensis
ENSMUSP00000080162	ENSMUSG00000031489	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000036138	ENSMSIG00000030070	Mus_spicilegus
MGP_SPRETEiJ_P0087583	MGP_SPRETEiJ_G0032066	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0084111	MGP_CAROLIEiJ_G0030947	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0047011	MGP_PahariEiJ_G0021417	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000016907	ENSRNOG00000012674	Rattus_norvegicus
ENSMUGP00000021450	ENSMUGG00000018046	Meriones_unguiculatus
ENSPEMP00000005100	ENSPEMG00000007552	Peromyscus_maniculatus_bairdii
ENSMOCP00000027494	ENSMOCG00000022956	Microtus_ochrogaster
ENSCGRP00000011812	ENSCGRG00000008598	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015033859	ENSCGRG00015025537	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001011800	ENSCGRG00001013361	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000022039	ENSMAUG00000019598	Mesocricetus_auratus
ENSNGAP00000017554	ENSNGAG00000017943	Nannospalax_galili
ENSJJAP00000008785	ENSJJAG00000012860	Jaculus_jaculus
ENSCLAP00000007527	ENSCLAG00000005285	Chinchilla_lanigera
ENSODEP00000026106	ENSODEG00000019478	Octodon_degus
ENSHGLP00000004060	ENSHGLG00000002989	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100016214	ENSHGLG00100011971	Heterocephalus_glaber_HetGla_1.0
ENSLAFP00000026999	ENSLAFG00000004252	Loxodonta_africana
ENSPCAP00000011971	ENSPCAG00000012859	Procavia_capensis
ENSEEUP00000000163	ENSEEUG00000000191	Erinaceus_europaeus
ENSSARP00000004488	ENSSARG00000004970	Sorex_araneus
ENSETEP00000000468	ENSETEG00000000593	Echinops_telfairi
ENSDNOP00000023883	ENSDNOG00000038161	Dasypus_novemcinctus
ENSPCIP00000010988	ENSPCIG00000008885	Phascolarctos_cinereus
ENSVURP00010013501	ENSVURG00010010393	Vombatus_ursinus
ENSMODP00000013507	ENSMODG00000010778	Monodelphis_domestica
ENSSHAP00000019946	ENSSHAG00000016923	Sarcophilus_harrisii
ENSXETP00000020559	ENSXETG00000012361	Xenopus_tropicalis	ENSXETT00000006856
ENSLACP00000002909	ENSLACG00000002602	Latimeria_chalumnae	ENSLACT00000002933
