ENSXMAP00000008625	ENSXMAG00000008573	Xiphophorus_maculatus
ENSPRNP00000035834	ENSPRNG00000017922	Parambassis_ranga
ENSGACP00000001555	ENSGACG00000001192	Gasterosteus_aculeatus
ENSPNAP00000027637	ENSPNAG00000002579	Pygocentrus_nattereri
ENSPFOP00000023649	ENSPFOG00000022926	Poecilia_formosa
ENSPKIP00000004693	ENSPKIG00000021676	Paramormyrops_kingsleyae
ENSPREP00000003309	ENSPREG00000002333	Poecilia_reticulata
ENSDCDP00000026340	ENSDCDG00000019538	Denticeps_clupeoides	ENSDCDT00000035261
ENSSFOP00015034658	ENSSFOG00015022067	Scleropages_formosus
ENSHBUP00000019390	ENSHBUG00000021564	Haplochromis_burtoni
ENSTNIP00000010008	ENSTNIG00000007205	Tetraodon_nigroviridis
ENSTNIP00000006420	ENSTNIG00000003819	Tetraodon_nigroviridis
ENSECRP00000011478	ENSECRG00000007639	Erpetoichthys_calabaricus
ENSPSIP00000007915	ENSPSIG00000007277	Pelodiscus_sinensis
ENSSDUP00000010866	ENSSDUG00000007928	Seriola_dumerili
ENSPSIP00000008012	ENSPSIG00000007352	Pelodiscus_sinensis
ENSPNAP00000027591	ENSPNAG00000002568	Pygocentrus_nattereri
ENSLCRP00005008842	ENSLCRG00005003480	Larimichthys_crocea
ENSELUP00000000166	ENSELUG00000001780	Esox_lucius
ENSPMGP00000019517	ENSPMGG00000015854	Periophthalmus_magnuspinnatus
ENSMMOP00000024297	ENSMMOG00000018481	Mola_mola
ENSIPUP00000004902	ENSIPUG00000003405	Ictalurus_punctatus
ENSSPAP00000002926	ENSSPAG00000002241	Stegastes_partitus
ENSDARP00000124781	ENSDARG00000060597	Danio_rerio
ENSLACP00000013502	ENSLACG00000011888	Latimeria_chalumnae
ENSPNYP00000025883	ENSPNYG00000019529	Pundamilia_nyererei
ENSEEEP00000019741	ENSEEEG00000009662	Electrophorus_electricus
ENSFHEP00000021316	ENSFHEG00000000966	Fundulus_heteroclitus
ENSACLP00000020128	ENSACLG00000013639	Astatotilapia_calliptera
ENSHCOP00000018371	ENSHCOG00000002873	Hippocampus_comes
ENSAPOP00000022893	ENSAPOG00000004444	Acanthochromis_polyacanthus
ENSTNIP00000004672	ENSTNIG00000002216	Tetraodon_nigroviridis
ENSHCOP00000001858	ENSHCOG00000002897	Hippocampus_comes
ENSMAMP00000017069	ENSMAMG00000011531	Mastacembelus_armatus
ENSPLAP00000021720	ENSPLAG00000005712	Poecilia_latipinna
ENSTRUP00000056222	ENSTRUG00000022405	Takifugu_rubripes
ENSPLAP00000021704	ENSPLAG00000005677	Poecilia_latipinna
ENSOANP00000026171	ENSOANG00000020579	Ornithorhynchus_anatinus
ENSAMXP00005012262	ENSAMXG00005006114	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSLDP00000025742	ENSSLDG00000019936	Seriola_lalandi_dorsalis
ENSAMXP00000020452	ENSAMXG00000019848	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000020452
ENSACIP00000030249	ENSACIG00000023400	Amphilophus_citrinellus
ENSLCAP00010002494	ENSLCAG00010001368	Lates_calcarifer
ENSCGOP00000036276	ENSCGOG00000016639	Cottoperca_gobio
ENSCVAP00000016437	ENSCVAG00000019447	Cyprinodon_variegatus
ENSTNIP00000005428	ENSTNIG00000002862	Tetraodon_nigroviridis
ENSLOCP00000016739	ENSLOCG00000013570	Lepisosteus_oculatus
ENSSMAP00000005706	ENSSMAG00000003479	Scophthalmus_maximus
ENSKMAP00000004760	ENSKMAG00000003563	Kryptolebias_marmoratus
ENSEEEP00000014703	ENSEEEG00000007314	Electrophorus_electricus
ENSNBRP00000004655	ENSNBRG00000003535	Neolamprologus_brichardi
ENSLBEP00000036548	ENSLBEG00000027326	Labrus_bergylta
ENSLCAP00010015383	ENSLCAG00010007283	Lates_calcarifer
ENSGAFP00000012321	ENSGAFG00000008305	Gambusia_affinis
ENSGMOP00000011408	ENSGMOG00000010641	Gadus_morhua
ENSSPAP00000002911	ENSSPAG00000002208	Stegastes_partitus
ENSCHAP00000029740	ENSCHAG00000014231	Clupea_harengus	ENSCHAT00000032318
ENSPMEP00000028056	ENSPMEG00000012944	Poecilia_mexicana
ENSHBUP00000034273	ENSHBUG00000000775	Haplochromis_burtoni
ENSMZEP00005012871	ENSMZEG00005009653	Maylandia_zebra
ENSAOCP00000013859	ENSAOCG00000018526	Amphiprion_ocellaris
ENSMZEP00005012891	ENSMZEG00005009685	Maylandia_zebra
ENSAPEP00000029790	ENSAPEG00000021120	Amphiprion_percula
ENSPNYP00000025939	ENSPNYG00000019564	Pundamilia_nyererei
ENSONIP00000022585	ENSONIG00000017919	Oreochromis_niloticus
ENSPFOP00000000521	ENSPFOG00000000426	Poecilia_formosa
