ENSBBBP00000017029	ENSBBBG00000009221	Bison_bison_bison
ENSBTAP00000041290	ENSBTAG00000030910	Bos_taurus
ENSEASP00005003322	ENSEASG00005002577	Equus_asinus_asinus
ENSBMUP00000020287	ENSBMUG00000015284	Bos_mutus
ENSTTRP00000006831	ENSTTRG00000007214	Tursiops_truncatus
ENSBIXP00000007405	ENSBIXG00000001069	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSECAP00000010008	ENSECAG00000012244	Equus_caballus	ENSECAT00000012672
ENSMLUP00000020982	ENSMLUG00000030541	Myotis_lucifugus
ENSSSCP00000070224	ENSSSCG00000015293	Sus_scrofa_strain_reference
ENSFCAP00000055787	ENSFCAG00000050537	Felis_catus
ENSNVIP00000014724	ENSNVIG00000011558	Neovison_vison
ENSVVUP00000002514	ENSVVUG00000001995	Vulpes_vulpes
ENSBIXP00005039700	ENSBIXG00005022130	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSAMEP00000008692	ENSAMEG00000008272	Ailuropoda_melanoleuca
ENSCAFP00020016419	ENSCAFG00020013170	Canis_lupus_dingo
ENSUMAP00000030925	ENSUMAG00000022349	Ursus_maritimus
ENSVPAP00000009979	ENSVPAG00000010717	Vicugna_pacos
ENSCAFP00000021036	ENSCAFG00000014256	Canis_lupus_familiaris
ENSOARP00000015085	ENSOARG00000014055	Ovis_aries
