ENSOMEP00000027778	ENSOMEG00000010448	Oryzias_melastigma	ENSOMET00000001105
ENSACLP00000031419	ENSACLG00000021316	Astatotilapia_calliptera	ENSACLT00000032158
ENSECRP00000030156	ENSECRG00000020478	Erpetoichthys_calabaricus	ENSECRT00000030797
ENSMZEP00005021791	ENSMZEG00005016337	Maylandia_zebra	ENSMZET00005022505
ENSHBUP00000024132	ENSHBUG00000005345	Haplochromis_burtoni	ENSHBUT00000009338
ENSPNYP00000002821	ENSPNYG00000002193	Pundamilia_nyererei	ENSPNYT00000002894
ENSCGOP00000038432	ENSCGOG00000017634	Cottoperca_gobio	ENSCGOT00000041173
ENSKMAP00000006637	ENSKMAG00000005030	Kryptolebias_marmoratus	ENSKMAT00000006745
ENSLBEP00000022384	ENSLBEG00000017186	Labrus_bergylta	ENSLBET00000023563
ENSGWIP00000004231	ENSGWIG00000002270	Gouania_willdenowi	ENSGWIT00000004538
ENSMALP00000013141	ENSMALG00000009303	Monopterus_albus	ENSMALT00000013424
ENSATEP00000032948	ENSATEG00000022696	Anabas_testudineus	ENSATET00000033428
